년도,월,나이,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 장전제3동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020,1,총,"116,818","3,331","5,174","5,907","4,601","4,318","8,264","8,435","6,577","9,156","13,473",0.0,"1,300","5,018","14,944","9,240","16,530",550
2020,1,0,"7,244",69,193,204,179,179,500,671,318,501,"1,476",0.0,42,279,718,689,"1,184",42
2020,1,10,"9,800",181,289,328,234,275,790,739,473,629,"1,384",0.0,63,393,"1,208",939,"1,810",65
2020,1,20,"18,500",381,674,725,513,510,"1,358","1,306",884,"3,101","1,837",0.0,133,670,"2,582","1,339","2,441",46
2020,1,30,"13,931",336,580,684,537,491,955,"1,162",836,"1,102","1,903",0.0,123,517,"1,764","1,100","1,798",43
2020,1,40,"16,617",513,706,797,634,651,"1,156","1,183",980,"1,115","2,321",0.0,138,637,"1,959","1,392","2,344",91
2020,1,50,"20,055",678,"1,062","1,180",891,737,"1,440","1,407","1,093","1,146","1,799",0.0,286,865,"2,741","1,649","2,989",92
2020,1,60,"17,668",649,"1,008","1,165",977,799,"1,198","1,174","1,160",868,"1,472",0.0,289,872,"2,279","1,295","2,357",106
2020,1,70,"9,695",388,512,619,512,519,638,566,652,508,924,0.0,168,560,"1,270",632,"1,179",48
2020,1,80,"3,006",128,139,194,114,142,215,203,169,174,301,0.0,50,201,391,191,381,13
2020,1,90,262,7,7,11,9,13,13,22,12,9,33,0.0,8,24,32,13,46,3
2020,1,100,40,1,4,0,1,2,1,2,0,3,23,0.0,0,0,0,1,1,1
2020,2,총,"116,606","3,314","5,167","5,867","4,590","4,302","8,228","8,391","6,559","9,184","13,483",,"1,279","5,012","14,904","9,248","16,533",545
2020,2,0,"7,203",65,189,198,181,176,498,663,315,487,"1,471",,41,277,713,688,"1,199",42
2020,2,10,"9,715",182,282,321,228,268,779,732,471,636,"1,374",,62,391,"1,193",933,"1,801",62
2020,2,20,"18,496",374,669,722,507,514,"1,367","1,289",877,"3,152","1,850",,128,655,"2,566","1,358","2,422",46
2020,2,30,"13,814",331,575,667,523,493,939,"1,150",830,"1,084","1,890",,121,516,"1,758","1,094","1,801",42
2020,2,40,"16,629",511,704,799,636,652,"1,147","1,193",981,"1,124","2,333",,141,643,"1,954","1,380","2,338",93
2020,2,50,"19,966",680,"1,059","1,171",894,731,"1,430","1,404","1,086","1,124","1,800",,274,867,"2,725","1,642","2,991",88
2020,2,60,"17,720",648,"1,022","1,164",981,790,"1,205","1,168","1,160",881,"1,474",,286,872,"2,293","1,302","2,369",105
2020,2,70,"9,728",387,514,618,513,523,631,566,651,511,933,,167,562,"1,279",644,"1,180",49
2020,2,80,"3,027",127,142,196,117,139,218,201,176,173,302,,51,205,390,192,385,13
2020,2,90,268,8,7,11,9,14,13,23,12,9,33,,8,24,33,14,46,4
2020,2,100,40,1,4,0,1,2,1,2,0,3,23,,0,0,0,1,1,1
2020,3,총,"116,174","3,276","5,145","5,853","4,568","4,286","8,203","8,327","6,503","9,222","13,447",,"1,277","5,000","14,832","9,234","16,457",544
2020,3,0,"7,120",66,183,193,182,171,499,650,308,492,"1,462",,40,273,701,681,"1,178",41
2020,3,10,"9,650",176,283,319,222,259,768,732,470,648,"1,372",,61,388,"1,175",925,"1,791",61
2020,3,20,"18,461",366,670,718,500,512,"1,366","1,283",867,"3,187","1,857",,126,652,"2,561","1,352","2,396",48
2020,3,30,"13,697",322,566,669,517,489,933,"1,130",823,"1,081","1,868",,122,512,"1,735","1,096","1,793",41
2020,3,40,"16,531",504,701,791,635,651,"1,136","1,182",967,"1,126","2,331",,138,643,"1,945","1,370","2,320",91
2020,3,50,"19,906",671,"1,044","1,178",889,721,"1,420","1,400","1,075","1,114","1,808",,276,863,"2,716","1,661","2,982",88
2020,3,60,"17,710",650,"1,025","1,155",973,797,"1,210","1,165","1,152",873,"1,471",,291,869,"2,294","1,305","2,372",108
2020,3,70,"9,758",382,518,623,520,529,631,565,653,512,928,,165,569,"1,280",639,"1,196",48
2020,3,80,"3,033",130,144,196,120,141,225,195,178,174,297,,50,204,391,190,385,13
2020,3,90,267,8,7,11,9,14,14,23,10,12,30,,8,27,33,14,43,4
2020,3,100,41,1,4,0,1,2,1,2,0,3,23,,0,0,1,1,1,1
2020,4,총,"115,861","3,247","5,117","5,842","4,559","4,278","8,207","8,203","6,486","9,222","13,415",,"1,272","5,009","14,776","9,257","16,428",543
2020,4,0,"7,062",63,181,192,182,175,492,640,299,485,"1,450",,39,271,702,680,"1,170",41
2020,4,10,"9,586",174,275,325,218,256,767,725,456,647,"1,370",,61,385,"1,166",930,"1,769",62
2020,4,20,"18,377",358,662,709,498,507,"1,363","1,264",873,"3,174","1,859",,127,661,"2,534","1,349","2,392",47
2020,4,30,"13,635",312,567,661,513,489,943,"1,098",823,"1,091","1,851",,122,514,"1,721","1,100","1,788",42
2020,4,40,"16,472",495,700,791,631,648,"1,130","1,170",968,"1,128","2,340",,136,637,"1,922","1,369","2,316",91
2020,4,50,"19,849",669,"1,041","1,171",895,713,"1,419","1,384","1,069","1,110","1,792",,274,870,"2,712","1,668","2,974",88
2020,4,60,"17,737",652,"1,019","1,159",971,799,"1,208","1,156","1,152",887,"1,477",,290,873,"2,304","1,305","2,378",107
2020,4,70,"9,777",388,516,622,521,531,642,550,657,513,923,,166,561,"1,287",649,"1,203",48
2020,4,80,"3,061",129,144,200,120,144,226,192,179,173,301,,49,211,394,194,392,13
2020,4,90,264,6,8,12,9,14,16,22,10,11,29,,8,26,33,12,45,3
2020,4,100,41,1,4,0,1,2,1,2,0,3,23,,0,0,1,1,1,1
2020,5,총,"115,716","3,209","5,114","5,844","4,563","4,276","8,217","8,097","6,473","9,264","13,436",,"1,272","5,003","14,754","9,247","16,409",538
2020,5,0,"7,045",62,185,193,182,175,489,637,298,479,"1,449",,39,271,703,672,"1,170",41
2020,5,10,"9,499",169,277,318,214,255,764,706,452,645,"1,366",,61,377,"1,156",924,"1,753",62
2020,5,20,"18,396",352,656,709,499,507,"1,368","1,257",867,"3,215","1,871",,128,660,"2,539","1,340","2,382",46
2020,5,30,"13,600",307,577,655,509,484,949,"1,083",828,"1,095","1,844",,122,507,"1,711","1,101","1,787",41
2020,5,40,"16,405",496,694,790,631,646,"1,134","1,158",954,"1,121","2,344",,135,630,"1,909","1,368","2,307",88
2020,5,50,"19,828",652,"1,035","1,177",887,718,"1,415","1,364","1,072","1,115","1,795",,275,877,"2,712","1,668","2,977",89
2020,5,60,"17,758",650,"1,017","1,162",981,797,"1,206","1,139","1,151",897,"1,483",,287,879,"2,302","1,318","2,383",106
2020,5,70,"9,803",388,517,626,529,535,646,538,659,509,926,,168,565,"1,292",646,"1,213",46
2020,5,80,"3,069",127,143,201,121,142,227,191,179,174,304,,49,210,397,197,392,15
2020,5,90,272,5,9,13,9,15,18,22,13,11,31,,8,27,32,12,44,3
2020,5,100,41,1,4,0,1,2,1,2,0,3,23,,0,0,1,1,1,1
2020,6,총,"115,428","3,187","5,078","5,839","4,552","4,264","8,215","7,968","6,470","9,268","13,420",,"1,260","4,984","14,742","9,247","16,397",537
2020,6,0,"7,008",60,182,192,179,175,491,629,293,475,"1,450",,39,276,691,674,"1,163",39
2020,6,10,"9,434",166,276,312,215,250,761,693,451,647,"1,362",,60,372,"1,140",928,"1,740",61
2020,6,20,"18,347",347,647,711,494,510,"1,350","1,240",872,"3,223","1,856",,126,658,"2,544","1,340","2,380",49
2020,6,30,"13,525",312,577,660,495,474,950,"1,047",827,"1,093","1,850",,120,508,"1,706","1,090","1,777",39
2020,6,40,"16,393",489,692,782,634,651,"1,135","1,156",947,"1,127","2,344",,133,634,"1,903","1,369","2,309",88
2020,6,50,"19,699",646,"1,019","1,169",881,714,"1,413","1,340","1,069","1,108","1,783",,269,866,"2,697","1,667","2,968",90
2020,6,60,"17,820",647,"1,018","1,171",991,789,"1,218","1,127","1,155",892,"1,497",,290,868,"2,325","1,320","2,406",106
2020,6,70,"9,817",389,515,630,530,541,647,521,664,512,919,,166,572,"1,300",651,"1,214",46
2020,6,80,"3,071",126,139,200,123,143,230,191,179,177,301,,49,206,402,195,395,15
2020,6,90,274,4,9,12,9,15,19,22,13,12,35,,8,24,33,12,44,3
2020,6,100,40,1,4,0,1,2,1,2,0,2,23,,0,0,1,1,1,1
2020,7,총,"114,941","3,138","5,087","5,839","4,401","4,256","8,180","7,923","6,433","9,246","13,333",,"1,262","4,981","14,706","9,227","16,393",536
2020,7,0,"6,959",58,187,192,161,171,494,624,291,469,"1,445",,41,275,677,677,"1,159",38
2020,7,10,"9,337",162,266,305,204,252,754,685,447,629,"1,356",,62,370,"1,132",913,"1,739",61
2020,7,20,"18,234",337,659,711,480,508,"1,334","1,230",868,"3,220","1,825",,122,652,"2,530","1,335","2,373",50
2020,7,30,"13,460",313,576,663,473,475,938,"1,043",810,"1,098","1,838",,120,514,"1,701","1,083","1,778",37
2020,7,40,"16,292",478,694,776,604,648,"1,131","1,141",936,"1,128","2,334",,135,632,"1,908","1,365","2,295",87
2020,7,50,"19,639",642,"1,024","1,174",859,710,"1,411","1,339","1,068","1,103","1,770",,268,862,"2,687","1,667","2,967",88
2020,7,60,"17,807",633,"1,018","1,169",972,790,"1,223","1,119","1,149",898,"1,493",,289,872,"2,331","1,323","2,419",109
2020,7,70,"9,829",388,514,637,517,540,646,526,672,511,913,,168,573,"1,301",659,"1,217",47
2020,7,80,"3,069",121,135,200,121,145,229,192,180,174,303,,49,207,405,192,401,15
2020,7,90,275,5,10,12,9,15,19,22,12,14,33,,8,24,33,12,44,3
2020,7,100,40,1,4,0,1,2,1,2,0,2,23,,0,0,1,1,1,1
2020,8,총,"114,665","3,093","5,048","5,813","4,382","4,235","8,136","7,853","6,419","9,268","13,305",,"1,261","4,984","14,667","9,333","16,334",534
2020,8,0,"6,915",59,186,190,157,172,491,614,285,463,"1,438",,41,275,672,687,"1,147",38
2020,8,10,"9,259",158,263,297,203,239,748,672,444,632,"1,352",,62,363,"1,125",922,"1,717",62
2020,8,20,"18,218",334,648,717,468,513,"1,320","1,213",867,"3,242","1,823",,123,659,"2,528","1,346","2,368",49
2020,8,30,"13,411",310,576,656,470,464,927,"1,039",804,"1,106","1,824",,120,510,"1,698","1,104","1,766",37
2020,8,40,"16,221",465,675,768,605,648,"1,130","1,125",930,"1,122","2,349",,132,627,"1,893","1,388","2,277",87
2020,8,50,"19,525",631,"1,012","1,167",851,706,"1,409","1,318","1,068","1,105","1,757",,265,862,"2,670","1,676","2,942",86
2020,8,60,"17,882",628,"1,023","1,166",977,793,"1,226","1,126","1,147",895,"1,502",,290,879,"2,336","1,336","2,447",111
2020,8,70,"9,837",383,520,637,519,539,635,529,677,513,902,,171,576,"1,301",664,"1,225",46
2020,8,80,"3,079",119,131,204,122,143,229,193,184,174,302,,49,208,409,197,401,14
2020,8,90,277,5,10,11,9,16,20,22,13,14,33,,7,25,34,12,43,3
2020,8,100,41,1,4,0,1,2,1,2,0,2,23,,1,0,1,1,1,1
2020,9,총,"114,368","3,074","5,005","5,784","4,385","4,220","8,120","7,808","6,415","9,247","13,228",,"1,266","4,977","14,622","9,414","16,270",533
2020,9,0,"6,824",58,177,185,154,170,483,605,285,459,"1,403",,40,266,668,701,"1,134",36
2020,9,10,"9,236",160,257,293,208,237,751,671,444,623,"1,369",,61,372,"1,097",927,"1,704",62
2020,9,20,"18,111",329,649,705,471,504,"1,309","1,203",856,"3,246","1,809",,125,655,"2,506","1,345","2,351",48
2020,9,30,"13,393",311,564,657,469,465,922,"1,040",804,"1,112","1,806",,125,508,"1,699","1,126","1,748",37
2020,9,40,"16,146",457,664,761,609,646,"1,139","1,111",916,"1,113","2,336",,130,618,"1,883","1,397","2,277",89
2020,9,50,"19,475",633,"1,004","1,167",842,707,"1,398","1,316","1,074","1,102","1,752",,263,862,"2,663","1,688","2,918",86
2020,9,60,"17,901",627,"1,022","1,163",982,787,"1,237","1,116","1,156",882,"1,494",,289,880,"2,346","1,349","2,460",111
2020,9,70,"9,866",375,520,636,517,545,631,529,684,515,902,,174,579,"1,313",670,"1,230",46
2020,9,80,"3,100",118,134,206,123,141,228,193,183,179,303,,51,213,413,197,404,14
2020,9,90,274,5,10,11,9,16,21,22,13,14,31,,7,24,33,13,42,3
2020,9,100,42,1,4,0,1,2,1,2,0,2,23,,1,0,1,1,2,1
2020,10,총,"114,052","3,059","4,958","5,769","4,376","4,199","8,117","7,792","6,409","9,219","13,168",,"1,263","4,959","14,617","9,384","16,230",533
2020,10,0,"6,755",59,174,183,150,171,481,601,279,453,"1,394",,40,268,653,691,"1,123",35
2020,10,10,"9,184",156,256,289,199,235,749,673,445,611,"1,365",,61,366,"1,095",929,"1,692",63
2020,10,20,"18,046",326,636,701,475,500,"1,298","1,210",853,"3,238","1,790",,124,647,"2,520","1,342","2,339",47
2020,10,30,"13,277",314,545,654,467,452,925,"1,025",791,"1,120","1,793",,122,507,"1,685","1,110","1,730",37
2020,10,40,"16,118",451,660,765,608,636,"1,144","1,102",919,"1,117","2,328",,127,615,"1,880","1,390","2,288",88
2020,10,50,"19,407",629,997,"1,154",847,701,"1,399","1,314","1,080","1,090","1,743",,264,864,"2,660","1,681","2,897",87
2020,10,60,"17,953",627,"1,018","1,164",974,795,"1,245","1,113","1,160",882,"1,495",,288,875,"2,368","1,353","2,485",111
2020,10,70,"9,863",375,525,640,522,545,625,531,685,509,899,,176,580,"1,306",675,"1,224",46
2020,10,80,"3,133",116,133,208,124,146,229,200,186,183,306,,53,212,415,199,408,15
2020,10,90,274,5,10,11,9,16,21,21,11,14,32,,7,25,34,13,42,3
2020,10,100,42,1,4,0,1,2,1,2,0,2,23,,1,0,1,1,2,1
2020,11,총,"113,883","3,038","4,930","5,732","4,386","4,179","8,105","7,775","6,388","9,209","13,166",,"1,263","4,957","14,580","9,431","16,212",532
2020,11,0,"6,694",59,166,180,153,167,486,595,270,442,"1,381",,39,265,645,687,"1,124",35
2020,11,10,"9,173",154,254,284,197,227,749,679,456,612,"1,368",,60,375,"1,081",935,"1,679",63
2020,11,20,"18,004",321,630,694,478,500,"1,292","1,209",844,"3,231","1,790",,120,642,"2,515","1,356","2,334",48
2020,11,30,"13,216",309,537,637,477,447,919,"1,012",788,"1,117","1,793",,125,500,"1,687","1,110","1,721",37
2020,11,40,"16,085",453,658,758,606,633,"1,133","1,095",916,"1,130","2,329",,129,611,"1,864","1,404","2,280",86
2020,11,50,"19,346",622,987,"1,160",842,698,"1,394","1,307","1,072","1,084","1,742",,266,860,"2,643","1,691","2,891",87
2020,11,60,"18,016",618,"1,027","1,167",979,799,"1,250","1,123","1,161",888,"1,498",,285,875,"2,384","1,350","2,501",111
2020,11,70,"9,884",382,523,636,522,540,632,533,681,502,902,,178,588,"1,310",680,"1,228",47
