년도,월,나이,거창군,거창읍,주상면,웅양면,고제면,북상면,위천면,마리면,남상면,남하면,신원면,가조면,가북면
2020,1,총,"30,275","20,186",757,948,749,757,945,955,"1,166",668,704,"1,793",647
2020,1,0,"2,048","1,787",14,25,21,15,36,24,35,12,20,47,12
2020,1,10,"3,079","2,595",39,54,33,31,61,48,52,27,24,93,22
2020,1,20,"3,565","2,801",55,80,52,52,71,82,97,47,43,150,35
2020,1,30,"2,688","2,135",34,50,40,34,55,49,95,39,22,108,27
2020,1,40,"4,171","3,124",76,106,61,93,103,101,113,71,70,199,54
2020,1,50,"5,506","3,423",154,206,197,157,200,191,211,128,128,355,156
2020,1,60,"4,664","2,437",176,169,161,162,206,225,266,166,160,391,145
2020,1,70,"2,908","1,274",122,147,116,137,129,132,195,107,173,271,105
2020,1,80,"1,489",561,81,102,48,67,75,97,88,64,53,168,85
2020,1,90,149,45,6,9,20,8,8,5,14,6,11,11,6
2020,1,100,8,4,0,0,0,1,1,1,0,1,0,0,0
2020,2,총,"30,222","20,133",757,947,748,756,942,956,"1,160",671,705,"1,794",653
2020,2,0,"2,036","1,772",13,25,21,16,37,24,34,14,20,47,13
2020,2,10,"3,068","2,586",38,53,32,31,61,48,51,26,24,93,25
2020,2,20,"3,521","2,768",55,80,55,50,68,81,93,48,43,148,32
2020,2,30,"2,684","2,127",34,49,40,35,55,51,94,38,23,108,30
2020,2,40,"4,161","3,124",77,101,62,92,102,99,110,71,70,199,54
2020,2,50,"5,488","3,422",155,206,194,155,199,189,215,127,126,349,151
2020,2,60,"4,699","2,447",178,171,162,163,206,230,268,169,160,396,149
2020,2,70,"2,923","1,286",120,150,113,139,131,131,194,106,174,273,106
2020,2,80,"1,485",551,81,103,50,65,74,98,88,65,54,169,87
2020,2,90,149,46,6,9,19,9,7,5,13,6,11,12,6
2020,2,100,8,4,0,0,0,1,2,0,0,1,0,0,0
