년도,월,나이,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020,1,총,"18,048","17,125",923
2020,1,0,"1,758","1,741",17
2020,1,10,"1,658","1,613",45
2020,1,20,"1,948","1,885",63
2020,1,30,"2,248","2,213",35
2020,1,40,"2,651","2,570",81
2020,1,50,"2,897","2,743",154
2020,1,60,"2,314","2,105",209
2020,1,70,"1,491","1,328",163
2020,1,80,961,824,137
2020,1,90,114,97,17
2020,1,100,8,6,2
2020,2,총,"18,046","17,128",918
2020,2,0,"1,737","1,721",16
2020,2,10,"1,666","1,620",46
2020,2,20,"1,940","1,879",61
2020,2,30,"2,223","2,188",35
2020,2,40,"2,647","2,568",79
2020,2,50,"2,915","2,759",156
2020,2,60,"2,340","2,135",205
2020,2,70,"1,492","1,327",165
2020,2,80,963,826,137
2020,2,90,115,99,16
2020,2,100,8,6,2
2020,3,총,"17,996","17,087",909
2020,3,0,"1,714","1,701",13
2020,3,10,"1,674","1,628",46
2020,3,20,"1,930","1,872",58
2020,3,30,"2,203","2,170",33
2020,3,40,"2,632","2,554",78
2020,3,50,"2,916","2,762",154
2020,3,60,"2,342","2,135",207
2020,3,70,"1,487","1,324",163
2020,3,80,969,830,139
2020,3,90,121,105,16
2020,3,100,8,6,2
2020,4,총,"17,963","17,056",907
2020,4,0,"1,702","1,689",13
2020,4,10,"1,669","1,621",48
2020,4,20,"1,924","1,869",55
2020,4,30,"2,195","2,163",32
2020,4,40,"2,625","2,547",78
2020,4,50,"2,910","2,755",155
2020,4,60,"2,347","2,142",205
2020,4,70,"1,486","1,323",163
2020,4,80,974,834,140
2020,4,90,122,106,16
2020,4,100,9,7,2
2020,5,총,"17,949","17,047",902
2020,5,0,"1,697","1,685",12
2020,5,10,"1,660","1,611",49
2020,5,20,"1,921","1,866",55
2020,5,30,"2,174","2,143",31
2020,5,40,"2,627","2,548",79
2020,5,50,"2,910","2,758",152
2020,5,60,"2,367","2,161",206
2020,5,70,"1,492","1,331",161
2020,5,80,969,829,140
2020,5,90,124,109,15
2020,5,100,8,6,2
2020,6,총,"17,893","16,999",894
2020,6,0,"1,682","1,670",12
2020,6,10,"1,649","1,600",49
2020,6,20,"1,917","1,866",51
2020,6,30,"2,171","2,140",31
2020,6,40,"2,610","2,534",76
2020,6,50,"2,885","2,733",152
2020,6,60,"2,393","2,188",205
2020,6,70,"1,487","1,326",161
2020,6,80,969,829,140
2020,6,90,122,107,15
2020,6,100,8,6,2
2020,7,총,"17,865","16,968",897
2020,7,0,"1,672","1,660",12
2020,7,10,"1,643","1,594",49
2020,7,20,"1,902","1,852",50
2020,7,30,"2,163","2,131",32
2020,7,40,"2,609","2,531",78
2020,7,50,"2,871","2,720",151
2020,7,60,"2,420","2,211",209
2020,7,70,"1,486","1,327",159
2020,7,80,971,833,138
2020,7,90,120,103,17
2020,7,100,8,6,2
2020,8,총,"17,838","16,944",894
2020,8,0,"1,653","1,640",13
2020,8,10,"1,636","1,592",44
2020,8,20,"1,894","1,843",51
2020,8,30,"2,146","2,113",33
2020,8,40,"2,605","2,527",78
2020,8,50,"2,877","2,724",153
2020,8,60,"2,437","2,228",209
2020,8,70,"1,488","1,331",157
2020,8,80,971,834,137
2020,8,90,123,106,17
2020,8,100,8,6,2
2020,9,총,"17,839","16,938",901
2020,9,0,"1,645","1,630",15
2020,9,10,"1,614","1,572",42
2020,9,20,"1,910","1,855",55
2020,9,30,"2,149","2,116",33
2020,9,40,"2,596","2,519",77
2020,9,50,"2,869","2,720",149
2020,9,60,"2,455","2,241",214
2020,9,70,"1,494","1,338",156
2020,9,80,971,832,139
2020,9,90,128,109,19
2020,9,100,8,6,2
2020,10,총,"17,782","16,884",898
2020,10,0,"1,617","1,603",14
2020,10,10,"1,619","1,576",43
2020,10,20,"1,903","1,851",52
2020,10,30,"2,133","2,097",36
2020,10,40,"2,575","2,501",74
2020,10,50,"2,860","2,714",146
2020,10,60,"2,481","2,262",219
2020,10,70,"1,481","1,328",153
2020,10,80,976,835,141
2020,10,90,129,111,18
2020,10,100,8,6,2
2020,11,총,"17,745","16,850",895
2020,11,0,"1,593","1,578",15
2020,11,10,"1,618","1,576",42
2020,11,20,"1,890","1,839",51
2020,11,30,"2,122","2,084",38
2020,11,40,"2,575","2,504",71
2020,11,50,"2,872","2,726",146
2020,11,60,"2,486","2,266",220
2020,11,70,"1,475","1,323",152
2020,11,80,977,837,140
2020,11,90,130,111,19
2020,11,100,7,6,1
2020,12,총,"17,678","16,785",893
2020,12,0,"1,563","1,548",15
2020,12,10,"1,609","1,567",42
2020,12,20,"1,882","1,833",49
2020,12,30,"2,109","2,067",42
2020,12,40,"2,571","2,501",70
2020,12,50,"2,852","2,706",146
2020,12,60,"2,491","2,273",218
2020,12,70,"1,476","1,325",151
2020,12,80,988,847,141
2020,12,90,131,112,19
2020,12,100,6,6,0
2021,1,총,"17,682","16,786",896
2021,1,0,"1,552","1,536",16
2021,1,10,"1,613","1,569",44
2021,1,20,"1,880","1,832",48
2021,1,30,"2,088","2,044",44
2021,1,40,"2,572","2,502",70
2021,1,50,"2,849","2,704",145
2021,1,60,"2,514","2,296",218
2021,1,70,"1,478","1,330",148
2021,1,80,994,851,143
2021,1,90,136,116,20
2021,1,100,6,6,0
2021,2,총,"17,605","16,718",887
2021,2,0,"1,524","1,509",15
2021,2,10,"1,605","1,560",45
2021,2,20,"1,867","1,820",47
2021,2,30,"2,059","2,018",41
2021,2,40,"2,557","2,487",70
2021,2,50,"2,856","2,713",143
2021,2,60,"2,530","2,311",219
2021,2,70,"1,477","1,333",144
2021,2,80,989,846,143
2021,2,90,135,115,20
2021,2,100,6,6,0
2021,3,총,"17,525","16,638",887
2021,3,0,"1,515","1,499",16
2021,3,10,"1,603","1,561",42
2021,3,20,"1,845","1,800",45
2021,3,30,"2,041","2,001",40
2021,3,40,"2,555","2,485",70
2021,3,50,"2,822","2,679",143
2021,3,60,"2,548","2,326",222
2021,3,70,"1,468","1,326",142
2021,3,80,996,850,146
2021,3,90,131,110,21
2021,3,100,1,1,0
2021,4,총,"17,509","16,626",883
2021,4,0,"1,496","1,480",16
2021,4,10,"1,596","1,559",37
2021,4,20,"1,841","1,796",45
2021,4,30,"2,039","1,998",41
2021,4,40,"2,550","2,481",69
2021,4,50,"2,823","2,680",143
2021,4,60,"2,573","2,351",222
2021,4,70,"1,462","1,319",143
2021,4,80,997,851,146
2021,4,90,131,110,21
2021,4,100,1,1,0
2021,5,총,"17,511","16,629",882
2021,5,0,"1,483","1,468",15
2021,5,10,"1,594","1,557",37
2021,5,20,"1,838","1,793",45
2021,5,30,"2,034","1,993",41
2021,5,40,"2,546","2,477",69
2021,5,50,"2,821","2,677",144
2021,5,60,"2,602","2,383",219
2021,5,70,"1,459","1,314",145
2021,5,80,"1,002",856,146
2021,5,90,131,110,21
2021,5,100,1,1,0
2021,6,총,"17,480","16,599",881
2021,6,0,"1,472","1,455",17
2021,6,10,"1,592","1,555",37
2021,6,20,"1,832","1,788",44
2021,6,30,"2,015","1,974",41
2021,6,40,"2,539","2,468",71
2021,6,50,"2,827","2,682",145
2021,6,60,"2,603","2,386",217
2021,6,70,"1,461","1,318",143
2021,6,80,"1,003",860,143
2021,6,90,134,111,23
2021,6,100,2,2,0
2021,7,총,"17,439","16,559",880
2021,7,0,"1,451","1,433",18
2021,7,10,"1,592","1,555",37
2021,7,20,"1,823","1,777",46
2021,7,30,"1,989","1,948",41
2021,7,40,"2,540","2,469",71
2021,7,50,"2,818","2,674",144
2021,7,60,"2,614","2,400",214
2021,7,70,"1,463","1,320",143
