년도,월,나이,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020,2,90,237,15,5,,7,16,6,12,16,10,5,8,8,0,12,14,3,0,10,2,3,6,14,4,12,7,12,10,8,12
2020,2,100,9,2,0,,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,3,총,"48,585","3,260",709,,"1,886","1,500",496,"1,336","2,017",851,"1,042","1,315",894,359,"1,024","1,371",639,178,"1,341",562,202,"1,037","1,000",414,"6,144","4,735","3,696","4,009","1,884","4,684"
2020,3,0,"2,804",158,27,,51,58,15,54,41,25,27,48,30,9,39,72,18,4,47,8,6,14,35,16,511,403,284,279,121,404
2020,3,10,"4,223",241,31,,97,76,27,89,152,47,57,84,41,20,51,77,37,6,79,29,13,52,47,19,768,478,382,425,201,597
2020,3,20,"4,952",262,56,,143,106,31,97,140,50,74,108,66,22,71,102,42,13,75,32,10,76,58,22,756,583,442,474,199,842
2020,3,30,"4,264",268,47,,132,81,20,90,127,49,70,68,47,18,67,105,47,6,97,21,5,70,42,17,747,633,379,389,165,457
2020,3,40,"6,351",433,70,,225,158,49,143,202,88,96,150,107,45,114,143,66,18,180,64,17,119,116,49,867,715,563,577,292,685
2020,3,50,"9,093",604,148,,378,311,120,230,365,194,233,285,196,77,223,278,154,41,276,100,45,168,191,92,"1,038",825,680,810,337,694
2020,3,60,"8,617",648,142,,422,319,109,309,476,183,250,312,217,99,217,295,139,51,280,141,36,245,218,95,819,672,517,555,267,584
2020,3,70,"5,422",415,126,,279,246,66,194,333,132,153,169,111,48,160,180,83,27,195,108,38,195,178,68,465,294,307,346,215,291
2020,3,80,"2,612",213,57,,152,128,53,118,164,75,77,82,70,21,71,104,49,12,100,57,29,92,101,32,160,125,130,143,80,117
2020,3,90,238,16,5,,7,16,6,12,16,8,5,8,8,0,11,15,4,0,11,2,3,6,14,4,13,7,12,10,7,12
2020,3,100,9,2,0,,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
