년도,월,나이,임실군,임실읍,청웅면,운암면,신평면,성수면,오수면,신덕면,삼계면,관촌면,강진면,덕치면,지사면
2020,1,총,"14,457","3,899",693,876,773,892,"1,952",724,762,"1,785",867,603,631
2020,1,0,781,390,21,22,33,30,73,35,19,81,29,17,31
2020,1,10,982,372,28,43,47,48,150,33,37,103,62,25,34
2020,1,20,"1,393",477,55,71,65,77,178,55,54,165,106,39,51
2020,1,30,"1,203",454,41,57,67,62,153,39,45,142,57,49,37
2020,1,40,"1,883",612,100,100,85,98,234,85,85,239,125,54,66
2020,1,50,"2,767",586,125,203,145,174,378,164,140,395,176,153,128
2020,1,60,"2,535",489,129,205,151,165,374,156,164,311,145,116,130
2020,1,70,"1,845",337,114,106,117,144,242,100,135,249,108,99,94
2020,1,80,966,169,71,54,57,87,153,53,75,89,53,49,56
2020,1,90,95,12,7,15,6,6,16,3,8,11,6,1,4
2020,1,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,2,총,"14,372","3,864",692,875,773,887,"1,936",715,759,"1,783",860,602,626
2020,2,0,767,377,21,24,38,29,71,32,19,81,28,17,30
2020,2,10,973,371,28,42,47,50,147,30,36,101,61,25,35
2020,2,20,"1,371",474,54,70,60,75,174,57,52,162,106,39,48
2020,2,30,"1,176",434,43,56,71,58,147,37,45,145,54,48,38
2020,2,40,"1,862",614,99,99,84,98,226,85,83,235,121,53,65
2020,2,50,"2,743",580,122,198,139,173,382,162,141,396,174,152,124
2020,2,60,"2,555",494,131,211,152,166,374,153,165,311,149,117,132
2020,2,70,"1,857",339,114,107,119,143,244,102,135,252,108,100,94
2020,2,80,966,168,71,54,57,88,153,53,75,89,53,49,56
2020,2,90,95,12,7,14,6,6,17,3,8,11,6,1,4
2020,2,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,3,총,"14,293","3,839",685,875,763,889,"1,928",717,755,"1,769",862,594,617
2020,3,0,750,366,19,26,34,27,70,33,17,81,30,17,30
2020,3,10,966,373,28,42,46,53,145,29,36,95,60,25,34
2020,3,20,"1,327",462,53,67,58,75,168,57,46,157,102,36,46
2020,3,30,"1,160",432,43,57,70,55,144,34,46,145,51,48,35
2020,3,40,"1,843",613,97,95,83,101,222,83,84,229,121,52,63
2020,3,50,"2,742",576,119,201,137,169,386,165,142,396,180,148,123
2020,3,60,"2,557",497,132,210,153,168,376,156,160,310,148,116,131
2020,3,70,"1,872",336,113,107,119,147,244,102,141,256,111,101,95
2020,3,80,974,171,72,56,57,87,155,54,75,90,53,49,55
2020,3,90,95,12,7,14,6,6,17,3,8,10,6,1,5
2020,3,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,4,총,"14,219","3,832",676,867,755,878,"1,920",704,755,"1,764",858,597,613
2020,4,0,737,369,17,27,32,26,66,29,17,78,28,17,31
2020,4,10,948,367,28,39,45,52,144,28,33,95,57,27,33
2020,4,20,"1,321",461,51,67,58,73,171,57,46,155,102,35,45
2020,4,30,"1,147",431,40,58,68,54,144,32,44,145,50,48,33
2020,4,40,"1,821",604,96,93,81,99,221,82,87,224,119,53,62
2020,4,50,"2,722",579,120,197,137,169,384,159,143,389,180,147,118
2020,4,60,"2,554",493,133,210,150,165,370,155,159,315,152,117,135
2020,4,70,"1,894",344,112,108,121,147,247,105,143,261,111,101,94
2020,4,80,972,171,70,55,57,85,155,53,74,92,53,50,57
2020,4,90,96,12,7,13,6,7,17,3,9,10,6,1,5
2020,4,100,7,1,2,0,0,1,1,1,0,0,0,1,0
2020,5,총,"14,184","3,809",679,865,756,882,"1,921",699,757,"1,757",847,596,616
2020,5,0,727,364,16,24,32,27,67,28,17,82,23,16,31
2020,5,10,952,372,29,39,45,53,141,28,33,94,58,26,34
2020,5,20,"1,295",442,51,66,58,74,171,55,46,150,101,37,44
2020,5,30,"1,136",428,40,58,68,55,143,35,44,138,45,48,34
2020,5,40,"1,814",603,96,95,80,97,222,80,86,226,119,50,60
2020,5,50,"2,716",576,121,193,138,168,382,158,144,386,182,147,121
2020,5,60,"2,572",495,137,213,151,167,373,152,160,321,150,119,134
2020,5,70,"1,894",345,112,109,120,147,251,106,141,255,113,99,96
