년도,월,나이,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020,3,총,"13,838","4,832",873,606,537,813,829,749,913,408,"1,519",495,630,634
2020,3,0,556,347,19,13,18,21,21,18,18,6,49,9,6,11
2020,3,10,731,425,25,17,10,31,35,25,32,9,82,14,13,13
2020,3,20,922,452,51,34,26,54,52,42,45,12,87,22,13,32
2020,3,30,880,522,41,25,22,41,38,17,48,15,59,16,21,15
2020,3,40,"1,237",698,52,29,29,58,58,48,51,16,124,19,25,30
2020,3,50,"2,138",735,149,111,78,122,131,119,156,60,239,60,92,86
2020,3,60,"2,493",717,166,128,100,155,161,146,196,95,286,96,120,127
2020,3,70,"2,421",504,169,119,120,169,150,166,198,98,320,123,143,142
2020,3,80,"2,111",372,174,112,114,139,160,149,147,82,229,114,168,151
2020,3,90,343,57,26,18,19,23,23,19,22,15,44,22,29,26
2020,3,100,6,3,1,0,1,0,0,0,0,0,0,0,0,1
2020,4,총,"13,806","4,825",871,600,537,811,829,751,910,408,"1,508",494,625,637
2020,4,0,555,348,18,12,19,21,23,18,17,6,48,9,5,11
2020,4,10,728,425,25,16,9,31,34,25,33,9,81,14,13,13
2020,4,20,908,447,50,32,27,51,51,44,43,12,84,22,13,32
2020,4,30,870,522,39,23,21,41,38,18,46,15,56,17,20,14
2020,4,40,"1,235",698,54,29,28,54,60,45,52,16,125,18,26,30
2020,4,50,"2,124",731,145,111,79,125,131,120,154,60,235,59,88,86
2020,4,60,"2,498",717,169,126,99,155,158,145,197,96,288,97,122,129
2020,4,70,"2,423",504,168,122,120,170,152,168,196,98,318,124,141,142
2020,4,80,"2,118",376,175,110,116,141,158,149,150,81,229,112,168,153
2020,4,90,341,54,27,19,18,22,24,19,22,15,44,22,29,26
2020,4,100,6,3,1,0,1,0,0,0,0,0,0,0,0,1
2020,5,총,"13,774","4,815",865,602,536,809,822,752,910,405,"1,505",493,622,638
2020,5,0,558,347,17,12,20,19,22,20,19,6,50,9,5,12
2020,5,10,726,426,25,16,9,32,33,26,32,9,79,13,13,13
2020,5,20,894,443,49,32,28,49,48,44,45,12,82,21,11,30
2020,5,30,860,518,38,22,20,39,36,18,45,14,57,17,22,14
2020,5,40,"1,227",696,53,29,27,55,60,44,52,15,124,18,24,30
2020,5,50,"2,123",731,142,112,78,127,129,118,154,61,234,61,90,86
2020,5,60,"2,491",717,170,128,99,153,159,145,193,94,287,97,118,131
2020,5,70,"2,419",506,168,122,120,168,151,167,194,100,317,122,142,142
2020,5,80,"2,126",376,175,110,116,145,160,151,153,79,229,113,167,152
2020,5,90,343,52,27,19,18,22,24,19,23,14,46,22,30,27
2020,5,100,7,3,1,0,1,0,0,0,0,1,0,0,0,1
2020,6,총,"13,766","4,821",861,603,538,804,822,749,912,404,"1,507",492,618,635
2020,6,0,557,347,17,12,20,18,23,20,18,6,49,9,6,12
2020,6,10,730,430,25,15,9,33,33,24,32,9,81,13,13,13
2020,6,20,894,445,48,32,29,49,48,44,47,13,81,19,10,29
2020,6,30,850,514,38,23,17,38,36,18,44,14,55,17,22,14
2020,6,40,"1,228",695,52,29,29,57,61,42,52,14,125,18,24,30
2020,6,50,"2,118",736,141,114,77,125,130,119,152,59,232,61,89,83
2020,6,60,"2,508",717,170,127,102,152,159,146,198,98,294,95,118,132
2020,6,70,"2,406",508,167,122,119,166,149,168,192,96,314,122,142,141
2020,6,80,"2,121",375,173,109,117,145,158,149,154,81,229,115,163,153
2020,6,90,347,51,29,20,18,21,25,19,23,13,47,23,31,27
2020,6,100,7,3,1,0,1,0,0,0,0,1,0,0,0,1
2020,7,총,"13,748","4,823",863,605,544,791,816,747,908,401,"1,508",491,619,632
2020,7,0,553,345,17,13,20,15,23,20,18,6,49,9,6,12
2020,7,10,721,424,26,16,9,30,33,24,31,9,81,12,13,13
2020,7,20,890,450,46,32,29,49,47,41,47,13,80,20,9,27
