년도,월,나이,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020,3,총,"351,496","118,823","35,418","3,412","13,210","8,504","11,428","34,172","22,382","9,184","28,889","20,205","31,104","14,765"
2020,3,0,"36,045","16,517","5,087",86,585,206,452,"2,847","1,482",784,"2,606","1,534","2,657","1,202"
2020,3,10,"34,188","12,073","2,711",110,907,518,652,"4,434","1,897","1,069","3,337","1,781","3,336","1,363"
2020,3,20,"41,217","14,429","3,506",188,"1,409",918,"1,427","4,684","3,239","1,037","3,287","2,227","3,197","1,669"
2020,3,30,"51,418","21,957","6,944",208,"1,165",624,"1,250","3,668","3,145","1,149","3,587","2,450","3,446","1,825"
2020,3,40,"60,391","21,144","6,096",290,"1,747","1,004","1,471","6,452","3,623","1,699","5,510","3,411","5,594","2,350"
2020,3,50,"58,322","16,549","4,848",656,"2,899","1,997","2,500","6,098","4,623","1,575","4,867","3,821","5,129","2,760"
2020,3,60,"40,295","10,076","3,786",912,"2,444","1,831","2,235","3,242","2,757","1,088","3,359","2,717","3,887","1,961"
2020,3,70,"20,246","4,225","1,764",615,"1,373",865,985,"1,904","1,113",534,"1,636","1,509","2,624","1,099"
2020,3,80,"8,299","1,617",592,296,593,450,399,773,433,227,614,692,"1,130",483
2020,3,90,"1,018",228,82,49,79,84,48,68,67,22,77,61,100,53
2020,3,100,57,8,2,2,9,7,9,2,3,0,9,2,4,0
2020,4,총,"351,383","118,927","35,404","3,387","13,156","8,462","11,464","34,087","22,364","9,176","28,811","20,152","31,048","14,945"
2020,4,0,"35,881","16,474","5,071",81,575,209,455,"2,814","1,463",788,"2,577","1,524","2,637","1,213"
