년도,월,나이,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020,3,총,"52,230","2,237","3,833","3,059","5,781","4,134","3,950","3,843","3,746","2,400","4,899","2,436","4,958","6,954"
2020,3,0,"2,922",114,200,134,480,333,374,255,53,61,287,54,198,379
2020,3,10,"3,748",141,264,220,477,410,422,291,179,114,282,97,301,550
2020,3,20,"6,720",322,423,474,782,528,500,721,415,233,649,223,521,929
2020,3,30,"5,918",278,380,320,787,455,453,528,332,220,692,255,472,746
2020,3,40,"7,600",312,570,442,899,655,613,555,526,378,694,331,691,934
2020,3,50,"9,359",394,681,518,931,694,654,564,749,477,889,492,971,"1,345"
2020,3,60,"8,628",354,660,489,751,581,534,529,777,481,771,523,998,"1,180"
2020,3,70,"5,298",225,458,330,480,344,269,272,502,328,469,336,630,655
2020,3,80,"1,835",88,187,115,174,122,121,116,188,93,148,111,158,214
2020,3,90,170,9,9,15,18,12,10,9,15,13,14,12,16,18
2020,3,100,32,0,1,2,2,0,0,3,10,2,4,2,2,4
2020,4,총,"52,251","2,224","3,809","3,264","5,750","4,115","3,930","3,824","3,716","2,394","4,880","2,477","4,964","6,904"
2020,4,0,"2,914",113,192,165,474,332,369,252,51,56,281,56,198,375
2020,4,10,"3,727",142,261,227,469,407,415,293,178,107,283,104,299,542
2020,4,20,"6,724",319,427,504,771,530,501,708,409,235,645,228,521,926
2020,4,30,"5,929",274,374,374,787,451,447,523,332,223,678,258,472,736
2020,4,40,"7,574",312,555,476,896,650,608,551,522,374,682,341,689,918
2020,4,50,"9,358",389,682,542,920,686,647,564,739,478,896,499,972,"1,344"
2020,4,60,"8,651",349,661,508,755,583,540,534,777,486,771,523,995,"1,169"
2020,4,70,"5,309",225,457,336,484,341,272,271,493,323,472,339,638,658
2020,4,80,"1,859",92,189,116,174,121,121,116,189,95,154,115,163,214
2020,4,90,173,9,10,14,18,14,10,9,16,15,14,12,14,18
2020,4,100,33,0,1,2,2,0,0,3,10,2,4,2,3,4
2020,5,총,"52,319","2,214","3,807","3,418","5,723","4,114","3,920","3,805","3,709","2,384","4,870","2,534","4,944","6,877"
2020,5,0,"2,924",113,190,188,470,331,368,250,57,56,273,59,196,373
2020,5,10,"3,710",143,263,239,459,406,413,285,177,104,283,106,297,535
2020,5,20,"6,735",311,422,521,771,530,500,710,401,239,649,237,519,925
2020,5,30,"5,908",271,372,403,773,450,446,517,328,216,664,271,463,734
2020,5,40,"7,580",313,549,502,887,649,605,544,521,374,686,343,692,915
2020,5,50,"9,367",387,676,563,923,693,644,569,738,470,890,520,966,"1,328"
2020,5,60,"8,665",348,672,523,753,579,540,533,775,483,780,523,984,"1,172"
2020,5,70,"5,343",227,462,342,489,342,273,268,492,329,472,345,643,659
2020,5,80,"1,877",92,189,120,176,120,121,118,194,96,154,116,167,214
2020,5,90,177,9,11,15,20,14,10,8,16,15,15,12,14,18
2020,5,100,33,0,1,2,2,0,0,3,10,2,4,2,3,4
2020,6,총,"52,341","2,217","3,787","3,530","5,723","4,101","3,910","3,799","3,674","2,377","4,858","2,582","4,917","6,866"
2020,6,0,"2,927",112,186,203,468,326,366,249,54,61,267,64,194,377
2020,6,10,"3,714",141,262,251,461,404,416,291,173,103,285,105,295,527
2020,6,20,"6,732",313,420,523,771,525,500,703,399,242,649,242,513,932
2020,6,30,"5,912",275,375,421,772,446,439,513,328,217,655,284,458,729
2020,6,40,"7,600",314,543,523,883,653,607,547,510,368,689,351,693,919
2020,6,50,"9,308",385,668,572,924,686,635,563,729,465,879,530,955,"1,317"
2020,6,60,"8,711",351,669,547,757,587,543,536,775,478,785,530,987,"1,166"
2020,6,70,"5,344",225,462,348,489,342,273,269,489,331,472,346,636,662
2020,6,80,"1,884",92,190,124,175,119,121,117,191,96,158,116,170,215
2020,6,90,175,9,11,16,21,13,10,8,16,14,15,12,13,17
2020,6,100,34,0,1,2,2,0,0,3,10,2,4,2,3,5
2020,7,총,"52,313","2,218","3,790","3,584","5,708","4,095","3,903","3,794","3,665","2,359","4,864","2,606","4,893","6,834"
2020,7,0,"2,928",113,183,209,469,329,363,247,57,60,269,67,188,374
2020,7,10,"3,692",142,261,249,459,402,415,295,175,95,282,106,293,518
2020,7,20,"6,710",312,427,540,757,527,498,692,395,243,640,242,505,932
2020,7,30,"5,909",272,376,434,768,435,436,515,325,216,652,296,460,724
2020,7,40,"7,605",320,541,530,887,651,605,545,513,364,696,355,687,911
2020,7,50,"9,282",382,662,581,929,681,635,566,715,463,883,527,947,"1,311"
2020,7,60,"8,732",349,676,549,750,589,549,537,778,478,791,534,989,"1,163"
2020,7,70,"5,350",228,461,348,490,341,271,267,488,328,473,351,641,663
2020,7,80,"1,897",91,191,126,177,125,122,118,193,96,158,115,169,216
2020,7,90,174,9,11,16,20,15,9,9,16,14,16,11,11,17
2020,7,100,34,0,1,2,2,0,0,3,10,2,4,2,3,5
2020,8,총,"52,216","2,199","3,779","3,621","5,692","4,085","3,898","3,798","3,641","2,365","4,850","2,612","4,874","6,802"
2020,8,0,"2,915",110,179,219,471,329,355,245,54,61,271,67,184,370
2020,8,10,"3,683",137,264,249,453,396,415,296,175,95,282,104,292,525
2020,8,20,"6,687",311,422,543,750,528,498,702,397,244,624,248,502,918
2020,8,30,"5,851",268,371,442,756,437,429,507,318,214,648,292,451,718
2020,8,40,"7,587",318,536,533,894,644,605,545,503,363,692,356,679,919
2020,8,50,"9,227",380,660,580,920,674,640,574,711,457,880,527,943,"1,281"
2020,8,60,"8,791",346,679,562,756,598,550,530,778,488,802,539,990,"1,173"
2020,8,70,"5,353",227,462,346,495,341,273,268,486,328,469,350,646,662
2020,8,80,"1,913",93,194,127,176,123,124,119,193,99,161,117,173,214
2020,8,90,175,9,11,18,19,15,9,9,16,14,17,10,11,17
2020,8,100,34,0,1,2,2,0,0,3,10,2,4,2,3,5
2020,9,총,"52,179","2,189","3,774","3,661","5,718","4,081","3,880","3,799","3,611","2,365","4,850","2,611","4,870","6,770"
2020,9,0,"2,919",108,182,226,475,326,354,243,54,62,270,71,186,362
2020,9,10,"3,672",140,260,255,460,398,406,294,168,97,282,103,292,517
2020,9,20,"6,673",302,414,545,748,523,501,706,396,239,626,252,495,926
2020,9,30,"5,828",266,374,448,762,438,420,500,315,213,646,287,444,715
2020,9,40,"7,574",316,532,538,899,641,599,553,494,363,691,361,674,913
2020,9,50,"9,190",382,657,579,920,676,639,571,706,457,878,523,943,"1,259"
2020,9,60,"8,825",347,685,573,759,600,549,535,774,486,801,535,998,"1,183"
2020,9,70,"5,362",226,462,348,494,342,279,267,487,334,470,348,646,659
2020,9,80,"1,927",92,196,129,179,122,124,118,191,99,165,119,178,215
2020,9,90,176,10,11,18,20,15,9,9,16,13,17,10,12,16
2020,9,100,33,0,1,2,2,0,0,3,10,2,4,2,2,5
2020,10,총,"52,306","2,182","3,754","3,638","6,157","4,022","3,862","3,763","3,598","2,342","4,822","2,588","4,834","6,744"
2020,10,0,"2,939",109,178,229,543,314,349,232,51,59,261,72,182,360
2020,10,10,"3,685",136,256,248,508,398,404,293,168,94,276,103,284,517
2020,10,20,"6,684",305,421,544,785,508,499,696,399,236,625,247,499,920
2020,10,30,"5,816",263,365,444,853,430,417,491,310,207,632,278,427,699
2020,10,40,"7,614",314,531,530,993,627,599,542,487,362,685,356,674,914
