년도,월,나이,화성시,봉담읍,우정읍,향남읍,남양읍,매송면,비봉면,마도면,송산면,서신면,팔탄면,장안면,양감면,정남면,새솔동,진안동,병점1동,병점2동,반월동,기배동,화산동,동탄1동,동탄2동,동탄3동,동탄4동,동탄5동,동탄6동,동탄7동,동탄8동
2020,3,50,"59,000","6,250","1,959","5,732","3,343",866,739,877,"1,269",950,"1,484","1,363",606,"1,452","1,171","2,968","2,008","1,629","2,162","1,140","2,172","3,314","2,378","2,055","2,728","1,937","1,614","3,728","1,106"
2020,3,60,"32,477","3,624","1,327","2,918","2,183",645,634,660,"1,045",861,"1,044","1,085",477,"1,035",504,"1,597","1,084",699,"1,130",641,"1,404","1,096",878,828,929,998,723,"1,787",641
2020,3,70,"14,245","1,620",764,"1,277",953,320,319,358,576,411,422,511,222,487,101,663,497,374,357,304,595,424,428,485,325,437,258,564,193
2020,3,80,"4,853",466,283,458,331,123,149,132,290,209,173,241,87,201,25,211,150,137,93,84,192,130,134,143,76,100,74,108,53
2020,3,90,406,42,27,35,22,13,14,9,31,16,19,19,8,13,2,27,8,8,13,3,8,11,8,14,6,8,8,12,2
2020,3,100,34,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,1,2,0,1,0,0,0,1,1,0
2020,4,총,"431,049","39,952","9,459","44,808","21,529","3,857","3,274","4,135","5,903","3,918","5,979","5,871","2,440","6,519","9,801","23,558","14,430","11,952","16,412","7,110","12,335","25,937","17,729","21,402","26,627","19,311","15,629","38,708","12,464"
2020,4,0,"54,283","4,204",519,"5,660","2,107",170,138,153,259,95,173,237,63,238,"1,777","2,390","1,469","1,365","2,305",764,"1,003","3,352","2,386","3,165","5,018","3,171","2,304","7,546","2,252"
2020,4,10,"48,192","4,869",753,"5,030","1,785",270,177,249,448,164,251,345,93,426,925,"2,043","1,621","2,012","2,030",997,"1,231","3,571","3,274","2,757","4,263","1,958","1,489","4,124","1,037"
2020,4,20,"53,702","5,120","1,109","5,484","3,089",480,360,478,587,364,668,601,259,828,"1,182","3,987","2,529","1,430","2,209",908,"1,797","3,910","1,859","3,203","2,065","1,998","2,143","3,676","1,379"
2020,4,30,"78,159","5,614","1,001","8,858","4,023",382,310,521,531,332,692,587,258,748,"2,266","5,298","2,430","1,595","2,994",818,"1,703","4,871","2,048","4,440","4,418","4,753","4,088","9,076","3,504"
2020,4,40,"84,862","8,042","1,681","9,260","3,662",580,432,676,855,520,"1,029",861,358,"1,083","1,836","4,315","2,636","2,690","3,077","1,430","2,217","5,220","4,293","4,275","6,787","3,895","2,912","7,996","2,244"
2020,4,50,"59,355","6,282","1,972","5,781","3,355",867,735,885,"1,268",945,"1,491","1,360",607,"1,448","1,174","2,995","1,998","1,640","2,177","1,158","2,171","3,337","2,405","2,073","2,737","1,963","1,614","3,779","1,138"
2020,4,60,"32,803","3,669","1,340","2,953","2,197",646,638,668,"1,050",853,"1,060","1,098",483,"1,044",512,"1,623","1,086",700,"1,151",641,"1,412","1,107",883,837,931,"1,018",734,"1,815",654
2020,4,70,"14,357","1,639",769,"1,277",958,320,313,364,583,415,420,516,222,488,101,665,504,373,362,305,598,426,438,493,322,446,264,575,201
2020,4,80,"4,890",465,285,466,331,126,155,132,289,212,174,242,88,201,27,217,149,139,92,84,193,133,135,144,79,101,72,106,53
2020,4,90,412,44,27,34,22,14,14,9,33,15,21,19,9,13,1,24,8,8,14,4,8,10,7,15,7,8,8,14,2
2020,4,100,34,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,1,2,0,1,0,0,0,1,1,0
2020,5,총,"432,499","39,985","9,481","44,990","21,586","3,854","3,293","4,139","5,881","3,919","5,998","5,865","2,437","6,567","9,840","23,678","14,411","11,954","16,450","7,105","12,315","25,984","17,758","21,450","26,685","19,547","15,771","38,884","12,672"
2020,5,0,"54,253","4,175",524,"5,654","2,099",171,139,153,254,96,174,234,63,244,"1,776","2,404","1,455","1,355","2,295",761,995,"3,338","2,365","3,141","5,014","3,202","2,321","7,552","2,299"
2020,5,10,"48,271","4,878",756,"5,035","1,781",268,178,235,449,164,252,340,88,416,938,"2,031","1,617","2,019","2,037",987,"1,223","3,565","3,286","2,757","4,274","1,991","1,491","4,164","1,051"
2020,5,20,"53,969","5,128","1,105","5,521","3,100",475,357,483,578,366,668,596,259,844,"1,179","4,030","2,539","1,450","2,225",916,"1,784","3,935","1,862","3,225","2,091","2,025","2,166","3,670","1,392"
2020,5,30,"78,297","5,585","1,005","8,896","4,019",386,321,522,526,331,700,583,255,765,"2,267","5,313","2,419","1,577","3,000",816,"1,695","4,887","2,048","4,437","4,384","4,801","4,127","9,061","3,571"
2020,5,40,"85,052","8,039","1,675","9,289","3,664",572,436,671,845,511,"1,021",859,357,"1,089","1,852","4,333","2,623","2,689","3,079","1,426","2,205","5,203","4,287","4,292","6,811","3,955","2,945","8,049","2,275"
2020,5,50,"59,751","6,325","1,986","5,812","3,380",868,737,891,"1,269",941,"1,503","1,358",610,"1,459","1,172","3,025","1,995","1,635","2,184","1,159","2,178","3,373","2,435","2,098","2,749","1,973","1,632","3,843","1,161"
2020,5,60,"33,062","3,690","1,341","2,991","2,219",649,638,673,"1,049",861,"1,062","1,108",485,"1,039",524,"1,626","1,099",707,"1,157",649,"1,429","1,107",886,846,949,"1,037",740,"1,839",662
2020,5,70,"14,483","1,655",774,"1,286",966,322,317,369,588,414,424,520,219,496,104,666,505,376,365,306,608,432,441,495,327,451,272,582,203
2020,5,80,"4,915",463,285,467,334,127,154,133,290,217,174,243,92,199,26,226,151,138,93,81,187,134,139,144,79,104,68,112,55
