년도,월,나이,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020,3,총,"43,552","7,953","19,135","3,282","3,955","2,666","1,773","1,030","2,836",195,727
2020,3,0,"2,866",728,"1,636",105,134,90,49,23,64,9,28
2020,3,10,"3,252",480,"1,927",190,196,159,73,53,128,10,36
2020,3,20,"5,397","1,248","2,441",323,450,246,157,84,350,42,56
2020,3,30,"4,280","1,025","2,180",214,289,186,109,60,162,11,44
2020,3,40,"5,042",837,"2,665",294,424,252,147,87,252,18,66
2020,3,50,"7,304","1,100","3,183",617,740,536,354,158,440,31,145
2020,3,60,"7,202","1,066","2,581",687,823,521,447,234,658,35,150
2020,3,70,"5,067",886,"1,529",502,570,440,270,226,500,24,120
2020,3,80,"2,696",503,821,314,273,216,146,93,245,13,72
2020,3,90,400,75,151,31,49,18,19,11,35,1,10
2020,3,100,46,5,21,5,7,2,2,1,2,1,0
2020,4,총,"43,618","7,939","19,240","3,273","3,966","2,662","1,768","1,019","2,825",198,728
2020,4,0,"2,877",738,"1,644",99,132,92,48,23,64,9,28
2020,4,10,"3,251",467,"1,946",185,194,156,75,52,130,10,36
2020,4,20,"5,418","1,249","2,458",338,453,244,152,81,345,43,55
2020,4,30,"4,300","1,028","2,201",206,289,187,109,60,162,12,46
2020,4,40,"5,028",829,"2,668",296,421,249,147,86,247,19,66
2020,4,50,"7,304","1,093","3,201",612,743,530,351,155,443,31,145
2020,4,60,"7,228","1,072","2,593",690,834,530,449,229,647,35,149
2020,4,70,"5,047",882,"1,522",499,565,434,270,226,505,24,120
2020,4,80,"2,722",502,833,312,279,220,146,96,248,13,73
2020,4,90,396,74,152,31,49,18,19,10,32,1,10
2020,4,100,47,5,22,5,7,2,2,1,2,1,0
2020,5,총,"43,689","7,924","19,299","3,280","3,981","2,680","1,763","1,016","2,818",197,731
2020,5,0,"2,865",724,"1,647",98,136,93,46,23,62,9,27
2020,5,10,"3,239",462,"1,942",187,193,157,72,51,128,10,37
2020,5,20,"5,439","1,242","2,465",347,459,249,149,79,353,42,54
2020,5,30,"4,318","1,032","2,213",208,291,187,111,61,156,11,48
2020,5,40,"5,021",826,"2,671",295,417,253,144,88,244,19,64
2020,5,50,"7,297","1,093","3,211",605,742,525,351,152,441,33,144
2020,5,60,"7,274","1,082","2,612",689,840,538,451,231,645,34,152
2020,5,70,"5,061",883,"1,524",502,567,437,273,223,506,24,122
2020,5,80,"2,731",501,840,312,281,221,144,97,249,13,73
2020,5,90,396,74,152,32,47,18,20,10,32,1,10
2020,5,100,48,5,22,5,8,2,2,1,2,1,0
2020,6,총,"43,618","7,930","19,259","3,270","3,975","2,666","1,767","1,017","2,814",199,721
2020,6,0,"2,862",731,"1,633",98,142,91,46,22,63,9,27
2020,6,10,"3,230",464,"1,938",189,193,153,71,51,125,10,36
2020,6,20,"5,408","1,226","2,463",338,461,244,151,81,349,44,51
2020,6,30,"4,290","1,043","2,187",207,286,187,114,58,153,11,44
2020,6,40,"5,024",820,"2,683",295,416,252,146,88,242,19,63
2020,6,50,"7,244","1,088","3,192",602,726,520,349,151,443,32,141
2020,6,60,"7,321","1,088","2,629",696,847,542,450,233,646,35,155
2020,6,70,"5,058",883,"1,523",498,568,434,274,225,507,24,122
2020,6,80,"2,736",505,838,310,282,223,144,97,252,13,72
2020,6,90,399,77,152,32,47,18,20,10,32,1,10
2020,6,100,46,5,21,5,7,2,2,1,2,1,0
2020,7,총,"43,566","7,919","19,242","3,251","3,970","2,656","1,784","1,023","2,803",198,720
2020,7,0,"2,833",725,"1,623",93,137,84,49,23,63,9,27
2020,7,10,"3,208",466,"1,928",184,193,150,72,48,122,9,36
2020,7,20,"5,389","1,228","2,456",332,464,241,146,84,339,45,54
2020,7,30,"4,274","1,038","2,178",204,284,186,118,61,151,10,44
2020,7,40,"5,020",823,"2,682",294,413,253,144,88,245,18,60
2020,7,50,"7,231","1,074","3,193",600,722,521,354,154,439,33,141
2020,7,60,"7,341","1,091","2,641",693,845,540,457,234,652,33,155
2020,7,70,"5,064",880,"1,526",499,573,435,275,225,503,25,123
2020,7,80,"2,754",511,840,316,284,226,144,95,254,14,70
2020,7,90,405,78,154,31,47,18,23,10,33,1,10
2020,7,100,47,5,21,5,8,2,2,1,2,1,0
2020,8,총,"43,542","7,895","19,300","3,235","3,942","2,650","1,795","1,029","2,782",194,720
2020,8,0,"2,819",723,"1,624",91,125,83,51,24,62,9,27
2020,8,10,"3,204",457,"1,937",181,191,152,73,49,119,9,36
2020,8,20,"5,363","1,224","2,459",335,458,233,146,84,328,43,53
2020,8,30,"4,257","1,028","2,191",203,276,182,119,60,147,9,42
2020,8,40,"5,017",812,"2,697",289,411,257,144,89,241,18,59
2020,8,50,"7,200","1,077","3,175",592,717,520,352,153,439,33,142
2020,8,60,"7,406","1,102","2,670",697,846,545,462,237,658,32,157
2020,8,70,"5,054",875,"1,526",497,576,433,275,226,498,25,123
2020,8,80,"2,772",513,847,316,288,227,147,96,254,14,70
2020,8,90,404,79,153,30,46,16,24,10,34,1,11
2020,8,100,46,5,21,4,8,2,2,1,2,1,0
2020,9,총,"43,590","7,915","19,330","3,233","3,952","2,650","1,792","1,030","2,775",193,720
2020,9,0,"2,811",719,"1,625",91,125,81,51,22,62,9,26
2020,9,10,"3,188",449,"1,934",178,191,153,68,51,118,9,37
2020,9,20,"5,390","1,247","2,463",334,457,235,146,82,330,42,54
2020,9,30,"4,235","1,026","2,173",203,276,180,122,63,142,9,41
2020,9,40,"5,027",820,"2,705",292,414,256,144,85,236,17,58
2020,9,50,"7,186","1,068","3,176",590,715,515,348,159,441,33,141
2020,9,60,"7,448","1,110","2,691",695,855,548,464,238,656,33,158
2020,9,70,"5,052",873,"1,532",501,570,431,274,224,498,26,123
2020,9,80,"2,804",520,860,315,295,233,148,95,254,13,71
2020,9,90,404,78,152,30,46,16,24,10,36,1,11
2020,9,100,45,5,19,4,8,2,3,1,2,1,0
2020,10,총,"43,574","7,910","19,346","3,223","3,943","2,647","1,784","1,028","2,776",194,723
2020,10,0,"2,774",706,"1,604",93,122,81,50,22,62,9,25
