년도,월,나이,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020,1,총,"115,238","5,640","2,730","2,454","4,588","5,010","7,040","2,798","3,978","2,744","3,278","1,494","2,187","1,674","4,939","9,300","5,264","9,353","6,090","8,612","2,570","5,834","5,269","12,392"
2020,1,0,"9,797",259,120,95,335,664,559,272,134,116,241,45,75,96,395,"1,059",448,817,476,699,270,548,494,"1,580"
2020,1,10,"12,562",412,181,160,468,575,830,250,218,183,328,76,109,134,532,"1,243",660,"1,030",572,988,263,847,559,"1,944"
2020,1,20,"12,818",540,256,223,511,664,822,285,371,231,373,103,195,148,550,873,516,874,"1,040","1,253",255,735,690,"1,310"
2020,1,30,"13,696",476,235,170,503,884,766,418,283,205,346,96,127,129,527,"1,286",618,"1,091",868,992,340,757,693,"1,886"
2020,1,40,"18,667",673,299,249,680,861,"1,223",409,446,301,459,169,211,194,754,"1,667",859,"1,543","1,090","1,477",409,"1,120",922,"2,652"
2020,1,50,"18,448",927,461,416,785,610,"1,208",431,671,446,531,239,322,239,891,"1,260",847,"1,525",943,"1,673",398,948,965,"1,712"
2020,1,60,"14,365","1,140",575,460,646,412,813,337,781,589,542,337,425,286,701,940,693,"1,211",586,842,307,482,503,757
2020,1,70,"9,669",816,412,448,409,211,543,246,697,489,314,291,445,297,401,609,392,779,319,437,207,258,288,361
2020,1,80,"4,447",340,157,208,211,111,240,129,312,163,132,106,242,128,160,312,189,412,165,215,106,119,138,152
2020,1,90,712,55,30,23,37,17,30,18,60,20,12,28,27,20,28,48,40,66,29,35,15,19,17,38
2020,1,100,57,2,4,2,3,1,6,3,5,1,0,4,9,3,0,3,2,5,2,1,0,1,0,0
2020,2,총,"114,973","5,617","2,720","2,459","4,596","5,030","7,023","2,789","3,955","2,734","3,280","1,480","2,174","1,662","4,911","9,288","5,294","9,313","6,099","8,596","2,572","5,834","5,217","12,330"
2020,2,0,"9,721",258,120,96,352,665,546,270,129,114,240,43,77,98,393,"1,047",451,803,465,696,272,547,486,"1,553"
2020,2,10,"12,469",404,179,165,462,578,821,249,220,180,329,75,110,134,528,"1,233",656,"1,023",559,978,256,845,546,"1,939"
2020,2,20,"12,767",541,251,218,510,660,830,284,357,235,375,103,184,142,532,876,518,877,"1,067","1,236",261,726,678,"1,306"
2020,2,30,"13,565",472,234,171,495,887,758,417,282,203,335,96,125,127,524,"1,271",617,"1,062",863,"1,001",334,752,677,"1,862"
2020,2,40,"18,673",659,299,249,676,867,"1,217",408,444,301,468,159,209,195,753,"1,681",876,"1,540","1,091","1,469",411,"1,126",922,"2,653"
2020,2,50,"18,428",921,455,413,786,616,"1,204",428,670,443,532,237,322,234,890,"1,257",852,"1,534",938,"1,674",399,957,956,"1,710"
2020,2,60,"14,440","1,146",580,459,649,415,822,340,775,586,541,344,427,288,698,941,700,"1,208",603,849,313,484,509,763
2020,2,70,"9,657",815,411,452,415,213,543,245,699,481,317,290,442,295,404,611,393,777,314,440,203,259,286,352
2020,2,80,"4,477",343,157,210,209,112,245,128,313,168,131,104,242,126,162,318,190,417,167,216,106,119,138,156
2020,2,90,716,56,30,24,39,16,31,17,61,22,12,25,27,20,27,50,38,67,30,35,17,17,19,36
2020,2,100,60,2,4,2,3,1,6,3,5,1,0,4,9,3,0,3,3,5,2,2,0,2,0,0
2020,3,총,"114,871","5,579","2,708","2,459","4,595","5,031","7,008","2,797","3,935","2,725","3,255","1,479","2,156","1,648","4,888","9,255","5,442","9,288","6,114","8,561","2,566","5,873","5,199","12,310"
2020,3,0,"9,662",251,118,95,352,667,535,275,129,113,232,43,72,93,386,"1,033",473,799,455,703,265,557,477,"1,539"
2020,3,10,"12,416",406,175,164,461,578,818,249,216,178,327,75,108,131,521,"1,229",674,"1,017",551,949,259,845,549,"1,936"
2020,3,20,"12,755",530,255,220,502,647,827,284,349,235,367,105,180,142,533,872,532,874,"1,098","1,232",258,739,674,"1,300"
2020,3,30,"13,505",464,228,171,493,902,749,420,279,195,330,97,123,121,519,"1,257",653,"1,045",866,990,329,760,669,"1,845"
2020,3,40,"18,616",654,294,245,680,861,"1,214",404,444,298,462,157,206,195,744,"1,673",898,"1,537","1,083","1,465",412,"1,131",911,"2,648"
2020,3,50,"18,398",919,449,412,784,618,"1,204",423,666,443,527,233,313,232,886,"1,261",869,"1,521",940,"1,661",397,951,965,"1,724"
2020,3,60,"14,561","1,139",585,457,656,419,832,345,777,587,544,348,429,291,707,952,712,"1,221",605,868,315,490,510,772
2020,3,70,"9,652",818,410,454,416,210,539,243,695,480,320,289,441,293,399,613,395,780,316,441,207,260,287,346
2020,3,80,"4,507",342,157,214,208,109,251,134,312,173,132,103,246,126,167,312,192,422,168,213,106,119,138,163
2020,3,90,739,54,33,25,40,19,33,17,63,22,14,25,29,21,26,50,41,68,30,37,18,18,19,37
2020,3,100,60,2,4,2,3,1,6,3,5,1,0,4,9,3,0,3,3,4,2,2,0,3,0,0
2020,4,총,"114,776","5,582","2,694","2,456","4,590","5,050","7,009","2,782","3,920","2,718","3,252","1,467","2,151","1,636","4,897","9,240","5,516","9,283","6,084","8,571","2,563","5,842","5,167","12,306"
2020,4,0,"9,607",255,115,95,357,669,528,266,131,111,234,41,76,89,376,"1,023",477,793,455,695,264,552,470,"1,535"
2020,4,10,"12,384",408,176,166,457,576,826,245,220,174,324,71,107,130,521,"1,228",687,"1,008",542,947,260,833,547,"1,931"
2020,4,20,"12,746",527,248,216,502,651,819,285,342,237,365,104,180,143,540,869,528,876,"1,095","1,237",262,734,673,"1,313"
2020,4,30,"13,466",466,225,167,495,908,755,416,278,196,326,94,119,121,524,"1,246",664,"1,040",857,998,331,753,664,"1,823"
2020,4,40,"18,574",647,289,245,675,864,"1,198",404,441,299,459,154,201,192,743,"1,677",924,"1,538","1,069","1,455",409,"1,133",903,"2,655"
2020,4,50,"18,385",924,446,407,785,616,"1,213",419,651,436,523,233,313,230,892,"1,263",887,"1,518",939,"1,660",394,949,959,"1,728"
2020,4,60,"14,622","1,141",587,461,659,424,836,348,779,587,549,349,428,286,709,957,711,"1,232",603,883,314,487,512,780
2020,4,70,"9,641",814,409,454,408,209,544,242,698,483,326,288,441,292,394,613,399,779,320,437,205,261,282,343
2020,4,80,"4,548",344,161,218,212,112,250,137,310,172,132,105,249,129,173,311,194,423,171,219,107,121,138,160
2020,4,90,742,54,34,25,37,20,34,17,65,22,14,24,28,21,25,50,42,70,31,38,17,17,19,38
