년도,월,나이,동해시,천곡동,송정동,북삼동,부곡동,동호동,발한동,묵호동,북평동,망상동,삼화동
2020,1,총,"45,782","15,128","2,354","10,448","2,629","2,718","1,863","1,609","5,543","1,898","1,592"
2020,1,0,"3,520","1,508",91,900,122,171,70,63,438,94,63
2020,1,10,"4,738","1,667",157,"1,531",196,239,104,98,523,110,113
2020,1,20,"5,480","1,944",438,"1,300",270,290,169,107,638,168,156
2020,1,30,"4,998","1,894",201,"1,123",240,283,171,126,640,184,136
2020,1,40,"7,796","2,590",335,"1,988",410,449,287,263,936,305,233
2020,1,50,"8,021","2,415",435,"1,880",467,525,310,280,"1,034",341,334
2020,1,60,"6,261","1,962",354,998,505,384,354,314,752,338,300
2020,1,70,"3,589",864,231,537,310,280,288,237,420,243,179
2020,1,80,"1,270",262,105,177,99,89,98,109,155,104,72
2020,1,90,101,22,6,14,8,7,11,12,7,9,5
2020,1,100,8,0,1,0,2,1,1,0,0,2,1
2020,2,총,"45,676","15,078","2,346","10,340","2,619","2,699","1,859","1,601","5,673","1,882","1,579"
2020,2,0,"3,496","1,490",90,875,123,168,67,60,471,90,62
2020,2,10,"4,692","1,658",155,"1,497",191,241,104,97,529,107,113
2020,2,20,"5,472","1,937",442,"1,288",271,288,167,104,655,171,149
2020,2,30,"4,955","1,874",200,"1,112",235,272,164,122,670,174,132
2020,2,40,"7,760","2,576",331,"1,955",413,444,289,261,963,299,229
2020,2,50,"8,015","2,402",432,"1,884",460,525,312,279,"1,040",343,338
2020,2,60,"6,303","1,986",352,"1,001",506,386,355,320,762,334,301
2020,2,70,"3,590",862,231,533,311,280,292,235,421,247,178
2020,2,80,"1,285",268,105,182,99,89,97,111,157,106,71
2020,2,90,99,25,7,13,8,5,11,12,5,8,5
2020,2,100,9,0,1,0,2,1,1,0,0,3,1
2020,3,총,"45,731","15,055","2,325","10,277","2,611","2,673","1,867","1,593","5,883","1,876","1,571"
2020,3,0,"3,509","1,490",91,863,118,167,69,58,503,88,62
2020,3,10,"4,694","1,664",155,"1,473",188,238,103,95,556,110,112
2020,3,20,"5,468","1,926",430,"1,292",273,288,170,103,670,169,147
2020,3,30,"4,950","1,866",200,"1,097",232,267,166,119,702,171,130
2020,3,40,"7,730","2,546",328,"1,928",406,436,286,259,"1,024",292,225
2020,3,50,"8,039","2,404",422,"1,885",463,523,313,283,"1,065",342,339
