년도,월,나이,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020,3,총,"21,310","1,078","1,482","3,476","5,493","2,472",542,468,"2,431","3,868"
2020,3,0,691,21,43,107,199,54,9,5,99,154
2020,3,10,"1,085",41,55,228,303,101,19,16,116,206
2020,3,20,"2,754",240,165,464,722,276,46,32,427,382
2020,3,30,"2,080",163,112,339,539,225,53,41,290,318
2020,3,40,"2,570",113,155,451,703,259,59,43,301,486
2020,3,50,"3,598",155,277,593,905,438,105,76,347,702
2020,3,60,"4,109",184,313,598,"1,049",543,127,127,394,774
2020,3,70,"2,820",90,233,438,712,346,71,85,278,567
2020,3,80,"1,280",51,101,195,300,180,37,37,146,233
2020,3,90,259,18,24,58,51,31,14,5,26,32
2020,3,100,64,2,4,5,10,19,2,1,7,14
2020,4,총,"21,263","1,084","1,479","3,474","5,488","2,472",539,470,"2,409","3,848"
2020,4,0,686,21,43,105,199,51,10,6,97,154
2020,4,10,"1,072",40,58,223,300,99,18,16,111,207
2020,4,20,"2,765",244,160,469,728,282,44,33,422,383
2020,4,30,"2,067",169,115,327,538,226,54,43,287,308
2020,4,40,"2,552",115,155,455,693,258,58,41,296,481
2020,4,50,"3,577",152,275,590,910,439,99,76,345,691
2020,4,60,"4,106",183,309,601,"1,042",542,130,126,394,779
2020,4,70,"2,829",89,235,447,711,345,72,85,279,566
2020,4,80,"1,283",50,99,194,306,178,38,38,145,235
2020,4,90,262,19,26,58,51,33,14,5,26,30
2020,4,100,64,2,4,5,10,19,2,1,7,14
2020,5,총,"21,285","1,118","1,486","3,471","5,487","2,478",533,467,"2,400","3,845"
2020,5,0,674,21,44,102,196,50,9,6,96,150
2020,5,10,"1,063",42,56,223,297,100,17,15,109,204
2020,5,20,"2,766",259,159,464,724,280,42,34,418,386
2020,5,30,"2,082",179,117,334,535,231,54,45,282,305
2020,5,40,"2,549",121,155,451,694,255,59,41,294,479
2020,5,50,"3,587",155,277,589,911,444,99,75,346,691
2020,5,60,"4,108",179,312,599,"1,046",543,127,122,398,782
2020,5,70,"2,833",91,239,451,708,341,73,85,278,567
2020,5,80,"1,296",49,97,195,315,181,38,38,147,236
2020,5,90,264,20,26,59,51,34,13,5,25,31
2020,5,100,63,2,4,4,10,19,2,1,7,14
2020,6,총,"21,241","1,146","1,481","3,435","5,470","2,485",537,469,"2,391","3,827"
2020,6,0,666,20,46,97,194,54,9,6,92,148
2020,6,10,"1,056",44,53,217,298,96,16,15,111,206
2020,6,20,"2,772",279,157,452,731,280,45,35,412,381
2020,6,30,"2,082",189,118,327,533,235,56,44,281,299
2020,6,40,"2,529",120,154,449,687,261,57,41,288,472
2020,6,50,"3,562",156,276,590,899,434,99,77,343,688
2020,6,60,"4,105",178,307,595,"1,039",547,126,124,403,786
2020,6,70,"2,852",88,244,452,714,346,75,85,281,567
2020,6,80,"1,294",50,95,194,316,179,40,36,148,236
2020,6,90,260,20,27,58,49,34,12,5,25,30
2020,6,100,63,2,4,4,10,19,2,1,7,14
2020,7,총,"21,253","1,182","1,481","3,449","5,462","2,491",529,464,"2,391","3,804"
2020,7,0,663,20,46,97,195,51,8,7,93,146
2020,7,10,"1,046",47,54,215,289,97,16,15,110,203
2020,7,20,"2,797",296,157,466,732,284,44,35,403,380
2020,7,30,"2,078",193,123,327,529,235,55,44,282,290
2020,7,40,"2,538",131,153,452,692,258,55,40,289,468
2020,7,50,"3,553",159,271,586,895,432,102,74,351,683
2020,7,60,"4,112",176,306,600,"1,039",554,122,124,404,787
2020,7,70,"2,843",88,241,451,716,346,73,84,276,568
2020,7,80,"1,298",50,99,194,314,180,40,35,151,235
2020,7,90,262,20,27,57,51,35,12,5,25,30
2020,7,100,63,2,4,4,10,19,2,1,7,14
2020,8,총,"21,272","1,210","1,473","3,455","5,477","2,494",528,460,"2,379","3,796"
2020,8,0,650,21,45,97,193,50,9,7,86,142
2020,8,10,"1,030",47,55,209,287,95,16,15,105,201
2020,8,20,"2,836",317,158,474,742,286,44,32,403,380
2020,8,30,"2,068",196,118,333,527,228,52,42,284,288
2020,8,40,"2,520",134,151,446,690,256,55,39,285,464
2020,8,50,"3,554",161,266,585,895,436,101,77,351,682
2020,8,60,"4,126",177,306,604,"1,043",561,124,123,402,786
2020,8,70,"2,855",87,242,454,721,346,74,84,279,568
2020,8,80,"1,300",48,100,190,317,182,39,35,151,238
2020,8,90,268,19,28,59,52,35,11,5,26,33
2020,8,100,65,3,4,4,10,19,3,1,7,14
2020,9,총,"21,248","1,219","1,464","3,461","5,473","2,479",530,462,"2,362","3,798"
2020,9,0,649,22,45,100,193,48,9,7,83,142
2020,9,10,"1,025",46,57,210,280,89,17,15,105,206
2020,9,20,"2,828",325,157,472,743,287,45,31,396,372
2020,9,30,"2,056",196,115,335,523,226,52,42,277,290
2020,9,40,"2,519",134,150,447,687,254,54,41,285,467
2020,9,50,"3,519",162,261,582,891,426,101,78,349,669
2020,9,60,"4,144",179,306,607,"1,050",560,124,124,402,792
2020,9,70,"2,870",86,243,455,723,354,74,81,284,570
2020,9,80,"1,305",48,98,188,323,181,40,36,148,243
2020,9,90,268,18,28,61,50,35,11,6,26,33
2020,9,100,65,3,4,4,10,19,3,1,7,14
2020,10,총,"21,227","1,228","1,453","3,464","5,471","2,472",524,459,"2,352","3,804"
2020,10,0,633,19,45,100,187,45,8,7,83,139
2020,10,10,"1,010",42,55,206,273,90,17,15,106,206
2020,10,20,"2,846",343,152,478,750,279,48,32,388,376
2020,10,30,"2,044",189,112,330,530,225,52,41,278,287
2020,10,40,"2,510",138,151,444,683,251,54,42,281,466
2020,10,50,"3,520",162,259,584,894,424,100,75,349,673
2020,10,60,"4,149",179,301,610,"1,055",566,117,126,402,793
2020,10,70,"2,873",86,243,459,720,353,74,80,284,574
2020,10,80,"1,309",49,102,189,319,184,41,34,148,243
2020,10,90,268,18,29,60,50,36,10,6,26,33
2020,10,100,65,3,4,4,10,19,3,1,7,14
2020,11,총,"21,207","1,239","1,447","3,455","5,496","2,466",523,451,"2,343","3,787"
2020,11,0,628,19,42,100,192,43,8,6,83,135
2020,11,10,"1,006",37,60,203,275,88,17,15,103,208
2020,11,20,"2,836",347,146,478,754,275,50,31,388,367
2020,11,30,"2,046",197,111,327,540,219,51,39,278,284
2020,11,40,"2,488",140,148,442,674,256,56,39,276,457
