년도,월,나이,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020,1,총,"81,515","5,912","13,860","19,332","10,884","14,777","16,750"
2020,1,0,"6,372",391,996,"1,497",795,"1,296","1,397"
2020,1,10,"7,398",494,"1,245","2,002","1,009","1,171","1,477"
2020,1,20,"10,781",671,"1,791","2,397","1,659","2,094","2,169"
2020,1,30,"10,839",753,"1,792","2,504","1,291","2,135","2,364"
2020,1,40,"12,805",836,"2,050","3,212","1,767","2,228","2,712"
2020,1,50,"15,336","1,097","2,517","3,505","2,241","2,794","3,182"
2020,1,60,"9,917",913,"1,680","2,493","1,157","1,677","1,997"
2020,1,70,"4,780",456,"1,066","1,078",544,794,842
2020,1,80,"2,718",244,614,525,345,482,508
2020,1,90,535,56,100,116,65,102,96
2020,1,100,34,1,9,3,11,4,6
2020,2,총,"82,273","5,890","14,169","19,221","10,860","14,452","17,681"
2020,2,0,"6,484",384,"1,053","1,486",788,"1,264","1,509"
2020,2,10,"7,374",490,"1,246","1,962","1,006","1,133","1,537"
2020,2,20,"10,855",668,"1,834","2,372","1,630","2,043","2,308"
2020,2,30,"11,035",743,"1,887","2,479","1,292","2,102","2,532"
2020,2,40,"12,864",824,"2,063","3,210","1,757","2,164","2,846"
2020,2,50,"15,468","1,087","2,558","3,479","2,241","2,734","3,369"
2020,2,60,"10,102",928,"1,717","2,514","1,177","1,659","2,107"
2020,2,70,"4,775",458,"1,073","1,076",544,775,849
2020,2,80,"2,742",251,626,520,351,476,518
2020,2,90,541,56,104,120,63,98,100
2020,2,100,33,1,8,3,11,4,6
2020,3,총,"82,586","5,892","14,393","19,276","10,866","14,107","18,052"
2020,3,0,"6,522",376,"1,077","1,498",780,"1,247","1,544"
2020,3,10,"7,324",486,"1,240","1,932","1,005","1,099","1,562"
2020,3,20,"10,917",673,"1,869","2,401","1,633","1,979","2,362"
2020,3,30,"11,115",736,"1,940","2,496","1,287","2,078","2,578"
2020,3,40,"12,892",827,"2,101","3,205","1,750","2,119","2,890"
2020,3,50,"15,470","1,086","2,584","3,477","2,230","2,640","3,453"
2020,3,60,"10,210",942,"1,742","2,530","1,197","1,641","2,158"
2020,3,70,"4,796",458,"1,091","1,085",548,748,866
2020,3,80,"2,753",248,634,526,358,459,528
2020,3,90,552,58,107,123,66,93,105
2020,3,100,35,2,8,3,12,4,6
2020,4,총,"82,652","5,909","14,476","19,260","10,885","13,809","18,313"
2020,4,0,"6,522",371,"1,075","1,487",776,"1,248","1,565"
2020,4,10,"7,296",481,"1,235","1,924",991,"1,083","1,582"
2020,4,20,"10,954",682,"1,899","2,412","1,646","1,928","2,387"
2020,4,30,"11,142",744,"1,944","2,482","1,285","2,039","2,648"
2020,4,40,"12,858",828,"2,122","3,199","1,737","2,077","2,895"
2020,4,50,"15,466","1,082","2,589","3,475","2,248","2,568","3,504"
2020,4,60,"10,264",958,"1,759","2,530","1,212","1,603","2,202"
2020,4,70,"4,798",452,"1,098","1,094",553,724,877
2020,4,80,"2,767",248,640,534,358,448,539
2020,4,90,549,61,107,119,67,87,108
2020,4,100,36,2,8,4,12,4,6
2020,5,총,"82,368","5,915","14,511","19,233","10,924","13,306","18,479"
2020,5,0,"6,488",370,"1,060","1,474",777,"1,231","1,576"
2020,5,10,"7,274",478,"1,233","1,928",984,"1,055","1,596"
2020,5,20,"10,883",678,"1,903","2,395","1,649","1,853","2,405"
2020,5,30,"11,119",744,"1,942","2,468","1,293","1,991","2,681"
2020,5,40,"12,781",825,"2,133","3,167","1,739","2,015","2,902"
2020,5,50,"15,437","1,085","2,608","3,488","2,245","2,465","3,546"
2020,5,60,"10,253",974,"1,770","2,552","1,232","1,500","2,225"
2020,5,70,"4,801",455,"1,105","1,099",564,691,887
2020,5,80,"2,753",243,646,540,362,420,542
2020,5,90,543,61,103,118,66,82,113
2020,5,100,36,2,8,4,13,3,6
2020,6,총,"82,142","5,930","14,545","19,244","10,932","12,902","18,589"
2020,6,0,"6,463",369,"1,065","1,466",764,"1,215","1,584"
2020,6,10,"7,248",480,"1,223","1,926",983,"1,033","1,603"
2020,6,20,"10,868",677,"1,912","2,414","1,661","1,783","2,421"
2020,6,30,"11,086",748,"1,951","2,452","1,277","1,959","2,699"
2020,6,40,"12,737",826,"2,133","3,151","1,729","1,975","2,923"
2020,6,50,"15,348","1,081","2,594","3,488","2,249","2,379","3,557"
2020,6,60,"10,294",984,"1,800","2,591","1,251","1,417","2,251"
2020,6,70,"4,788",457,"1,112","1,095",573,661,890
2020,6,80,"2,736",245,648,540,366,397,540
2020,6,90,537,61,98,117,67,79,115
2020,6,100,37,2,9,4,12,4,6
2020,7,총,"81,874","5,935","14,554","19,218","10,920","12,581","18,666"
2020,7,0,"6,429",367,"1,064","1,461",762,"1,192","1,583"
2020,7,10,"7,219",482,"1,215","1,913",987,"1,018","1,604"
2020,7,20,"10,830",670,"1,912","2,412","1,655","1,739","2,442"
2020,7,30,"11,012",753,"1,947","2,426","1,267","1,927","2,692"
2020,7,40,"12,673",820,"2,129","3,150","1,729","1,906","2,939"
2020,7,50,"15,284","1,077","2,598","3,489","2,230","2,326","3,564"
2020,7,60,"10,327",994,"1,809","2,606","1,259","1,381","2,278"
2020,7,70,"4,796",460,"1,122","1,100",582,630,902
2020,7,80,"2,726",245,650,538,371,382,540
2020,7,90,541,65,99,119,66,76,116
2020,7,100,37,2,9,4,12,4,6
2020,8,총,"81,745","6,022","14,575","19,190","10,917","12,317","18,724"
2020,8,0,"6,415",370,"1,070","1,454",759,"1,187","1,575"
2020,8,10,"7,178",475,"1,216","1,898",984,998,"1,607"
2020,8,20,"10,825",718,"1,902","2,413","1,660","1,691","2,441"
2020,8,30,"10,971",767,"1,940","2,415","1,259","1,905","2,685"
2020,8,40,"12,605",831,"2,119","3,131","1,715","1,866","2,943"
2020,8,50,"15,277","1,074","2,605","3,503","2,247","2,261","3,587"
2020,8,60,"10,384","1,009","1,839","2,611","1,258","1,355","2,312"
2020,8,70,"4,792",461,"1,130","1,101",584,609,907
2020,8,80,"2,711",247,646,539,370,367,542
2020,8,90,550,68,100,120,69,74,119
2020,8,100,37,2,8,5,12,4,6
2020,9,총,"82,216","6,839","14,507","19,109","10,882","12,131","18,748"
2020,9,0,"6,404",397,"1,066","1,442",753,"1,179","1,567"
2020,9,10,"7,184",480,"1,204","1,892",986,"1,005","1,617"
2020,9,20,"11,069","1,072","1,892","2,387","1,648","1,642","2,428"
2020,9,30,"11,122","1,040","1,916","2,366","1,240","1,890","2,670"
2020,9,40,"12,567",858,"2,120","3,129","1,709","1,830","2,921"
2020,9,50,"15,272","1,097","2,587","3,500","2,236","2,239","3,613"
2020,9,60,"10,491","1,055","1,850","2,637","1,274","1,336","2,339"
2020,9,70,"4,779",500,"1,120","1,088",581,575,915
2020,9,80,"2,728",265,643,541,372,359,548
2020,9,90,563,73,101,122,71,72,124
2020,9,100,37,2,8,5,12,4,6
2020,10,총,"82,357","7,081","14,528","19,078","10,887","12,027","18,756"
2020,10,0,"6,390",407,"1,073","1,423",752,"1,172","1,563"
2020,10,10,"7,162",478,"1,209","1,883",984,997,"1,611"
2020,10,20,"11,118","1,158","1,891","2,379","1,639","1,624","2,427"
2020,10,30,"11,187","1,152","1,919","2,349","1,240","1,869","2,658"
2020,10,40,"12,525",857,"2,119","3,107","1,710","1,816","2,916"
2020,10,50,"15,284","1,100","2,583","3,528","2,228","2,225","3,620"
2020,10,60,"10,548","1,071","1,850","2,639","1,295","1,330","2,363"
2020,10,70,"4,803",515,"1,124","1,099",579,569,917
2020,10,80,"2,746",271,651,544,373,353,554
2020,10,90,558,70,100,122,76,69,121
2020,10,100,36,2,9,5,11,3,6
2020,11,총,"82,394","7,181","14,543","19,062","10,863","11,970","18,775"
2020,11,0,"6,367",414,"1,069","1,420",745,"1,162","1,557"
2020,11,10,"7,095",474,"1,188","1,867",971,994,"1,601"
2020,11,20,"11,171","1,216","1,897","2,383","1,637","1,611","2,427"
2020,11,30,"11,185","1,174","1,916","2,341","1,236","1,852","2,666"
2020,11,40,"12,492",863,"2,114","3,085","1,696","1,822","2,912"
2020,11,50,"15,303","1,103","2,601","3,536","2,229","2,207","3,627"
2020,11,60,"10,622","1,076","1,872","2,664","1,304","1,327","2,379"
2020,11,70,"4,811",518,"1,126","1,093",585,566,923
2020,11,80,"2,760",273,653,550,374,356,554
2020,11,90,553,69,98,119,75,69,123
2020,11,100,35,1,9,4,11,4,6
2020,12,총,"82,325","7,181","14,553","19,027","10,838","11,932","18,794"
2020,12,0,"6,345",415,"1,073","1,403",736,"1,161","1,557"
2020,12,10,"7,072",471,"1,178","1,871",961,"1,001","1,590"
2020,12,20,"11,169","1,216","1,905","2,367","1,643","1,593","2,445"
2020,12,30,"11,137","1,170","1,912","2,327","1,225","1,853","2,650"
2020,12,40,"12,464",864,"2,122","3,066","1,681","1,816","2,915"
2020,12,50,"15,281","1,088","2,591","3,547","2,237","2,188","3,630"
2020,12,60,"10,673","1,091","1,885","2,673","1,309","1,329","2,386"
2020,12,70,"4,828",518,"1,122","1,100",581,570,937
2020,12,80,"2,760",276,656,549,376,347,556
2020,12,90,561,71,100,120,78,70,122
2020,12,100,35,1,9,4,11,4,6
2021,1,총,"82,206","7,154","14,550","18,981","10,800","11,912","18,809"
2021,1,0,"6,267",406,"1,059","1,378",728,"1,157","1,539"
2021,1,10,"7,055",462,"1,181","1,867",962,"1,005","1,578"
2021,1,20,"11,124","1,213","1,907","2,353","1,624","1,569","2,458"
2021,1,30,"11,073","1,161","1,912","2,304","1,217","1,839","2,640"
2021,1,40,"12,459",861,"2,119","3,063","1,669","1,841","2,906"
2021,1,50,"15,244","1,076","2,592","3,551","2,219","2,166","3,640"
2021,1,60,"10,773","1,105","1,889","2,679","1,332","1,344","2,424"
2021,1,70,"4,835",518,"1,125","1,109",585,568,930
2021,1,80,"2,771",278,658,552,372,345,566
2021,1,90,571,73,98,122,81,74,123
2021,1,100,34,1,10,3,11,4,5
2021,2,총,"82,033","7,138","14,573","18,933","10,733","11,849","18,807"
2021,2,0,"6,226",406,"1,052","1,358",731,"1,141","1,538"
2021,2,10,"7,046",452,"1,189","1,860",950,"1,005","1,590"
2021,2,20,"11,025","1,209","1,892","2,339","1,606","1,549","2,430"
2021,2,30,"11,016","1,161","1,906","2,282","1,196","1,825","2,646"
2021,2,40,"12,407",852,"2,126","3,060","1,668","1,820","2,881"
2021,2,50,"15,204","1,077","2,596","3,542","2,194","2,153","3,642"
2021,2,60,"10,880","1,113","1,911","2,702","1,344","1,361","2,449"
2021,2,70,"4,839",521,"1,129","1,109",580,567,933
2021,2,80,"2,782",277,661,556,366,351,571
2021,2,90,573,69,101,122,87,73,121
2021,2,100,35,1,10,3,11,4,6
2021,3,총,"81,604","7,103","14,495","18,825","10,701","11,733","18,747"
2021,3,0,"6,196",404,"1,036","1,360",728,"1,127","1,541"
2021,3,10,"6,995",451,"1,178","1,845",951,994,"1,576"
2021,3,20,"10,971","1,199","1,904","2,334","1,573","1,534","2,427"
2021,3,30,"10,969","1,165","1,883","2,267","1,206","1,823","2,625"
2021,3,40,"12,243",834,"2,086","3,014","1,660","1,783","2,866"
2021,3,50,"15,127","1,074","2,585","3,529","2,179","2,136","3,624"
2021,3,60,"10,925","1,109","1,936","2,694","1,361","1,364","2,461"
2021,3,70,"4,822",516,"1,125","1,113",576,554,938
2021,3,80,"2,770",283,656,550,373,345,563
2021,3,90,565,67,102,118,87,71,120
2021,3,100,21,1,4,1,7,2,6
2021,4,총,"81,513","7,080","14,479","18,787","10,678","11,694","18,795"
2021,4,0,"6,187",404,"1,030","1,361",722,"1,121","1,549"
2021,4,10,"6,940",453,"1,165","1,827",942,984,"1,569"
2021,4,20,"10,959","1,193","1,899","2,327","1,579","1,529","2,432"
2021,4,30,"10,929","1,162","1,881","2,255","1,201","1,808","2,622"
2021,4,40,"12,193",828,"2,069","3,003","1,643","1,779","2,871"
2021,4,50,"15,113","1,070","2,595","3,507","2,171","2,132","3,638"
2021,4,60,"11,020","1,111","1,951","2,725","1,381","1,366","2,486"
2021,4,70,"4,802",513,"1,125","1,110",566,551,937
2021,4,80,"2,784",279,656,552,379,354,564
2021,4,90,564,66,104,119,86,68,121
2021,4,100,22,1,4,1,8,2,6
2021,5,총,"81,529","7,079","14,494","18,753","10,663","11,683","18,857"
2021,5,0,"6,179",405,"1,023","1,356",722,"1,117","1,556"
2021,5,10,"6,918",441,"1,163","1,823",940,983,"1,568"
2021,5,20,"10,941","1,190","1,897","2,319","1,563","1,522","2,450"
2021,5,30,"10,922","1,180","1,880","2,247","1,197","1,794","2,624"
2021,5,40,"12,154",816,"2,063","2,989","1,641","1,772","2,873"
2021,5,50,"15,127","1,068","2,617","3,488","2,168","2,155","3,631"
2021,5,60,"11,112","1,122","1,962","2,747","1,395","1,366","2,520"
2021,5,70,"4,792",506,"1,122","1,110",566,551,937
2021,5,80,"2,796",284,654,554,380,354,570
2021,5,90,569,66,109,119,85,68,122
2021,5,100,19,1,4,1,6,1,6
2021,6,총,"81,548","7,080","14,510","18,755","10,652","11,664","18,887"
2021,6,0,"6,158",407,"1,018","1,359",714,"1,108","1,552"
2021,6,10,"6,908",437,"1,164","1,816",942,988,"1,561"
2021,6,20,"10,935","1,182","1,898","2,325","1,561","1,509","2,460"
2021,6,30,"10,920","1,189","1,880","2,241","1,202","1,787","2,621"
2021,6,40,"12,132",806,"2,062","2,985","1,635","1,773","2,871"
2021,6,50,"15,071","1,072","2,616","3,463","2,154","2,137","3,629"
2021,6,60,"11,229","1,133","1,978","2,778","1,409","1,386","2,545"
2021,6,70,"4,800",505,"1,121","1,114",565,549,946
2021,6,80,"2,808",284,657,556,378,355,578
2021,6,90,569,64,112,117,87,71,118
2021,6,100,18,1,4,1,5,1,6
2021,7,총,"81,916","7,049","14,478","19,246","10,630","11,640","18,873"
2021,7,0,"6,185",408,"1,012","1,407",719,"1,102","1,537"
2021,7,10,"6,920",432,"1,157","1,848",936,987,"1,560"
2021,7,20,"10,899","1,167","1,878","2,381","1,540","1,496","2,437"
2021,7,30,"11,013","1,195","1,885","2,332","1,202","1,776","2,623"
2021,7,40,"12,174",802,"2,048","3,060","1,624","1,780","2,860"
2021,7,50,"15,149","1,063","2,608","3,564","2,149","2,133","3,632"
2021,7,60,"11,336","1,131","1,994","2,831","1,425","1,389","2,566"
2021,7,70,"4,813",503,"1,121","1,133",560,546,950
2021,7,80,"2,832",284,660,568,383,359,578
2021,7,90,576,63,111,120,87,71,124
2021,7,100,19,1,4,2,5,1,6
2021,8,총,"82,210","7,034","14,462","19,615","10,612","11,613","18,874"
2021,8,0,"6,175",409,"1,006","1,444",712,"1,100","1,504"
2021,8,10,"6,936",434,"1,145","1,877",921,993,"1,566"
2021,8,20,"10,892","1,151","1,878","2,406","1,546","1,481","2,430"
2021,8,30,"11,046","1,196","1,888","2,399","1,197","1,763","2,603"
2021,8,40,"12,191",796,"2,035","3,108","1,611","1,775","2,866"
2021,8,50,"15,258","1,063","2,619","3,650","2,156","2,126","3,644"
2021,8,60,"11,448","1,129","2,005","2,884","1,441","1,396","2,593"
2021,8,70,"4,824",507,"1,113","1,145",560,545,954
2021,8,80,"2,850",283,661,580,379,365,582
2021,8,90,571,64,109,120,84,68,126
2021,8,100,19,2,3,2,5,1,6
2021,9,총,"82,312","7,024","14,459","19,745","10,606","11,587","18,891"
2021,9,0,"6,183",416,"1,005","1,461",710,"1,104","1,487"
2021,9,10,"6,899",433,"1,140","1,870",918,980,"1,558"
2021,9,20,"10,897","1,125","1,875","2,424","1,550","1,477","2,446"
2021,9,30,"11,074","1,203","1,885","2,422","1,209","1,765","2,590"
2021,9,40,"12,177",800,"2,029","3,114","1,603","1,765","2,866"
2021,9,50,"15,278","1,056","2,620","3,688","2,144","2,111","3,659"
2021,9,60,"11,516","1,134","2,005","2,916","1,448","1,395","2,618"
2021,9,70,"4,840",509,"1,119","1,148",563,552,949
2021,9,80,"2,852",280,673,579,370,366,584
2021,9,90,576,66,105,121,86,71,127
2021,9,100,20,2,3,2,5,1,7
2021,10,총,"82,363","7,004","14,482","19,790","10,613","11,532","18,942"
2021,10,0,"6,153",411,"1,002","1,465",701,"1,095","1,479"
