년도,월,나이,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020,1,총,"22,216","6,908","1,846","1,781",879,"1,552","3,137","2,080",753,713,"1,455","1,112"
2020,1,0,"1,504",509,145,88,26,78,426,108,32,20,39,33
2020,1,10,"1,615",601,142,82,36,87,331,140,50,25,78,43
2020,1,20,"1,878",620,164,176,56,78,316,190,58,50,97,73
2020,1,30,"1,889",646,148,134,53,104,428,142,37,46,73,78
2020,1,40,"2,439",886,219,151,62,146,421,226,71,48,121,88
2020,1,50,"3,327","1,010",252,327,158,264,352,346,119,103,204,192
2020,1,60,"3,365","1,008",301,293,147,279,290,342,133,129,237,206
2020,1,70,"3,382",917,245,285,172,272,345,312,137,171,318,208
2020,1,80,"2,420",614,195,210,146,219,205,227,98,103,254,149
2020,1,90,360,85,31,34,22,23,23,42,17,17,32,34
2020,1,100,37,12,4,1,1,2,0,5,1,1,2,8
2020,2,총,"22,164","6,907","1,841","1,774",877,"1,544","3,127","2,070",754,716,"1,450","1,104"
2020,2,0,"1,510",517,152,90,25,77,422,106,30,20,39,32
2020,2,10,"1,618",601,139,83,37,87,337,137,50,25,78,44
2020,2,20,"1,846",615,159,173,52,77,312,182,59,48,96,73
2020,2,30,"1,857",643,149,134,53,98,412,140,36,45,72,75
2020,2,40,"2,445",889,217,150,63,148,427,222,75,49,117,88
2020,2,50,"3,331","1,009",250,325,160,258,358,348,118,108,208,189
2020,2,60,"3,357",997,303,294,148,282,286,345,131,130,234,207
2020,2,70,"3,362",920,244,281,169,267,341,312,138,168,314,208
2020,2,80,"2,447",618,198,208,147,226,209,231,99,106,259,146
2020,2,90,354,86,26,35,22,22,23,42,17,16,31,34
2020,2,100,37,12,4,1,1,2,0,5,1,1,2,8
2020,3,총,"22,055","6,902","1,818","1,761",882,"1,527","3,079","2,075",745,716,"1,456","1,094"
2020,3,0,"1,481",514,145,85,28,74,410,105,29,22,38,31
2020,3,10,"1,597",596,135,84,36,88,329,139,45,25,78,42
2020,3,20,"1,828",617,155,169,53,75,304,182,60,48,95,70
2020,3,30,"1,833",633,146,129,48,96,403,144,38,44,77,75
2020,3,40,"2,431",890,217,148,66,144,419,223,72,48,118,86
2020,3,50,"3,301","1,007",250,320,162,250,356,343,116,108,206,183
2020,3,60,"3,381","1,003",303,299,149,283,286,353,131,130,234,210
2020,3,70,"3,352",923,244,280,166,267,338,305,138,167,318,206
2020,3,80,"2,455",619,194,211,151,227,208,234,98,107,258,148
2020,3,90,358,88,24,34,22,22,26,42,17,16,32,35
2020,3,100,38,12,5,2,1,1,0,5,1,1,2,8
2020,4,총,"21,983","6,880","1,811","1,754",875,"1,523","3,084","2,073",742,708,"1,443","1,090"
2020,4,0,"1,468",514,143,84,27,73,406,104,31,20,35,31
2020,4,10,"1,581",584,133,85,35,89,326,141,43,26,77,42
2020,4,20,"1,832",616,154,168,52,78,312,184,63,46,89,70
2020,4,30,"1,803",623,145,128,49,93,402,138,38,43,70,74
2020,4,40,"2,416",886,214,150,66,139,421,222,69,45,118,86
2020,4,50,"3,282",999,250,313,159,251,353,342,116,108,210,181
2020,4,60,"3,383","1,009",304,296,152,281,286,352,131,129,232,211
2020,4,70,"3,347",922,242,286,163,269,337,309,135,167,314,203
2020,4,80,"2,469",625,195,210,148,227,213,235,96,106,264,150
2020,4,90,364,90,26,32,23,22,28,41,19,17,32,34
2020,4,100,38,12,5,2,1,1,0,5,1,1,2,8
2020,5,총,"21,957","6,875","1,813","1,751",882,"1,528","3,058","2,068",737,710,"1,445","1,090"
2020,5,0,"1,461",510,143,85,28,75,398,105,30,20,35,32
2020,5,10,"1,572",579,135,83,34,89,326,139,43,26,78,40
2020,5,20,"1,802",615,151,160,56,75,295,182,63,47,87,71
2020,5,30,"1,802",623,150,129,50,95,397,136,39,40,70,73
2020,5,40,"2,425",891,217,148,67,138,421,224,68,48,115,88
2020,5,50,"3,281",992,247,315,160,251,357,340,115,107,215,182
2020,5,60,"3,385","1,008",306,300,152,284,289,352,127,130,231,206
2020,5,70,"3,346",921,242,287,163,269,335,309,135,167,311,207
2020,5,80,"2,481",633,190,211,148,228,212,236,97,108,270,148
2020,5,90,365,91,27,31,23,23,28,41,19,16,31,35
2020,5,100,37,12,5,2,1,1,0,4,1,1,2,8
2020,6,총,"21,953","6,871","1,801","1,759",881,"1,526","3,071","2,064",744,702,"1,448","1,086"
2020,6,0,"1,462",505,144,87,28,74,405,100,31,20,37,31
2020,6,10,"1,565",583,132,81,31,90,320,140,43,26,78,41
2020,6,20,"1,800",616,148,160,60,75,301,177,64,41,88,70
2020,6,30,"1,804",616,150,129,51,95,400,140,39,41,72,71
2020,6,40,"2,418",897,214,147,67,138,417,222,68,47,113,88
2020,6,50,"3,262",979,243,319,156,249,362,343,114,103,213,181
2020,6,60,"3,405","1,013",306,308,151,282,289,354,131,134,231,206
2020,6,70,"3,352",921,243,288,167,271,334,306,137,165,314,206
2020,6,80,"2,481",636,190,209,146,227,215,234,97,108,270,149
2020,6,90,367,93,26,29,23,24,28,44,19,16,30,35
2020,6,100,37,12,5,2,1,1,0,4,1,1,2,8
2020,7,총,"21,954","6,878","1,802","1,769",882,"1,517","3,060","2,064",743,709,"1,446","1,084"
2020,7,0,"1,454",502,145,88,29,74,400,100,30,20,37,29
2020,7,10,"1,559",579,131,82,32,90,319,137,43,26,78,42
2020,7,20,"1,789",617,146,163,58,72,297,180,64,43,82,67
2020,7,30,"1,795",617,152,126,50,94,395,139,38,42,73,69
2020,7,40,"2,420",895,217,152,66,136,421,219,67,49,112,86
2020,7,50,"3,281",981,240,319,158,250,364,348,116,106,215,184
2020,7,60,"3,399","1,013",307,311,150,278,288,350,129,134,233,206
2020,7,70,"3,364",930,243,288,169,272,331,310,138,163,313,207
2020,7,80,"2,488",636,191,211,146,226,217,233,97,109,271,151
2020,7,90,368,96,25,27,23,24,28,44,20,16,30,35
2020,7,100,37,12,5,2,1,1,0,4,1,1,2,8
2020,8,총,"21,872","6,856","1,806","1,745",875,"1,524","3,020","2,073",742,703,"1,450","1,078"
2020,8,0,"1,430",493,144,86,30,75,386,101,28,19,40,28
2020,8,10,"1,562",578,133,80,32,92,317,138,45,26,77,44
2020,8,20,"1,769",613,144,159,56,70,293,180,63,42,84,65
2020,8,30,"1,773",609,148,123,49,93,387,143,38,39,73,71
2020,8,40,"2,409",886,226,150,63,138,415,219,65,49,114,84
2020,8,50,"3,257",976,241,306,155,252,363,349,119,104,209,183
2020,8,60,"3,412","1,019",308,313,152,278,289,350,130,135,234,204
2020,8,70,"3,349",928,239,285,169,275,323,315,136,163,310,206
2020,8,80,"2,500",644,193,213,145,225,219,231,96,109,276,149
2020,8,90,374,98,25,28,23,25,28,43,21,16,31,36
2020,8,100,37,12,5,2,1,1,0,4,1,1,2,8
2020,9,총,"21,841","6,847","1,798","1,740",881,"1,525","3,014","2,069",743,699,"1,448","1,077"
2020,9,0,"1,421",490,142,86,31,72,386,101,29,19,39,26
2020,9,10,"1,562",578,132,81,33,96,314,138,44,25,75,46
2020,9,20,"1,756",608,143,158,56,67,297,180,62,37,85,63
