년도,월,나이,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020,7,40,"27,064",982,"1,260","1,087","1,551","1,195","2,145",799,"4,190","1,715","2,095","2,440","1,215","1,608","2,317","2,465"
2020,7,50,"28,189",978,"1,465","1,326","1,900","1,505","2,816",810,"2,633","1,903","2,285","2,441","1,525","1,673","2,367","2,562"
2020,7,60,"21,861",883,"1,211","1,071","1,483","1,222","2,292",673,"1,503","1,478","1,831","1,758","1,535","1,316","1,830","1,775"
2020,7,70,"12,083",567,734,628,791,702,"1,209",402,831,872,907,860,884,781,"1,039",876
2020,7,80,"5,251",235,313,208,293,285,441,167,476,349,372,500,371,348,448,445
2020,7,90,915,45,51,49,65,43,77,31,95,50,71,79,57,45,73,84
2020,7,100,162,18,9,6,7,12,20,4,7,10,11,11,10,12,19,6
2020,8,총,"180,175","11,775","10,088","8,035","11,569","8,465","15,176","6,278","18,452","11,853","13,353","14,972","9,041","11,598","14,103","15,417"
2020,8,0,"9,938",213,437,374,604,369,750,283,"1,633",549,823,"1,188",375,444,913,983
2020,8,10,"12,987",418,526,373,707,508,928,266,"2,720",719,922,"1,322",459,602,"1,209","1,308"
2020,8,20,"33,076","5,377","2,280","1,477","2,175","1,336","2,256","1,410","2,089","2,284","1,977","2,023","1,399","2,614","1,893","2,486"
2020,8,30,"28,700","2,044","1,821","1,451","2,005","1,294","2,263","1,436","2,269","1,919","2,069","2,334","1,224","2,167","1,974","2,430"
2020,8,40,"26,950",976,"1,247","1,076","1,543","1,181","2,121",806,"4,183","1,709","2,080","2,446","1,208","1,603","2,316","2,455"
2020,8,50,"28,135",982,"1,449","1,317","1,901","1,507","2,815",807,"2,633","1,898","2,284","2,431","1,509","1,666","2,375","2,561"
2020,8,60,"21,938",894,"1,214","1,071","1,488","1,223","2,282",667,"1,518","1,474","1,839","1,775","1,541","1,322","1,840","1,790"
2020,8,70,"12,102",569,738,635,784,705,"1,220",400,828,887,901,856,884,776,"1,044",875
