년도,월,나이,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020,3,총,"107,478","8,333","1,668",753,"1,987","2,075","1,787","2,190","3,297","7,900","2,683","1,655","13,326","3,964","5,381","6,796","2,485","4,561","8,521","9,206","14,636","4,274"
2020,3,0,"6,751",295,59,10,85,47,62,94,194,682,95,47,906,195,220,317,172,392,751,533,"1,233",362
2020,3,10,"9,421",481,92,24,122,98,70,102,236,774,168,77,"1,560",320,382,596,200,447,820,764,"1,704",384
2020,3,20,"11,392",631,108,42,127,160,117,180,223,876,297,137,"1,609",416,606,798,247,459,"1,247",888,"1,580",644
2020,3,30,"10,570",535,88,24,159,103,95,180,284,"1,068",202,123,"1,322",339,424,591,256,570,"1,148",788,"1,762",509
2020,3,40,"16,009",922,167,49,207,157,140,256,439,"1,364",313,171,"2,499",543,693,998,400,762,"1,299","1,257","2,701",672
2020,3,50,"18,375","1,517",343,157,347,360,324,403,597,"1,222",398,282,"2,205",709,"1,048","1,334",500,791,"1,316","1,565","2,319",638
2020,3,60,"16,785","1,763",314,210,415,462,406,450,655,960,546,384,"1,615",733,"1,052","1,181",347,603,"1,016","1,500","1,633",540
2020,3,70,"10,705","1,293",230,138,270,375,323,279,381,584,383,290,"1,004",430,632,582,202,311,550,"1,162",989,297
2020,3,80,"6,144",725,218,82,199,263,214,197,246,308,215,122,499,229,267,323,133,185,310,628,605,176
2020,3,90,"1,252",154,46,17,53,46,33,47,41,59,61,22,101,44,53,76,27,40,61,111,108,52
2020,3,100,74,17,3,0,3,4,3,2,1,3,5,0,6,6,4,0,1,1,3,10,2,0
2020,4,총,"107,398","8,316","1,661",748,"2,002","2,080","1,779","2,184","3,318","7,897","2,693","1,659","13,294","3,966","5,361","6,750","2,490","4,587","8,482","9,196","14,656","4,279"
2020,4,0,"6,714",289,55,8,89,50,62,94,201,691,95,47,897,194,218,309,174,391,741,520,"1,230",359
2020,4,10,"9,361",480,92,24,129,95,69,104,228,763,166,74,"1,559",316,379,583,205,451,811,761,"1,691",381
2020,4,20,"11,377",626,108,42,128,159,112,176,230,880,304,138,"1,592",422,602,795,243,458,"1,226",891,"1,600",645
2020,4,30,"10,505",531,87,21,161,108,95,179,280,"1,057",202,123,"1,312",335,418,589,255,581,"1,142",782,"1,746",501
2020,4,40,"15,979",914,170,47,205,154,138,254,446,"1,374",309,176,"2,482",541,694,979,395,765,"1,299","1,257","2,701",679
2020,4,50,"18,379","1,510",342,158,346,360,323,398,605,"1,206",398,281,"2,211",706,"1,041","1,329",504,792,"1,314","1,573","2,334",648
2020,4,60,"16,844","1,778",314,211,419,460,404,457,652,966,547,381,"1,622",739,"1,053","1,186",349,610,"1,027","1,494","1,632",543
2020,4,70,"10,722","1,290",232,137,269,380,323,277,386,588,384,294,"1,007",431,632,584,204,312,545,"1,160",993,294
2020,4,80,"6,183",728,214,83,200,260,218,194,248,311,221,121,504,229,268,321,133,185,314,636,618,177
2020,4,90,"1,258",152,44,17,53,50,32,49,41,58,62,24,102,47,51,75,27,41,60,112,109,52
2020,4,100,76,18,3,0,3,4,3,2,1,3,5,0,6,6,5,0,1,1,3,10,2,0
2020,5,총,"107,325","8,298","1,661",744,"2,002","2,070","1,766","2,180","3,318","7,878","2,694","1,654","13,323","3,968","5,341","6,752","2,474","4,614","8,490","9,175","14,636","4,287"
2020,5,0,"6,688",287,56,8,90,48,58,95,202,686,97,49,888,197,219,299,178,399,739,519,"1,223",351
2020,5,10,"9,302",472,89,23,126,96,68,101,233,750,163,74,"1,556",311,375,582,197,446,810,761,"1,686",383
2020,5,20,"11,377",625,111,42,131,157,107,171,230,878,300,136,"1,613",423,608,801,236,461,"1,224",881,"1,587",655
2020,5,30,"10,479",522,87,20,159,105,95,178,282,"1,046",205,125,"1,316",336,413,586,255,586,"1,141",776,"1,744",502
2020,5,40,"15,919",896,168,44,205,150,136,254,443,"1,375",313,171,"2,482",540,688,979,390,766,"1,303","1,247","2,691",678
2020,5,50,"18,387","1,513",343,154,345,355,318,401,601,"1,213",392,279,"2,216",707,"1,036","1,331",496,806,"1,315","1,586","2,330",650
2020,5,60,"16,896","1,783",317,214,422,465,407,457,657,966,547,376,"1,622",746,"1,051","1,192",354,615,"1,030","1,491","1,639",545
2020,5,70,"10,752","1,294",230,140,271,380,324,280,383,588,385,300,"1,013",431,627,582,202,312,546,"1,160","1,010",294
2020,5,80,"6,192",735,213,82,197,260,219,192,246,315,223,120,509,225,270,324,138,183,319,633,612,177
