년도,월,나이,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021,11,50,"74,668","5,661","8,261","3,874","11,960","7,872","7,683","5,262","7,480","8,405","8,210"
2021,11,60,"60,289","5,287","7,163","3,183","8,949","4,607","6,961","4,881","6,437","6,501","6,320"
2021,11,70,"25,342","2,447","3,214","1,213","3,177","1,529","3,134","2,095","2,823","3,039","2,671"
2021,11,80,"13,801","1,148","1,659",739,"1,836",919,"1,548","1,064","1,563","1,789","1,536"
2021,11,90,"2,479",210,239,146,384,195,291,183,294,289,248
2021,11,100,115,10,17,9,18,3,14,9,15,9,11
2021,12,총,"406,583","31,052","44,607","20,791","66,602","43,434","41,336","28,455","48,368","41,281","40,657"
2021,12,0,"25,693","1,334","2,523","1,244","4,456","3,594","2,173","1,754","4,364","2,014","2,237"
2021,12,10,"33,151","1,825","3,331","1,835","5,366","4,738","3,009","2,069","4,692","3,172","3,114"
2021,12,20,"54,277","4,813","5,965","2,811","9,413","5,720","5,340","3,548","5,231","5,722","5,714"
2021,12,30,"54,560","4,123","5,723","2,595","10,555","6,356","5,252","3,758","6,929","4,487","4,782"
2021,12,40,"62,042","4,217","6,468","3,134","10,491","7,851","5,916","3,825","8,529","5,818","5,793"
2021,12,50,"74,626","5,633","8,287","3,880","11,923","7,897","7,673","5,237","7,474","8,406","8,216"
2021,12,60,"60,432","5,286","7,169","3,181","8,983","4,623","6,977","4,904","6,446","6,533","6,330"
2021,12,70,"25,355","2,450","3,215","1,217","3,176","1,526","3,141","2,100","2,837","3,022","2,671"
2021,12,80,"13,860","1,145","1,673",744,"1,839",931,"1,555","1,070","1,554","1,805","1,544"
2021,12,90,"2,491",219,238,146,383,193,289,182,297,294,250
2021,12,100,96,7,15,4,17,5,11,8,15,8,6
