년도,월,나이,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020,3,0,"29,556","1,562","2,936","1,413","4,979","4,154","2,426","1,879","5,100","2,463","2,644"
2020,3,10,"35,553","2,043","3,638","1,870","5,855","5,004","3,179","2,253","4,577","3,672","3,462"
2020,3,20,"57,691","5,061","6,145","3,104","9,983","6,108","5,748","3,857","5,605","6,018","6,062"
2020,3,30,"58,234","4,397","6,027","2,764","11,171","6,793","5,527","3,808","7,831","4,753","5,163"
2020,3,40,"65,649","4,560","6,852","3,315","10,899","8,301","6,283","4,050","8,334","6,697","6,358"
2020,3,50,"77,008","5,962","8,562","4,167","12,352","7,863","7,920","5,516","7,510","8,569","8,587"
2020,3,60,"52,774","4,890","6,366","2,800","7,529","3,820","6,218","4,406","5,704","5,628","5,413"
2020,3,70,"24,481","2,343","3,095","1,207","2,967","1,521","2,987","1,931","2,720","3,058","2,652"
2020,3,80,"12,847","1,123","1,510",672,"1,793",842,"1,422",955,"1,491","1,652","1,387"
2020,3,90,"2,307",194,245,133,351,181,271,175,282,253,222
2020,3,100,179,26,22,9,14,3,23,22,22,21,17
2020,4,총,"416,167","32,092","45,292","21,440","68,218","44,569","41,966","28,813","49,111","42,729","41,937"
2020,4,0,"29,414","1,543","2,914","1,409","5,006","4,127","2,406","1,869","5,077","2,438","2,625"
2020,4,10,"35,430","2,022","3,598","1,870","5,832","5,006","3,164","2,267","4,566","3,655","3,450"
2020,4,20,"57,643","5,067","6,140","3,095","10,045","6,100","5,730","3,825","5,579","6,013","6,049"
2020,4,30,"58,105","4,380","5,998","2,746","11,223","6,779","5,488","3,820","7,776","4,729","5,166"
2020,4,40,"65,529","4,535","6,821","3,325","10,930","8,273","6,286","4,035","8,342","6,646","6,336"
2020,4,50,"76,942","5,948","8,525","4,145","12,404","7,875","7,906","5,482","7,505","8,571","8,581"
2020,4,60,"53,157","4,917","6,399","2,825","7,615","3,858","6,250","4,437","5,739","5,674","5,443"
2020,4,70,"24,523","2,346","3,100","1,207","2,980","1,520","3,004","1,933","2,726","3,051","2,656"
2020,4,80,"12,916","1,114","1,530",675,"1,812",846,"1,433",951,"1,501","1,665","1,389"
2020,4,90,"2,325",194,245,134,356,182,276,172,276,265,225
2020,4,100,183,26,22,9,15,3,23,22,24,22,17
2020,5,총,"415,836","32,001","45,266","21,414","68,280","44,479","41,885","28,752","49,325","42,594","41,840"
2020,5,0,"29,260","1,524","2,898","1,396","5,007","4,102","2,395","1,861","5,063","2,416","2,598"
2020,5,10,"35,310","1,991","3,593","1,878","5,807","4,983","3,146","2,256","4,588","3,633","3,435"
2020,5,20,"57,523","5,072","6,154","3,094","10,046","6,066","5,683","3,793","5,608","5,998","6,009"
2020,5,30,"57,975","4,355","5,974","2,734","11,230","6,761","5,467","3,819","7,802","4,679","5,154"
2020,5,40,"65,311","4,510","6,771","3,315","10,924","8,223","6,260","4,035","8,357","6,599","6,317"
2020,5,50,"76,954","5,936","8,521","4,124","12,419","7,897","7,899","5,483","7,566","8,560","8,549"
2020,5,60,"53,424","4,931","6,441","2,836","7,656","3,905","6,263","4,427","5,794","5,697","5,474"
2020,5,70,"24,625","2,353","3,113","1,217","3,002","1,518","3,033","1,935","2,738","3,050","2,666"
2020,5,80,"12,941","1,105","1,536",676,"1,811",838,"1,439",952,"1,509","1,680","1,395"
2020,5,90,"2,327",198,242,134,363,183,277,169,275,260,226
2020,5,100,186,26,23,10,15,3,23,22,25,22,17
2020,6,총,"415,718","31,939","45,219","21,411","68,301","44,501","41,833","28,896","49,441","42,456","41,721"
2020,6,0,"29,156","1,506","2,867","1,399","4,988","4,107","2,391","1,872","5,055","2,388","2,583"
2020,6,10,"35,203","1,987","3,575","1,884","5,807","4,973","3,122","2,253","4,577","3,612","3,413"
2020,6,20,"57,475","5,063","6,154","3,083","10,029","6,069","5,680","3,815","5,631","5,986","5,965"
2020,6,30,"57,837","4,352","5,943","2,734","11,197","6,753","5,419","3,860","7,795","4,631","5,153"
2020,6,40,"65,308","4,490","6,755","3,313","10,945","8,225","6,274","4,066","8,390","6,576","6,274"
