년도,월,나이,경상남도 합천군,경상남도 합천군 합천읍,경상남도 합천군 봉산면,경상남도 합천군 묘산면,경상남도 합천군 가야면,경상남도 합천군 야로면,경상남도 합천군 율곡면,경상남도 합천군 초계면,경상남도 합천군 쌍책면,경상남도 합천군 덕곡면,경상남도 합천군 청덕면,경상남도 합천군 적중면,경상남도 합천군 대양면,경상남도 합천군 쌍백면,경상남도 합천군 삼가면,경상남도 합천군 가회면,경상남도 합천군 대병면,경상남도 합천군 용주면
2020,1,총,"45,054","11,610","1,475","1,620","4,413","2,525","2,293","2,536","1,308",883,"1,680","1,500","1,839","1,789","3,373","1,831","2,137","2,242"
2020,1,0,"1,693",870,27,21,123,73,46,69,28,15,33,34,134,40,75,30,43,32
2020,1,10,"2,638","1,205",50,63,221,136,75,143,29,23,50,68,81,49,133,80,142,90
2020,1,20,"3,285","1,287",71,78,318,163,148,205,60,42,79,87,114,75,232,91,134,101
2020,1,30,"2,821","1,108",68,74,241,161,101,152,62,44,88,66,173,69,157,71,90,96
2020,1,40,"4,541","1,715",112,109,434,226,202,241,86,61,133,108,184,118,298,136,186,192
2020,1,50,"8,116","2,055",284,296,903,456,403,431,232,154,289,261,291,294,604,362,402,399
2020,1,60,"8,643","1,545",333,334,909,552,505,532,344,198,379,299,316,384,690,384,457,482
2020,1,70,"7,403","1,087",277,341,755,395,455,442,247,172,340,313,292,406,654,401,358,468
2020,1,80,"5,240",651,228,273,459,317,313,277,196,162,257,240,232,322,457,238,279,339
2020,1,90,640,78,25,30,47,46,43,43,24,12,31,21,21,32,66,37,41,43
2020,1,100,34,9,0,1,3,0,2,1,0,0,1,3,1,0,7,1,5,0
2020,2,총,"44,910","11,564","1,471","1,621","4,381","2,530","2,287","2,518","1,305",881,"1,673","1,492","1,838","1,783","3,369","1,826","2,150","2,221"
2020,2,0,"1,682",866,27,22,118,72,46,68,28,15,31,33,135,39,75,31,45,31
2020,2,10,"2,603","1,187",49,63,214,141,72,139,29,22,46,65,81,48,136,77,151,83
2020,2,20,"3,228","1,258",71,80,303,159,146,194,61,40,82,87,113,73,236,92,132,101
2020,2,30,"2,795","1,105",63,74,240,163,99,150,60,44,83,67,173,66,157,70,88,93
2020,2,40,"4,541","1,716",107,111,430,233,202,242,82,59,135,104,182,115,297,139,195,192
2020,2,50,"8,093","2,051",289,296,898,452,403,431,228,155,286,261,288,300,602,356,406,391
2020,2,60,"8,652","1,552",338,335,911,551,507,532,348,196,377,299,321,383,687,382,451,482
2020,2,70,"7,386","1,087",271,338,756,394,451,443,248,174,341,313,285,404,655,405,356,465
2020,2,80,"5,260",654,232,270,460,320,315,275,197,164,259,239,238,324,454,237,281,341
2020,2,90,636,79,24,31,49,45,44,43,24,12,32,21,21,31,63,36,39,42
2020,2,100,34,9,0,1,2,0,2,1,0,0,1,3,1,0,7,1,6,0
