년도,월,나이,진안군,진안읍,용담면,안천면,동향면,상전면,백운면,성수면,마령면,부귀면,정천면,주천면
2020,1,총,"12,973","5,203",419,522,671,456,"1,015",896,922,"1,518",566,785
2020,1,0,694,367,8,25,29,15,46,47,33,70,30,24
2020,1,10,911,456,14,33,37,19,56,45,52,126,34,39
2020,1,20,"1,158",546,25,37,49,40,87,66,66,145,48,49
2020,1,30,877,420,23,31,27,33,68,44,46,104,47,34
2020,1,40,"1,697",808,45,46,62,46,136,121,105,187,52,89
2020,1,50,"2,642",968,97,109,152,95,205,189,202,329,112,184
2020,1,60,"2,424",812,113,108,151,107,191,185,185,302,117,153
2020,1,70,"1,710",542,69,81,110,69,146,141,148,180,80,144
2020,1,80,754,250,22,47,42,30,75,50,75,61,42,60
2020,1,90,97,30,2,5,11,2,5,6,9,14,4,9
2020,1,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,2,총,"12,950","5,186",415,521,669,456,"1,008",907,923,"1,523",565,777
2020,2,0,692,365,8,24,29,14,46,47,32,73,30,24
2020,2,10,900,448,14,31,37,19,53,47,52,127,34,38
2020,2,20,"1,145",540,25,40,49,38,85,68,64,143,46,47
2020,2,30,871,414,23,29,26,35,67,44,48,103,48,34
2020,2,40,"1,688",801,41,47,62,45,135,125,105,189,52,86
2020,2,50,"2,646",975,96,109,154,95,202,189,204,330,110,182
2020,2,60,"2,426",811,114,110,150,107,191,185,184,303,117,154
2020,2,70,"1,715",547,69,79,109,70,148,143,150,178,80,142
2020,2,80,761,250,22,47,42,31,76,51,74,63,43,62
2020,2,90,97,31,2,5,10,2,5,6,9,14,5,8
2020,2,100,9,4,1,0,1,0,0,2,1,0,0,0
2020,3,총,"12,931","5,186",416,512,670,458,"1,012",899,921,"1,517",562,778
2020,3,0,687,364,8,23,29,13,46,46,32,73,29,24
2020,3,10,891,443,14,28,38,20,53,45,51,128,34,37
2020,3,20,"1,141",543,25,39,47,38,84,66,65,142,44,48
2020,3,30,865,410,25,29,25,32,69,45,48,100,48,34
