년도,월,나이,북구,고성동,칠성동,침산1동,침산2동,침산3동,산격1동,산격2동,산격3동,산격4동,대현동,복현1동,복현2동,검단동,무태조야동,관문동,태전1동,태전2동,구암동,관음동,읍내동,동천동,노원동,국우동
2020,1,총,"437,189","4,183","23,585","4,325","19,769","20,884","9,877","11,519","8,964","8,744","18,775","7,302","27,998","7,137","29,009","37,813","22,502","25,270","37,301","17,583","27,408","29,639","13,081","24,521"
2020,1,0,"35,242",151,"2,528",181,"2,434","1,906",281,648,316,332,"1,373",205,"2,210",394,"2,675","4,723","1,524","1,772","2,955","1,077","1,849","2,539",733,"2,436"
2020,1,10,"45,211",249,"2,097",249,"2,256","2,429",536,"1,018",509,524,"1,220",406,"3,083",491,"3,570","3,189","1,848","2,690","5,463","1,792","2,715","4,833",706,"3,338"
2020,1,20,"60,310",490,"2,716",514,"2,198","2,482","1,123","1,753","2,263","1,273","2,654","1,984","4,066",832,"3,037","4,170","3,744","3,706","5,373","2,513","4,375","4,126","1,543","3,375"
2020,1,30,"54,833",402,"3,866",452,"3,050","2,539",809,"1,213","1,111","1,033","2,426",974,"3,462",898,"3,508","6,895","2,743","2,938","3,757","1,759","3,202","2,999","1,759","3,038"
2020,1,40,"73,973",531,"3,989",519,"3,726","3,650","1,238","1,625","1,126","1,108","2,731",860,"4,599",961,"5,954","6,377","3,365","4,155","7,371","2,755","4,115","6,485","1,795","4,938"
2020,1,50,"77,128",812,"3,372",961,"2,754","3,502","2,004","2,373","1,334","1,663","3,060","1,208","5,062","1,329","4,617","5,982","4,253","4,754","7,093","3,586","5,533","5,168","2,615","4,093"
2020,1,60,"50,316",790,"2,558",852,"1,842","2,295","2,025","1,629","1,186","1,529","2,690",961,"3,296","1,247","3,267","3,952","2,827","3,033","2,982","2,402","3,210","1,779","2,253","1,711"
2020,1,70,"27,429",503,"1,602",424,"1,043","1,425","1,264",878,753,912,"1,751",487,"1,472",674,"1,747","1,814","1,444","1,586","1,532","1,115","1,561","1,122","1,262","1,058"
2020,1,80,"11,417",212,752,142,414,598,558,338,329,338,747,201,654,287,578,638,672,564,692,536,766,555,370,476
2020,1,90,"1,247",38,93,29,50,54,34,44,33,32,109,15,87,23,55,69,78,71,83,46,78,32,38,56
2020,1,100,83,5,12,2,2,4,5,0,4,0,14,1,7,1,1,4,4,1,0,2,4,1,7,2
2020,2,총,"436,530","4,165","23,646","4,309","19,751","20,885","9,888","11,494","8,936","8,745","18,682","7,335","27,906","7,076","28,977","37,878","22,461","25,219","37,289","17,540","27,393","29,594","12,889","24,472"
2020,2,0,"35,057",153,"2,535",180,"2,418","1,903",277,640,317,332,"1,368",205,"2,174",385,"2,654","4,728","1,510","1,746","2,958","1,074","1,841","2,524",718,"2,417"
2020,2,10,"44,952",250,"2,098",247,"2,267","2,406",535,"1,019",512,521,"1,219",404,"3,067",484,"3,547","3,196","1,849","2,672","5,417","1,769","2,682","4,765",700,"3,326"
2020,2,20,"60,051",489,"2,702",505,"2,178","2,477","1,128","1,743","2,248","1,264","2,622","1,997","4,035",815,"3,035","4,139","3,693","3,719","5,378","2,507","4,387","4,130","1,512","3,348"
2020,2,30,"54,520",397,"3,850",447,"3,047","2,541",811,"1,210","1,100","1,039","2,377",976,"3,433",881,"3,486","6,859","2,733","2,899","3,724","1,742","3,192","3,015","1,725","3,036"
2020,2,40,"73,743",527,"4,035",517,"3,710","3,633","1,235","1,607","1,125","1,092","2,740",869,"4,572",969,"5,935","6,409","3,350","4,143","7,348","2,728","4,087","6,430","1,763","4,919"
2020,2,50,"77,226",801,"3,373",956,"2,771","3,510","2,000","2,376","1,337","1,650","3,050","1,209","5,074","1,317","4,630","5,999","4,261","4,756","7,125","3,594","5,541","5,216","2,579","4,101"
2020,2,60,"50,609",776,"2,587",861,"1,851","2,319","2,018","1,631","1,182","1,547","2,683",975,"3,321","1,241","3,291","4,000","2,849","3,049","3,011","2,421","3,254","1,788","2,226","1,728"
2020,2,70,"27,524",511,"1,598",422,"1,032","1,435","1,276",881,754,912,"1,753",485,"1,479",669,"1,763","1,833","1,458","1,595","1,538","1,116","1,558","1,133","1,254","1,069"
2020,2,80,"11,500",218,759,142,425,601,564,343,325,353,753,200,657,289,580,637,678,568,705,539,770,558,365,471
2020,2,90,"1,265",38,98,30,50,56,39,44,31,35,103,14,87,25,55,74,76,72,85,47,77,34,40,55
2020,2,100,83,5,11,2,2,4,5,0,5,0,14,1,7,1,1,4,4,0,0,3,4,1,7,2
2020,3,총,"436,847","4,126","23,640","4,318","19,717","20,874","9,837","11,486","8,998","8,782","18,739","7,428","27,841","7,048","29,531","37,920","22,561","25,202","37,228","17,505","27,400","29,588","12,676","24,402"
2020,3,0,"34,989",149,"2,516",182,"2,401","1,885",279,638,313,334,"1,356",208,"2,167",388,"2,769","4,719","1,504","1,745","2,923","1,067","1,844","2,509",710,"2,383"
2020,3,10,"44,726",246,"2,105",246,"2,277","2,410",526,"1,004",511,514,"1,223",405,"3,027",475,"3,566","3,189","1,860","2,638","5,364","1,748","2,670","4,722",685,"3,315"
2020,3,20,"60,368",492,"2,703",492,"2,163","2,466","1,127","1,747","2,297","1,277","2,701","2,070","4,029",803,"3,097","4,133","3,728","3,742","5,400","2,502","4,395","4,175","1,476","3,353"
2020,3,30,"54,449",387,"3,825",458,"3,013","2,534",795,"1,204","1,124","1,047","2,366",986,"3,420",884,"3,628","6,843","2,743","2,875","3,709","1,718","3,184","2,990","1,698","3,018"
2020,3,40,"73,506",514,"4,061",508,"3,717","3,626","1,216","1,594","1,116","1,089","2,737",863,"4,542",954,"5,998","6,435","3,338","4,118","7,289","2,699","4,059","6,403","1,729","4,901"
2020,3,50,"77,328",792,"3,351",959,"2,794","3,511","1,998","2,377","1,335","1,660","3,044","1,217","5,063","1,305","4,725","6,003","4,271","4,783","7,124","3,605","5,533","5,246","2,539","4,093"
2020,3,60,"50,888",770,"2,581",866,"1,846","2,335","2,010","1,641","1,195","1,552","2,680",975,"3,345","1,245","3,328","4,029","2,891","3,058","3,051","2,444","3,293","1,817","2,198","1,738"
2020,3,70,"27,630",513,"1,612",425,"1,037","1,436","1,278",888,750,914,"1,752",484,"1,488",675,"1,774","1,848","1,461","1,600","1,560","1,125","1,570","1,129","1,244","1,067"
2020,3,80,"11,603",221,773,152,415,613,562,346,322,358,765,204,666,292,591,645,685,575,717,545,771,558,349,478
2020,3,90,"1,278",37,102,29,52,54,41,47,31,37,101,15,87,26,54,72,76,68,90,49,77,38,41,54
2020,3,100,82,5,11,1,2,4,5,0,4,0,14,1,7,1,1,4,4,0,1,3,4,1,7,2
2020,4,총,"436,863","4,153","23,645","4,311","19,682","20,809","9,764","11,453","9,035","8,761","18,738","7,502","27,817","7,005","30,165","37,785","22,564","25,174","37,110","17,463","27,397","29,570","12,556","24,404"
2020,4,0,"34,879",155,"2,502",185,"2,393","1,867",276,635,317,330,"1,349",206,"2,141",372,"2,871","4,695","1,495","1,737","2,899","1,055","1,838","2,501",708,"2,352"
2020,4,10,"44,590",244,"2,111",238,"2,283","2,393",522,992,511,514,"1,204",406,"3,023",477,"3,603","3,191","1,871","2,616","5,313","1,725","2,665","4,689",678,"3,321"
2020,4,20,"60,528",498,"2,715",493,"2,154","2,449","1,109","1,744","2,324","1,273","2,752","2,116","4,030",790,"3,181","4,106","3,723","3,750","5,404","2,521","4,398","4,174","1,457","3,367"
2020,4,30,"54,369",403,"3,792",457,"3,001","2,529",776,"1,198","1,112","1,045","2,353","1,000","3,424",879,"3,759","6,775","2,762","2,872","3,689","1,694","3,164","3,003","1,675","3,007"
2020,4,40,"73,344",514,"4,075",502,"3,724","3,601","1,205","1,589","1,134","1,088","2,715",862,"4,523",940,"6,096","6,427","3,305","4,106","7,235","2,693","4,049","6,374","1,707","4,880"
2020,4,50,"77,259",795,"3,349",958,"2,785","3,510","1,975","2,361","1,318","1,644","3,023","1,230","5,054","1,297","4,823","6,002","4,263","4,758","7,105","3,581","5,534","5,256","2,510","4,128"
2020,4,60,"51,162",765,"2,604",868,"1,848","2,342","2,003","1,651","1,204","1,554","2,691",978,"3,355","1,251","3,387","4,025","2,915","3,080","3,089","2,463","3,319","1,833","2,194","1,743"
2020,4,70,"27,661",519,"1,603",431,"1,024","1,436","1,281",886,754,908,"1,760",485,"1,500",680,"1,790","1,846","1,457","1,607","1,559","1,132","1,575","1,137","1,229","1,062"
2020,4,80,"11,687",220,778,149,412,623,569,352,326,366,774,202,670,291,594,645,690,580,725,546,773,564,351,487
2020,4,90,"1,300",35,106,29,56,55,43,45,31,39,102,16,90,27,60,69,79,67,91,50,77,38,40,55
2020,4,100,84,5,10,1,2,4,5,0,4,0,15,1,7,1,1,4,4,1,1,3,5,1,7,2
2020,5,총,"437,566","4,681","23,531","4,306","19,622","20,654","9,733","11,413","9,077","8,753","18,705","7,573","27,753","6,966","31,464","37,682","22,516","25,160","37,000","17,416","27,350","29,473","12,468","24,270"
2020,5,0,"34,816",232,"2,483",182,"2,366","1,835",275,631,312,334,"1,334",204,"2,134",362,"3,022","4,682","1,459","1,720","2,885","1,048","1,816","2,489",700,"2,311"
2020,5,10,"44,419",309,"2,079",242,"2,269","2,369",518,983,514,505,"1,189",406,"3,003",468,"3,695","3,186","1,873","2,598","5,274","1,703","2,627","4,645",665,"3,299"
2020,5,20,"60,761",552,"2,718",492,"2,167","2,441","1,092","1,731","2,368","1,266","2,772","2,171","4,007",781,"3,356","4,081","3,721","3,768","5,385","2,514","4,409","4,160","1,443","3,366"
2020,5,30,"54,496",521,"3,743",454,"2,983","2,500",775,"1,201","1,119","1,050","2,330","1,007","3,411",871,"4,019","6,745","2,749","2,864","3,674","1,691","3,147","3,020","1,657","2,965"
2020,5,40,"73,231",625,"4,059",498,"3,712","3,568","1,196","1,567","1,123","1,087","2,708",852,"4,512",937,"6,317","6,398","3,280","4,074","7,175","2,668","4,037","6,315","1,697","4,826"
