년도,월,나이,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020,1,총,"121,458","8,372","7,796","7,138","7,152","2,322","7,957","2,758","3,482","5,253","5,570","7,156","13,899","3,159","7,055","11,929","6,696","13,764"
2020,1,0,"8,087",511,802,429,490,87,384,81,153,310,341,627,"1,030",164,453,"1,031",353,841
2020,1,10,"11,207",554,"1,247",636,522,136,604,123,233,453,422,874,"1,618",152,482,"1,444",545,"1,162"
2020,1,20,"15,212","1,542",833,789,"1,264",227,844,483,397,973,729,748,"1,482",382,885,"1,401",730,"1,503"
2020,1,30,"13,541","1,195",955,726,"1,007",205,716,256,315,633,685,895,"1,388",400,780,"1,420",621,"1,344"
2020,1,40,"18,759","1,204","1,735","1,107",982,267,996,287,452,745,814,"1,328","2,406",416,941,"2,150",994,"1,935"
2020,1,50,"20,146","1,284",970,"1,266","1,033",383,"1,513",493,652,744,893,"1,081","2,325",600,"1,184","1,772","1,279","2,674"
2020,1,60,"16,992","1,089",648,"1,102",915,420,"1,440",457,600,604,744,778,"1,831",546,"1,184","1,309","1,011","2,314"
2020,1,70,"11,034",627,394,660,593,368,963,371,417,497,541,544,"1,127",339,730,911,700,"1,252"
2020,1,80,"5,503",301,177,364,280,196,420,177,214,252,337,240,599,137,346,422,410,631
2020,1,90,919,62,31,55,62,31,71,27,47,39,63,41,85,21,65,66,50,103
2020,1,100,58,3,4,4,4,2,6,3,2,3,1,0,8,2,5,3,3,5
2020,2,총,"121,428","8,356","7,810","7,117","7,190","2,314","7,976","2,798","3,451","5,233","5,581","7,144","13,884","3,168","7,071","11,896","6,685","13,754"
2020,2,0,"8,029",502,805,422,492,85,383,81,147,304,340,619,"1,024",165,453,"1,016",347,844
2020,2,10,"11,185",562,"1,254",632,521,139,606,123,233,451,415,868,"1,605",154,487,"1,443",539,"1,153"
2020,2,20,"15,239","1,541",820,785,"1,289",225,851,509,390,963,746,749,"1,490",378,880,"1,409",730,"1,484"
2020,2,30,"13,402","1,188",944,721,997,203,705,259,310,636,677,883,"1,360",402,783,"1,383",618,"1,333"
2020,2,40,"18,795","1,205","1,751","1,104",993,261,"1,004",292,451,734,812,"1,331","2,421",414,946,"2,150",993,"1,933"
2020,2,50,"20,110","1,271",967,"1,257","1,040",377,"1,513",488,642,746,892,"1,088","2,314",598,"1,185","1,781","1,278","2,673"
2020,2,60,"17,100","1,091",657,"1,111",916,427,"1,447",458,605,602,761,780,"1,839",554,"1,189","1,301","1,023","2,339"
2020,2,70,"11,066",628,400,662,595,371,971,372,418,497,537,542,"1,132",336,732,915,701,"1,257"
2020,2,80,"5,513",303,177,362,282,192,420,186,205,255,335,244,606,143,343,425,404,631
2020,2,90,930,62,31,57,61,32,70,27,48,41,65,40,85,22,68,70,49,102
2020,2,100,59,3,4,4,4,2,6,3,2,4,1,0,8,2,5,3,3,5
2020,3,총,"121,274","8,294","7,786","7,096","7,196","2,303","7,958","2,811","3,456","5,204","5,578","7,133","13,876","3,183","7,086","11,884","6,670","13,760"
2020,3,0,"7,963",499,801,412,481,86,377,84,149,295,337,609,"1,031",167,449,"1,009",338,839
2020,3,10,"11,096",551,"1,257",627,514,136,601,124,232,441,408,865,"1,581",152,489,"1,432",537,"1,149"
2020,3,20,"15,279","1,535",812,786,"1,306",223,852,522,392,972,757,749,"1,487",387,876,"1,415",722,"1,486"
2020,3,30,"13,335","1,175",936,711,999,202,708,260,309,616,666,888,"1,363",402,777,"1,383",615,"1,325"
2020,3,40,"18,723","1,191","1,747","1,102",990,261,996,293,441,733,808,"1,317","2,412",416,954,"2,146",987,"1,929"
2020,3,50,"20,029","1,269",961,"1,246","1,031",370,"1,496",484,645,740,892,"1,086","2,300",595,"1,194","1,769","1,276","2,675"
2020,3,60,"17,179","1,076",658,"1,113",932,427,"1,458",457,608,612,765,786,"1,858",553,"1,188","1,306","1,024","2,358"
2020,3,70,"11,110",622,404,675,594,369,973,374,420,492,538,543,"1,133",340,740,917,710,"1,266"
2020,3,80,"5,541",310,175,361,282,195,421,182,209,257,339,250,610,144,347,430,407,622
2020,3,90,960,63,31,59,63,32,70,28,49,42,67,40,93,25,67,74,51,106
2020,3,100,59,3,4,4,4,2,6,3,2,4,1,0,8,2,5,3,3,5
2020,4,총,"121,149","8,229","7,765","7,095","7,191","2,295","7,972","2,802","3,454","5,209","5,579","7,130","13,871","3,179","7,072","11,868","6,692","13,746"
2020,4,0,"7,898",498,798,410,466,84,375,79,148,294,334,604,"1,022",166,452,994,338,836
2020,4,10,"11,041",548,"1,251",621,518,135,600,120,228,440,403,861,"1,575",151,485,"1,422",537,"1,146"
2020,4,20,"15,308","1,527",814,793,"1,321",220,857,527,393,978,766,744,"1,486",380,871,"1,422",721,"1,488"
