년도,월,나이,태백시,황지동,황연동,삼수동,상장동,문곡소도동,장성동,구문소동,철암동
2020,1,총,"43,681","6,606","4,590","6,089","13,967","3,974","3,535","2,712","2,208"
2020,1,0,"2,830",517,221,430,"1,228",178,128,82,46
2020,1,10,"3,991",622,340,517,"1,696",281,219,212,104
2020,1,20,"3,832",630,353,398,"1,524",280,323,175,149
2020,1,30,"4,184",657,332,606,"1,690",316,282,161,140
2020,1,40,"6,619",970,633,959,"2,636",532,380,299,210
2020,1,50,"7,604","1,140",849,"1,000","2,184",777,799,454,401
2020,1,60,"7,472","1,081",980,"1,043","1,671",898,685,613,501
2020,1,70,"4,860",667,632,772,933,497,453,493,413
2020,1,80,"1,986",273,206,316,357,190,233,200,211
2020,1,90,245,37,36,41,41,20,26,19,25
2020,1,100,58,12,8,7,7,5,7,4,8
2020,2,총,"43,526","6,600","4,589","6,103","13,842","3,957","3,548","2,708","2,179"
2020,2,0,"2,805",523,219,429,"1,198",174,132,86,44
2020,2,10,"3,967",618,331,522,"1,673",280,227,211,105
2020,2,20,"3,770",620,352,402,"1,490",276,316,170,144
2020,2,30,"4,121",650,330,606,"1,659",304,279,160,133
2020,2,40,"6,622",974,631,952,"2,622",541,393,301,208
2020,2,50,"7,581","1,135",857,"1,003","2,179",768,791,452,396
2020,2,60,"7,486","1,089",978,"1,047","1,686",900,683,609,494
2020,2,70,"4,860",665,631,773,929,496,460,492,414
2020,2,80,"2,007",275,214,321,358,193,234,204,208
2020,2,90,248,39,38,40,41,20,26,19,25
2020,2,100,59,12,8,8,7,5,7,4,8
2020,3,총,"43,411","6,567","4,568","6,102","13,808","3,963","3,550","2,685","2,168"
2020,3,0,"2,775",516,209,427,"1,197",166,135,85,40
2020,3,10,"3,936",607,326,516,"1,663",283,234,198,109
2020,3,20,"3,732",617,351,405,"1,455",286,310,168,140
2020,3,30,"4,083",647,320,607,"1,640",300,276,161,132
2020,3,40,"6,609",971,628,949,"2,625",540,394,296,206
2020,3,50,"7,569","1,130",855,"1,000","2,196",763,785,447,393
2020,3,60,"7,496","1,087",980,"1,051","1,679",903,693,607,496
2020,3,70,"4,866",659,635,772,935,501,462,491,411
2020,3,80,"2,034",282,220,325,370,194,227,208,208
2020,3,90,250,37,36,42,41,22,27,20,25
2020,3,100,61,14,8,8,7,5,7,4,8
2020,4,총,"43,251","6,534","4,540","6,104","13,752","3,969","3,534","2,657","2,161"
2020,4,0,"2,757",516,201,428,"1,191",166,134,78,43
2020,4,10,"3,924",588,333,513,"1,669",280,234,195,112
2020,4,20,"3,671",617,347,403,"1,415",285,302,164,138
2020,4,30,"4,044",645,314,597,"1,628",297,276,157,130
2020,4,40,"6,570",959,623,939,"2,618",536,397,292,206
2020,4,50,"7,537","1,131",849,"1,003","2,183",772,769,439,391
2020,4,60,"7,528","1,088",974,"1,072","1,694",900,695,610,495
2020,4,70,"4,867",658,636,768,936,508,465,487,409
2020,4,80,"2,041",279,218,331,369,198,230,211,205
2020,4,90,251,39,37,42,42,22,25,20,24
2020,4,100,61,14,8,8,7,5,7,4,8
2020,5,총,"43,254","6,539","4,537","6,074","13,785","3,976","3,538","2,651","2,154"
2020,5,0,"2,733",513,201,411,"1,184",168,133,79,44
2020,5,10,"3,939",587,329,519,"1,694",277,234,189,110
2020,5,20,"3,677",616,348,394,"1,429",285,305,162,138
2020,5,30,"4,014",643,314,590,"1,615",294,273,159,126
2020,5,40,"6,558",957,616,933,"2,623",542,399,287,201
2020,5,50,"7,540","1,141",842,"1,001","2,182",778,764,444,388
2020,5,60,"7,535","1,091",982,"1,069","1,697",893,699,605,499
2020,5,70,"4,894",661,640,773,944,513,464,488,411
2020,5,80,"2,047",277,219,332,367,199,235,213,205
2020,5,90,255,39,38,44,42,22,25,21,24
2020,5,100,62,14,8,8,8,5,7,4,8
2020,6,총,"43,203","6,527","4,528","6,071","13,796","3,957","3,536","2,640","2,148"
2020,6,0,"2,728",517,201,414,"1,178",167,129,79,43
2020,6,10,"3,912",581,321,515,"1,689",273,236,187,110
2020,6,20,"3,690",617,348,400,"1,435",284,306,161,139
2020,6,30,"3,986",641,315,579,"1,610",292,269,156,124
2020,6,40,"6,542",953,614,940,"2,618",534,396,285,202
2020,6,50,"7,506","1,132",838,983,"2,189",777,760,439,388
2020,6,60,"7,585","1,099",988,"1,078","1,718",891,707,609,495
2020,6,70,"4,881",658,638,776,940,511,463,484,411
2020,6,80,"2,051",274,219,333,369,201,237,215,203
2020,6,90,260,41,38,45,42,22,26,21,25
2020,6,100,62,14,8,8,8,5,7,4,8
2020,7,총,"43,098","6,481","4,524","6,041","13,796","3,955","3,535","2,631","2,135"
2020,7,0,"2,702",501,199,408,"1,180",166,127,78,43
2020,7,10,"3,885",573,319,516,"1,678",275,232,185,107
2020,7,20,"3,691",609,347,396,"1,448",277,313,165,136
2020,7,30,"3,932",637,303,564,"1,598",293,262,154,121
2020,7,40,"6,534",940,620,938,"2,620",531,399,282,204
2020,7,50,"7,491","1,132",837,987,"2,194",777,752,432,380
2020,7,60,"7,602","1,105",992,"1,071","1,716",896,715,610,497
2020,7,70,"4,885",661,636,779,942,512,462,485,408
2020,7,80,"2,050",266,223,330,370,200,240,215,206
2020,7,90,264,43,40,44,42,23,26,21,25
2020,7,100,62,14,8,8,8,5,7,4,8
2020,8,총,"42,980","6,480","4,529","6,031","13,742","3,927","3,525","2,620","2,126"
2020,8,0,"2,674",503,198,402,"1,159",169,126,76,41
2020,8,10,"3,864",571,317,514,"1,671",270,232,183,106
2020,8,20,"3,677",609,351,404,"1,447",268,306,160,132
2020,8,30,"3,895",623,295,560,"1,586",288,263,154,126
2020,8,40,"6,506",938,632,934,"2,602",524,394,282,200
2020,8,50,"7,459","1,142",826,977,"2,190",763,748,432,381
2020,8,60,"7,622","1,105",999,"1,074","1,722",901,717,610,494
2020,8,70,"4,908",667,641,782,943,515,466,485,409
2020,8,80,"2,046",264,222,331,371,200,240,214,204
2020,8,90,267,44,40,45,43,24,26,20,25
2020,8,100,62,14,8,8,8,5,7,4,8
2020,9,총,"42,937","6,459","4,529","6,042","13,715","3,908","3,518","2,631","2,135"
2020,9,0,"2,650",492,195,404,"1,145",166,128,79,41
2020,9,10,"3,880",573,321,516,"1,667",263,230,204,106
2020,9,20,"3,665",601,351,410,"1,446",269,305,152,131
2020,9,30,"3,864",617,293,550,"1,574",287,261,153,129
2020,9,40,"6,498",934,632,945,"2,595",519,393,284,196
2020,9,50,"7,434","1,141",820,972,"2,189",762,740,426,384
2020,9,60,"7,636","1,107","1,006","1,078","1,723",898,720,606,498
2020,9,70,"4,916",672,639,778,949,516,466,486,410
2020,9,80,"2,061",263,224,334,376,199,241,217,207
2020,9,90,270,45,40,46,43,24,27,20,25
2020,9,100,63,14,8,9,8,5,7,4,8
2020,10,총,"42,901","6,481","4,509","6,035","13,673","3,889","3,539","2,640","2,135"
2020,10,0,"2,630",489,192,405,"1,132",158,133,78,43
2020,10,10,"3,869",578,314,517,"1,659",264,231,202,104
2020,10,20,"3,688",617,355,405,"1,442",271,311,154,133
2020,10,30,"3,837",617,286,545,"1,558",278,265,157,131
2020,10,40,"6,468",930,622,944,"2,587",515,394,281,195
2020,10,50,"7,424","1,147",824,966,"2,184",757,732,435,379
2020,10,60,"7,665","1,107","1,002","1,088","1,734",902,726,604,502
2020,10,70,"4,902",677,630,771,946,516,466,488,408
2020,10,80,"2,078",259,236,340,376,197,245,217,208
2020,10,90,276,45,40,45,47,26,29,20,24
2020,10,100,64,15,8,9,8,5,7,4,8
2020,11,총,"42,800","6,445","4,495","6,027","13,666","3,894","3,521","2,620","2,132"
2020,11,0,"2,595",475,190,398,"1,124",154,133,77,44
