년도,월,나이,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020,3,총,"175,506","4,174","2,111","3,432","1,216","1,019","1,371",819,768,745,"1,684","10,772","2,429",851,"2,089",579,"1,159","14,417","5,575","6,008","7,471","10,358","12,868","5,966","13,394","14,785","6,372","6,338","11,425","12,629","12,682"
2020,3,0,"14,009",302,186,391,25,25,53,10,18,22,32,"1,114",144,11,80,16,24,825,243,187,294,559,733,439,"1,630","1,123",333,357,"1,342","1,120","2,371"
2020,3,10,"17,007",324,246,193,58,34,94,18,21,41,71,"1,371",202,26,100,25,48,"1,193",359,315,549,853,"1,309",572,"1,785","1,806",580,607,"1,555","1,321","1,331"
2020,3,20,"20,097",374,189,395,69,65,89,26,33,39,84,969,194,38,174,48,74,"1,940",684,506,909,"1,337","1,739",679,"1,471","1,963",820,700,"1,135","1,965","1,389"
2020,3,30,"20,826",470,231,622,59,56,106,29,33,27,85,"1,338",207,25,112,30,53,"1,353",612,398,665,"1,079","1,257",699,"2,105","1,601",613,589,"1,561","1,811","3,000"
2020,3,40,"27,521",516,357,438,70,65,130,43,42,53,112,"2,022",310,48,197,45,80,"2,110",767,660,953,"1,491","2,097",873,"2,838","2,789",887,"1,008","2,183","2,086","2,251"
2020,3,50,"29,381",699,318,571,189,169,234,121,106,107,261,"1,702",401,135,385,92,182,"2,400",967,"1,063","1,418","2,020","2,736","1,089","1,945","2,736","1,193","1,267","1,641","1,929","1,305"
2020,3,60,"22,663",632,264,378,230,230,237,179,168,149,333,"1,167",382,156,453,105,225,"2,175",995,"1,332","1,300","1,644","1,702",905,877,"1,366","1,049",957,"1,093","1,309",671
2020,3,70,"14,260",465,169,236,264,173,219,195,172,132,349,622,325,198,318,99,241,"1,517",585,"1,000",870,938,800,483,447,836,546,534,588,721,218
2020,3,80,"8,319",328,130,166,209,175,187,171,156,141,304,398,222,186,229,97,211,770,304,468,444,386,428,191,262,483,298,264,282,312,117
2020,3,90,"1,354",61,19,38,43,25,22,27,19,33,51,67,41,27,40,20,20,124,54,66,67,50,65,33,31,82,53,51,43,54,28
2020,3,100,69,3,2,4,0,2,0,0,0,1,2,2,1,1,1,2,1,10,5,13,2,1,2,3,3,0,0,4,2,1,1
2020,4,총,"175,528","4,178","2,100","3,594","1,207","1,009","1,372",813,769,747,"1,678","10,752","2,409",854,"2,091",576,"1,163","14,362","5,570","5,971","7,464","10,331","12,836","5,942","13,396","14,772","6,337","6,319","11,412","12,755","12,749"
2020,4,0,"13,976",308,182,410,24,23,53,9,18,21,29,"1,110",137,11,79,16,26,819,240,178,296,560,734,438,"1,617","1,119",325,352,"1,327","1,125","2,390"
2020,4,10,"16,956",323,240,207,56,32,95,18,22,41,72,"1,366",202,26,101,25,49,"1,182",353,312,545,849,"1,294",563,"1,787","1,799",578,603,"1,565","1,318","1,333"
2020,4,20,"20,081",369,192,415,71,62,88,25,31,40,82,972,191,38,173,47,73,"1,926",690,492,904,"1,334","1,716",671,"1,487","1,967",818,698,"1,142","2,001","1,366"
2020,4,30,"20,789",477,232,650,56,56,106,28,35,26,84,"1,324",206,24,112,30,55,"1,340",615,392,658,"1,073","1,254",693,"2,084","1,593",600,584,"1,546","1,832","3,024"
2020,4,40,"27,471",513,350,456,68,63,129,43,42,54,108,"2,017",305,47,200,41,79,"2,093",763,651,956,"1,484","2,079",867,"2,845","2,782",886,"1,000","2,185","2,093","2,272"
2020,4,50,"29,368",698,318,599,190,169,235,119,105,107,259,"1,703",402,134,381,92,183,"2,403",963,"1,062","1,414","2,005","2,723","1,070","1,952","2,730","1,187","1,263","1,632","1,948","1,322"
2020,4,60,"22,748",630,263,400,224,228,239,179,165,149,337,"1,160",381,157,449,107,227,"2,174",995,"1,330","1,301","1,651","1,723",925,870,"1,376","1,044",959,"1,104","1,325",676
2020,4,70,"14,306",465,171,243,267,174,217,195,175,132,344,637,322,198,325,97,238,"1,521",585,997,873,934,806,484,452,836,549,535,584,731,219
2020,4,80,"8,393",331,130,170,208,176,187,170,156,142,309,396,222,191,231,99,211,770,302,478,448,390,440,194,264,484,299,271,283,323,118
2020,4,90,"1,370",61,20,40,43,24,23,27,20,34,52,65,39,27,39,21,21,124,58,66,67,50,66,34,34,86,51,50,42,58,28
2020,4,100,70,3,2,4,0,2,0,0,0,1,2,2,2,1,1,1,1,10,6,13,2,1,1,3,4,0,0,4,2,1,1
2020,5,총,"175,482","4,182","2,083","3,666","1,204","1,013","1,369",808,769,749,"1,665","10,771","2,415",849,"2,075",569,"1,150","14,374","5,552","5,964","7,441","10,303","12,787","5,944","13,393","14,762","6,336","6,311","11,398","12,827","12,753"
2020,5,0,"13,941",310,178,420,24,24,53,8,19,20,29,"1,109",135,11,78,16,26,809,232,181,295,564,725,433,"1,618","1,113",329,349,"1,321","1,127","2,385"
2020,5,10,"16,899",323,239,215,54,33,96,17,22,42,72,"1,369",204,26,101,25,49,"1,178",353,311,535,834,"1,274",570,"1,787","1,779",565,600,"1,567","1,322","1,337"
2020,5,20,"20,096",371,191,423,71,63,87,24,31,39,78,979,189,38,163,47,71,"1,938",683,492,909,"1,334","1,703",666,"1,491","1,965",821,697,"1,131","2,034","1,367"
2020,5,30,"20,732",473,226,664,56,56,103,25,36,27,84,"1,312",204,23,108,30,50,"1,342",607,387,658,"1,076","1,242",697,"2,072","1,603",595,581,"1,545","1,841","3,009"
2020,5,40,"27,404",518,349,460,67,65,129,42,41,54,104,"2,020",307,46,194,41,79,"2,078",762,647,935,"1,461","2,073",864,"2,844","2,779",885,995,"2,183","2,089","2,293"
2020,5,50,"29,372",695,315,618,189,165,235,118,102,111,252,"1,711",405,132,383,91,182,"2,413",965,"1,061","1,408","1,993","2,716","1,062","1,959","2,725","1,190","1,263","1,639","1,958","1,316"
2020,5,60,"22,869",629,262,410,225,232,237,181,169,146,343,"1,167",383,158,452,104,224,"2,186",996,"1,325","1,309","1,665","1,737",933,866,"1,394","1,043",962,"1,104","1,344",683
2020,5,70,"14,310",469,167,244,266,173,221,196,174,135,338,641,321,195,324,95,234,"1,523",585,999,878,934,809,487,455,833,548,537,584,727,218
2020,5,80,"8,411",328,131,169,208,176,185,170,155,140,312,397,225,193,231,98,214,771,303,481,445,393,439,197,261,488,308,273,278,327,115
2020,5,90,"1,377",64,23,39,44,24,23,27,20,34,51,64,40,26,39,21,20,126,60,65,67,48,68,33,36,83,52,50,44,57,29
2020,5,100,71,2,2,4,0,2,0,0,0,1,2,2,2,1,2,1,1,10,6,15,2,1,1,2,4,0,0,4,2,1,1
2020,6,총,"175,435","4,159","2,096","3,753","1,201","1,009","1,366",808,767,746,"1,672","10,734","2,411",853,"2,059",567,"1,152","14,349","5,532","5,958","7,421","10,258","12,766","5,942","13,410","14,743","6,310","6,286","11,374","12,890","12,843"
2020,6,0,"13,889",305,180,428,23,24,54,7,20,20,29,"1,096",131,11,72,16,26,812,231,177,290,561,716,429,"1,623","1,106",325,344,"1,313","1,138","2,382"
2020,6,10,"16,877",325,237,219,53,32,96,17,21,42,74,"1,366",202,26,99,22,50,"1,176",357,314,532,825,"1,264",568,"1,791","1,774",564,591,"1,561","1,325","1,354"
2020,6,20,"20,075",362,197,436,71,64,83,24,30,37,76,974,187,36,161,49,69,"1,938",671,495,890,"1,329","1,712",668,"1,491","1,972",810,696,"1,120","2,042","1,385"
2020,6,30,"20,672",470,226,683,54,53,102,25,37,27,86,"1,306",205,24,102,30,51,"1,327",604,388,661,"1,056","1,225",693,"2,064","1,596",591,569,"1,541","1,867","3,009"
2020,6,40,"27,426",510,351,471,67,64,130,41,41,55,105,"2,015",307,46,196,41,79,"2,074",759,653,934,"1,465","2,065",860,"2,858","2,768",883,995,"2,177","2,094","2,322"
2020,6,50,"29,318",696,317,634,184,164,235,115,99,108,253,"1,711",404,131,381,89,187,"2,409",957,"1,052","1,407","1,965","2,718","1,067","1,958","2,707","1,177","1,250","1,645","1,960","1,338"
2020,6,60,"22,961",625,264,418,230,231,238,186,169,147,344,"1,169",388,162,452,106,223,"2,176","1,000","1,317","1,314","1,682","1,745",927,862,"1,414","1,056",976,"1,103","1,348",689
2020,6,70,"14,333",469,166,243,266,172,219,196,173,135,338,638,321,196,324,96,230,"1,528",587,999,882,928,814,494,464,836,547,537,590,724,221
2020,6,80,"8,435",331,132,173,209,175,187,169,156,141,312,396,227,193,233,97,216,776,298,484,442,395,439,201,260,486,304,275,281,334,113
2020,6,90,"1,379",64,24,44,44,28,22,28,21,33,53,62,38,27,37,20,20,123,62,64,66,51,67,33,35,84,53,49,42,57,28
2020,6,100,70,2,2,4,0,2,0,0,0,1,2,1,1,1,2,1,1,10,6,15,3,1,1,2,4,0,0,4,1,1,2
2020,7,총,"175,410","4,151","2,095","3,780","1,194","1,007","1,358",811,773,742,"1,673","10,713","2,405",850,"2,071",566,"1,155","14,300","5,523","5,937","7,393","10,240","12,722","5,931","13,424","14,721","6,282","6,274","11,346","12,981","12,992"
2020,7,0,"13,880",305,177,433,23,25,53,7,21,20,31,"1,088",128,11,72,16,28,801,232,176,284,556,711,431,"1,627","1,102",323,345,"1,312","1,142","2,400"
2020,7,10,"16,822",325,241,217,53,32,91,19,22,41,72,"1,365",203,26,100,22,50,"1,163",355,311,534,817,"1,250",563,"1,789","1,764",552,585,"1,570","1,324","1,366"
2020,7,20,"20,071",364,196,437,68,62,85,24,29,36,74,965,188,35,165,50,69,"1,949",675,488,880,"1,323","1,705",663,"1,496","1,958",812,699,"1,099","2,077","1,400"
2020,7,30,"20,597",461,223,692,56,54,100,26,39,27,87,"1,296",205,24,105,30,52,"1,310",593,385,661,"1,060","1,222",686,"2,054","1,594",583,567,"1,523","1,865","3,017"
2020,7,40,"27,380",507,350,472,68,63,127,40,43,51,102,"2,009",306,45,194,41,77,"2,059",751,647,923,"1,455","2,047",858,"2,860","2,773",873,994,"2,161","2,110","2,374"
2020,7,50,"29,338",698,321,640,178,161,235,115,95,108,255,"1,711",403,130,380,89,187,"2,396",962,"1,043","1,396","1,962","2,702","1,069","1,966","2,706","1,176","1,241","1,661","1,981","1,371"
2020,7,60,"23,028",625,265,424,229,232,240,189,174,149,345,"1,175",382,163,456,106,223,"2,174",994,"1,316","1,319","1,684","1,753",927,863,"1,428","1,058",974,"1,101","1,358",702
2020,7,70,"14,383",473,165,241,264,170,215,193,172,133,337,644,327,193,325,96,231,"1,539",588,"1,009",884,937,819,498,470,831,551,541,592,726,219
2020,7,80,"8,455",327,130,175,211,178,190,170,157,143,312,395,226,195,235,96,216,776,303,483,443,395,444,203,261,479,302,272,284,341,113
2020,7,90,"1,384",64,25,45,43,28,22,28,21,33,56,64,36,27,37,19,21,123,64,64,66,50,68,31,34,85,52,52,42,56,28
2020,7,100,72,2,2,4,1,2,0,0,0,1,2,1,1,1,2,1,1,10,6,15,3,1,1,2,4,1,0,4,1,1,2
