년도,월,나이,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020,5,0,"1,480",540,159,85,23,77,377,96,29,14,44,36
2020,5,10,"1,771",623,161,102,42,100,352,136,56,40,106,53
2020,5,20,"2,774",728,170,220,102,510,475,244,73,67,109,76
2020,5,30,"2,044",625,127,203,83,115,466,148,69,45,77,86
2020,5,40,"3,328","1,081",265,273,121,255,540,324,112,62,169,126
2020,5,50,"4,314","1,212",361,401,224,334,492,450,157,142,287,254
2020,5,60,"3,649",948,289,368,205,304,319,378,158,142,277,261
2020,5,70,"2,607",719,206,229,114,215,215,232,116,126,242,193
2020,5,80,"1,180",281,92,103,73,122,98,85,45,67,141,73
2020,5,90,113,21,10,14,10,8,11,13,5,6,8,7
2020,5,100,5,1,1,0,0,0,0,0,2,0,0,1
2020,6,총,"23,250","6,775","1,840","1,997",995,"2,054","3,349","2,102",818,703,"1,456","1,161"
2020,6,0,"1,482",543,163,86,23,78,378,90,28,13,44,36
2020,6,10,"1,759",621,159,97,43,101,352,134,55,39,106,52
2020,6,20,"2,784",730,174,220,99,516,482,244,71,66,110,72
2020,6,30,"2,037",617,125,205,85,117,470,149,68,45,76,80
2020,6,40,"3,296","1,071",252,275,119,256,532,325,107,60,166,133
2020,6,50,"4,295","1,209",364,396,224,328,490,444,162,138,288,252
2020,6,60,"3,685",956,294,374,205,308,323,385,158,146,275,261
2020,6,70,"2,611",720,205,228,115,220,214,233,115,125,242,194
2020,6,80,"1,180",286,93,101,72,121,97,85,46,65,141,73
2020,6,90,116,21,10,15,10,9,11,13,6,6,8,7
2020,6,100,5,1,1,0,0,0,0,0,2,0,0,1
2020,7,총,"23,172","6,765","1,834","2,003",994,"2,021","3,326","2,099",819,703,"1,453","1,155"
2020,7,0,"1,466",540,164,85,22,76,373,89,28,14,44,31
2020,7,10,"1,754",621,158,100,44,99,353,134,54,37,104,50
2020,7,20,"2,719",721,170,215,95,489,465,241,72,71,108,72
2020,7,30,"2,028",612,126,210,84,109,473,147,67,44,78,78
2020,7,40,"3,288","1,068",249,273,121,260,530,323,108,62,165,129
2020,7,50,"4,294","1,206",365,397,226,331,485,446,164,132,285,257
2020,7,60,"3,702",961,295,377,205,309,328,387,154,145,279,262
2020,7,70,"2,618",726,205,231,114,218,213,230,117,127,241,196
2020,7,80,"1,182",287,91,100,73,122,96,88,47,66,140,72
2020,7,90,116,22,10,15,10,8,10,14,6,5,9,7
2020,7,100,5,1,1,0,0,0,0,0,2,0,0,1
2020,8,총,"23,049","6,724","1,840","1,992",984,"1,983","3,288","2,114",819,699,"1,452","1,154"
2020,8,0,"1,448",530,162,83,22,76,362,93,29,13,46,32
2020,8,10,"1,744",620,159,94,43,102,347,137,52,36,103,51
2020,8,20,"2,649",706,171,216,94,453,449,242,70,71,107,70
