년도,월,나이,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020,3,총,"57,150","5,415","2,024","4,412","4,739","3,633","2,710","3,390","9,329","14,368","1,898","5,232"
2020,3,0,"2,834",205,109,221,139,185,76,211,547,831,105,205
2020,3,10,"4,048",282,142,342,278,226,154,236,774,"1,206",106,302
2020,3,20,"6,748",549,241,489,442,397,297,320,"1,104","1,959",390,560
2020,3,30,"6,100",571,216,451,416,436,266,371,"1,065","1,571",195,542
2020,3,40,"8,349",797,269,569,696,551,407,558,"1,415","2,100",266,721
2020,3,50,"10,311","1,108",371,791,974,633,518,569,"1,647","2,498",251,951
2020,3,60,"10,337","1,039",358,807,898,667,478,588,"1,566","2,448",326,"1,162"
2020,3,70,"6,262",633,236,526,641,385,373,406,928,"1,334",192,608
2020,3,80,"1,989",221,73,194,238,134,127,116,260,396,55,175
2020,3,90,139,8,5,19,12,15,10,12,17,25,11,5
2020,3,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,4,총,"57,014","5,400","2,013","4,399","4,727","3,637","2,702","3,374","9,327","14,327","1,904","5,204"
2020,4,0,"2,811",199,106,220,139,186,74,210,547,825,106,199
2020,4,10,"4,019",278,140,337,282,227,153,234,775,"1,187",105,301
2020,4,20,"6,711",543,242,492,435,397,293,318,"1,094","1,962",384,551
2020,4,30,"6,067",574,216,444,414,431,268,366,"1,055","1,559",199,541
2020,4,40,"8,304",791,268,570,692,555,402,552,"1,414","2,079",263,718
2020,4,50,"10,288","1,103",367,787,968,632,519,566,"1,650","2,505",256,935
2020,4,60,"10,351","1,043",356,808,898,670,477,589,"1,568","2,451",328,"1,163"
2020,4,70,"6,291",637,234,528,643,387,372,406,937,"1,338",196,613
2020,4,80,"2,003",223,75,191,239,133,131,118,263,398,55,177
2020,4,90,136,7,5,19,12,15,9,12,18,23,11,5
2020,4,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,5,총,"56,867","5,388","2,023","4,401","4,713","3,619","2,683","3,356","9,298","14,308","1,900","5,178"
2020,5,0,"2,796",198,103,219,143,183,74,205,548,826,103,194
2020,5,10,"3,987",280,140,336,276,226,151,233,761,"1,185",101,298
2020,5,20,"6,710",542,245,497,432,391,287,324,"1,096","1,960",388,548
2020,5,30,"6,021",574,217,442,408,425,261,361,"1,049","1,559",199,526
2020,5,40,"8,232",782,266,573,684,548,396,535,"1,408","2,075",258,707
2020,5,50,"10,261","1,109",370,783,970,636,517,574,"1,634","2,479",257,932
2020,5,60,"10,371","1,032",361,809,897,672,480,585,"1,579","2,457",332,"1,167"
2020,5,70,"6,305",642,236,528,643,383,371,405,938,"1,343",196,620
2020,5,80,"2,013",220,77,191,243,136,134,119,261,399,54,179
2020,5,90,138,7,4,20,12,15,8,12,18,25,11,6
2020,5,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,6,총,"56,700","5,399","2,020","4,385","4,685","3,614","2,661","3,343","9,273","14,265","1,896","5,159"
2020,6,0,"2,774",205,101,220,140,188,72,198,547,812,100,191
2020,6,10,"3,983",285,141,332,277,221,148,239,759,"1,183",100,298
2020,6,20,"6,677",542,244,490,432,386,285,322,"1,094","1,955",390,537
2020,6,30,"5,975",569,219,438,402,428,251,355,"1,039","1,558",198,518
2020,6,40,"8,186",781,263,573,683,547,396,534,"1,399","2,049",257,704
2020,6,50,"10,197","1,110",368,779,954,626,509,567,"1,631","2,465",254,934
2020,6,60,"10,396","1,029",364,815,895,671,483,589,"1,580","2,469",334,"1,167"
2020,6,70,"6,328",648,232,526,644,392,371,405,936,"1,353",197,624
2020,6,80,"2,015",221,80,190,241,136,134,119,264,396,55,179
2020,6,90,136,7,4,19,12,15,8,12,18,25,10,6
2020,6,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,7,총,"56,583","5,405","2,016","4,379","4,666","3,619","2,660","3,335","9,245","14,223","1,898","5,137"
2020,7,0,"2,754",200,99,222,133,192,75,196,543,805,100,189
2020,7,10,"3,967",282,139,327,275,217,149,240,756,"1,185",100,297
2020,7,20,"6,628",547,243,493,432,383,285,318,"1,086","1,928",384,529
2020,7,30,"5,970",570,215,445,405,428,250,352,"1,032","1,554",204,515
2020,7,40,"8,156",783,267,564,669,544,395,528,"1,392","2,062",251,701
2020,7,50,"10,138","1,097",363,775,953,623,504,568,"1,637","2,434",260,924
2020,7,60,"10,453","1,043",369,815,898,678,487,589,"1,584","2,487",335,"1,168"
2020,7,70,"6,320",649,233,527,644,396,366,410,927,"1,343",197,628
2020,7,80,"2,021",223,79,189,240,139,137,118,263,399,56,178
2020,7,90,143,9,5,19,12,15,8,13,19,26,10,7
2020,7,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,8,총,"56,422","5,413","2,018","4,363","4,650","3,606","2,649","3,315","9,214","14,181","1,886","5,127"
2020,8,0,"2,724",204,98,219,131,190,71,194,532,797,102,186
2020,8,10,"3,938",280,140,320,271,217,151,236,761,"1,168",98,296
2020,8,20,"6,615",555,244,496,437,388,279,314,"1,075","1,927",375,525
2020,8,30,"5,929",572,214,448,403,424,247,346,"1,021","1,545",204,505
2020,8,40,"8,101",784,270,559,663,532,396,522,"1,377","2,038",255,705
2020,8,50,"10,106","1,083",361,777,945,622,502,573,"1,632","2,431",256,924
2020,8,60,"10,469","1,048",364,813,901,678,484,587,"1,596","2,501",334,"1,163"
2020,8,70,"6,338",653,238,521,640,396,372,408,930,"1,346",199,635
2020,8,80,"2,024",222,80,188,242,139,135,119,265,402,52,180
2020,8,90,145,10,5,19,12,16,8,13,19,26,10,7
2020,8,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,9,총,"56,298","5,436","2,030","4,344","4,643","3,595","2,633","3,292","9,200","14,150","1,875","5,100"
2020,9,0,"2,697",204,100,215,132,186,73,188,527,791,100,181
2020,9,10,"3,913",278,139,314,270,217,145,235,763,"1,165",94,293
2020,9,20,"6,614",554,245,501,437,394,280,315,"1,061","1,927",379,521
2020,9,30,"5,877",578,214,440,404,403,238,348,"1,031","1,524",196,501
2020,9,40,"8,080",797,273,562,656,533,395,510,"1,372","2,035",255,692
2020,9,50,"10,072","1,076",362,768,942,628,499,568,"1,620","2,423",256,930
2020,9,60,"10,494","1,057",368,814,903,674,487,588,"1,605","2,505",333,"1,160"
2020,9,70,"6,338",657,237,519,638,399,371,404,928,"1,352",199,634
2020,9,80,"2,035",223,83,189,244,141,133,120,269,402,52,179
2020,9,90,145,10,5,19,12,16,8,13,18,26,10,8
2020,9,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,10,총,"56,128","5,459","2,022","4,316","4,615","3,595","2,620","3,265","9,194","14,057","1,893","5,092"
2020,10,0,"2,659",208,99,208,129,185,71,179,527,775,102,176
2020,10,10,"3,881",277,136,310,269,215,143,239,762,"1,148",94,288
2020,10,20,"6,605",555,250,502,431,389,279,310,"1,066","1,918",385,520
2020,10,30,"5,821",584,207,437,392,410,233,339,"1,021","1,509",198,491
2020,10,40,"8,037",804,278,560,649,533,393,505,"1,353","2,010",255,697
2020,10,50,"10,021","1,072",355,754,941,619,494,562,"1,627","2,407",262,928
2020,10,60,"10,539","1,064",372,813,907,684,488,586,"1,612","2,510",334,"1,169"
2020,10,70,"6,344",659,236,522,638,398,375,407,927,"1,349",200,633
2020,10,80,"2,041",223,81,188,244,142,132,122,275,404,52,178
2020,10,90,147,11,4,19,10,16,8,13,18,27,10,11
2020,10,100,33,2,4,3,5,4,4,3,6,0,1,1
2020,11,총,"55,985","5,472","2,014","4,298","4,586","3,582","2,604","3,254","9,171","14,058","1,874","5,072"
2020,11,0,"2,627",210,99,209,128,181,71,177,520,767,97,168
