년도,월,나이,창원시,의창구,동읍,북면,대산면,의창동,팔룡동,명곡동,봉림동,용지동,성산구,반송동,중앙동,상남동,사파동,가음정동,성주동,웅남동,마산합포구,구산면,진동면,진북면,진전면,현동,가포동,월영동,문화동,반월중앙동,완월동,자산동,교방동,노산동,오동동,합포동,산호동,마산회원구,내서읍,회원1동,회원2동,석전동,회성동,양덕1동,양덕2동,합성1동,합성2동,구암1동,구암2동,봉암동,진해구,중앙동,태평동,충무동,여좌동,태백동,경화동,병암동,석동,이동,자은동,덕산동,풍호동,웅천동,웅동1동,웅동2동,용지동
2020,1,총,"1,044,579","260,206","20,742","42,588","7,397","45,885","37,169","44,281","31,151","30,993","219,933","42,895","23,283","28,852","47,126","42,378","27,188","8,211","177,026","4,459","12,708","3,700","4,078","14,597",671,"32,505","11,749","15,604","9,663","11,427","14,881",0.0,"20,502","7,229","13,253","193,975","66,950","11,169","7,810","15,822","6,663","11,756","32,643","9,749","8,187","9,624","10,023","3,579","193,439",0.0,0.0,"17,912","9,025","5,327","11,598","7,745","17,535","8,705","21,743","10,387","26,447","12,330","6,600","38,085",
2020,1,0,"87,550","21,798","1,372","6,680",278,"3,690","3,050","2,702","1,741","2,285","17,832","3,389","1,360","2,267","3,982","3,978","2,307",549,"13,135",129,"1,276",96,77,"2,373",32,"2,829",607,"1,082",456,584,"1,096",0.0,"1,270",380,848,"14,159","5,821",478,348,"1,028",185,684,"3,313",692,334,510,592,174,"20,626",0.0,0.0,"1,683",405,218,"1,135",625,"1,632",430,"2,648","1,171","3,858","1,768",598,"4,455",
2020,1,10,"103,181","24,248","2,066","3,433",448,"4,308","4,059","4,515","2,439","2,980","24,566","5,635","1,549","3,635","5,141","4,405","3,367",834,"14,193",185,"1,039",178,153,"1,195",30,"3,298",840,"1,452",869,"1,013","1,232",0.0,"1,225",459,"1,025","19,094","8,632",706,641,"1,156",398,905,"3,631",666,532,712,868,247,"21,080",0.0,0.0,"1,927",725,333,"1,065",753,"2,454",583,"2,261","1,250","3,130",891,730,"4,978",
2020,1,20,"133,740","36,383","2,411","4,093",715,"6,594","5,609","7,099","4,887","4,975","33,872","6,071","4,503","4,391","6,905","6,553","4,364","1,085","19,611",330,"1,149",316,290,"1,293",72,"4,283","1,672","1,738","1,205","1,323","1,503",0.0,"2,126",685,"1,626","23,226","8,686","1,084",816,"1,746",704,"1,406","3,659","1,222","1,074","1,102","1,352",375,"20,648",0.0,0.0,"2,246",899,540,"1,179",837,"2,212","1,028","2,488","1,143","2,380","1,279",606,"3,811",
2020,1,30,"139,502","35,532","1,993","8,445",675,"6,394","5,174","4,600","4,002","4,249","30,548","4,777","4,364","3,631","6,828","6,348","3,509","1,091","21,670",363,"1,723",239,195,"2,871",75,"4,159","1,329","1,731",939,"1,145","1,764",0.0,"2,648",864,"1,625","22,825","7,415","1,147",724,"2,007",603,"1,466","4,353","1,467",915,"1,028","1,245",455,"28,927",0.0,0.0,"2,438",784,452,"1,754",926,"2,262","1,112","3,509","1,490","4,526","2,534",774,"6,366",
2020,1,40,"170,332","41,147","3,429","6,665",876,"7,061","6,326","7,192","4,615","4,983","37,570","7,812","3,737","5,016","8,159","6,977","4,559","1,310","25,790",402,"1,984",369,345,"2,371",73,"5,067","1,523","2,397","1,313","1,582","2,208",0.0,"3,132","1,025","1,999","31,174","12,176","1,510","1,075","2,207",813,"1,747","5,722","1,345","1,173","1,319","1,484",603,"34,651",0.0,0.0,"3,039","1,299",636,"1,767","1,275","3,500","1,304","3,718","1,726","4,833","1,889","1,133","8,532",
2020,1,50,"188,813","50,537","3,998","6,172","1,427","9,042","7,429","9,656","6,471","6,342","44,308","8,560","4,283","6,178","9,322","8,588","5,907","1,470","30,222",859,"2,093",768,757,"1,945",124,"5,693","2,007","2,638","1,860","2,086","2,412",0.0,"3,439","1,276","2,265","35,392","12,468","1,981","1,420","2,818","1,325","2,069","5,604","1,740","1,520","1,951","1,804",692,"28,354",0.0,0.0,"2,303","1,447",976,"1,874","1,245","2,650","1,576","3,422","1,438","3,555","1,717","1,124","5,027",
2020,1,60,"132,239","31,560","2,979","4,309","1,503","5,614","3,796","5,499","4,501","3,359","21,376","4,507","2,387","2,595","4,619","3,815","2,328","1,125","28,805","1,115","1,934",853,968,"1,551",152,"4,344","2,016","2,349","1,671","2,078","2,580",0.0,"3,627","1,362","2,205","28,408","7,022","2,275","1,556","2,781","1,409","2,120","4,034","1,496","1,605","1,824","1,665",621,"22,090",0.0,0.0,"2,111","1,543","1,023","1,588","1,095","1,822","1,559","2,319","1,207","2,597","1,277",919,"3,030",
2020,1,70,"60,889","12,760","1,618","1,768",910,"2,238","1,174","2,095","1,717","1,240","6,581","1,487",756,724,"1,421","1,133",558,502,"15,962",686,988,514,725,691,67,"2,024","1,175","1,481",891,"1,156","1,460",0.0,"2,109",786,"1,209","14,172","3,295","1,386",881,"1,574",828,"1,014","1,683",823,794,837,763,294,"11,414",0.0,0.0,"1,407","1,242",741,848,657,705,778,915,645,"1,058",616,441,"1,361",
2020,1,80,"25,017","5,486",791,881,495,818,483,824,690,504,"2,863",572,285,354,658,510,262,222,"6,682",328,465,312,484,271,39,707,513,651,411,405,528,0.0,829,345,394,"4,943","1,296",545,308,457,348,307,560,262,224,303,225,108,"5,043",0.0,0.0,669,621,367,342,302,256,298,421,287,459,320,236,465,
