년도,월,나이,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020,3,총,"230,790","24,707","7,005","5,858","15,409","5,961","7,309","6,291","2,046","4,062",0.0,297.0,0,86.0,0.0,"11,932","16,578","14,112","20,874","22,182","30,150","35,931"
2020,3,0,"22,847","2,635",292,201,955,93,400,266,67,299,0.0,11.0,0,1.0,0.0,656,"1,899","1,228","2,079","2,729","4,623","4,413"
2020,3,10,"25,006","2,459",433,458,"1,436",163,538,374,106,308,0.0,15.0,0,4.0,0.0,839,"2,238","1,492","2,906","2,958","3,742","4,537"
2020,3,20,"29,108","3,030",884,800,"2,094","1,357",860,781,266,595,0.0,33.0,0,4.0,0.0,"1,936","2,145","2,052","2,433","2,448","3,062","4,328"
2020,3,30,"35,731","4,492",795,541,"1,724","1,882",913,663,148,486,0.0,27.0,0,5.0,0.0,"1,731","2,480","2,101","2,604","3,311","6,078","5,750"
2020,3,40,"40,711","3,946","1,038",751,"2,349",657,"1,256",819,219,503,0.0,51.0,0,5.0,0.0,"1,854","3,030","2,292","4,218","4,437","6,063","7,223"
2020,3,50,"36,720","3,551","1,425","1,247","3,110",813,"1,485","1,338",437,676,0.0,55.0,0,19.0,0.0,"2,364","2,569","2,367","3,432","3,291","3,448","5,093"
2020,3,60,"22,830","2,368","1,158","1,019","2,170",598,"1,023","1,176",380,625,0.0,48.0,0,16.0,0.0,"1,460","1,208","1,470","1,890","1,779","1,798","2,644"
2020,3,70,"12,392","1,502",645,589,"1,079",279,554,623,273,417,0.0,38.0,0,22.0,0.0,795,691,764,935,868,939,"1,379"
2020,3,80,"4,916",637,291,220,447,112,253,219,133,139,0.0,18.0,0,9.0,0.0,270,290,315,345,332,361,525
2020,3,90,472,74,34,28,41,7,26,28,11,14,0.0,1.0,0,1.0,0.0,21,26,29,31,27,34,39
2020,3,100,57,13,10,4,4,0,1,4,6,0,0.0,0.0,0,0.0,0.0,6,2,2,1,2,2,0
2020,4,총,"231,142","24,723","7,013","5,839","15,374","5,917","7,323","6,275","2,046","4,061",0.0,297.0,0,86.0,0.0,"11,960","16,560","14,123","20,877","22,238","30,391","36,039"
2020,4,0,"22,777","2,612",295,190,944,94,395,262,61,300,0.0,10.0,0,1.0,0.0,653,"1,885","1,218","2,062","2,734","4,662","4,399"
2020,4,10,"25,017","2,469",427,459,"1,418",164,537,369,103,310,0.0,15.0,0,4.0,0.0,840,"2,234","1,485","2,911","2,964","3,763","4,545"
2020,4,20,"29,211","3,066",882,799,"2,105","1,336",856,780,271,593,0.0,33.0,0,4.0,0.0,"1,939","2,151","2,062","2,429","2,467","3,083","4,355"
2020,4,30,"35,669","4,443",797,540,"1,716","1,855",913,663,144,488,0.0,27.0,0,5.0,0.0,"1,723","2,458","2,096","2,616","3,314","6,133","5,738"
2020,4,40,"40,697","3,952","1,032",750,"2,335",652,"1,258",798,224,497,0.0,52.0,0,5.0,0.0,"1,851","3,023","2,282","4,194","4,424","6,116","7,252"
2020,4,50,"36,879","3,557","1,436","1,240","3,106",819,"1,500","1,333",435,672,0.0,54.0,0,19.0,0.0,"2,378","2,583","2,385","3,449","3,303","3,473","5,137"
2020,4,60,"22,969","2,387","1,163","1,019","2,176",603,"1,028","1,189",384,628,0.0,49.0,0,16.0,0.0,"1,472","1,212","1,475","1,897","1,796","1,815","2,660"
2020,4,70,"12,436","1,510",639,591,"1,084",278,555,630,271,418,0.0,38.0,0,22.0,0.0,795,698,772,937,877,942,"1,379"
2020,4,80,"4,948",636,298,221,441,109,255,217,136,140,0.0,18.0,0,8.0,0.0,282,287,317,351,330,369,533
2020,4,90,481,78,33,26,44,7,26,30,11,15,0.0,1.0,0,2.0,0.0,21,27,29,30,27,34,40
2020,4,100,58,13,11,4,5,0,0,4,6,0,0.0,0.0,0,0.0,0.0,6,2,2,1,2,1,1
2020,5,총,"231,256","24,739","6,991","5,818","15,377","5,888","7,315","6,276","2,049","4,064",0.0,295.0,0,85.0,0.0,"11,933","16,539","14,125","20,862","22,239","30,532","36,129"
2020,5,0,"22,741","2,597",296,190,940,92,389,267,66,299,0.0,10.0,0,1.0,0.0,649,"1,871","1,222","2,067","2,733","4,680","4,372"
2020,5,10,"24,966","2,478",422,447,"1,411",165,534,370,101,308,0.0,14.0,0,4.0,0.0,831,"2,224","1,476","2,898","2,956","3,771","4,556"
