년도,월,나이,양산시,물금읍,동면,원동면,상북면,하북면,중앙동,양주동,삼성동,강서동,서창동,소주동,평산동,덕계동
2020,1,총,"176,291","58,768","17,928","1,771","6,745","4,544","5,958","16,600","11,766","4,652","15,060","10,083","15,284","7,132"
2020,1,0,"18,522","8,463","2,630",53,294,108,220,"1,473",769,411,"1,379",768,"1,363",591
2020,1,10,"17,618","6,193","1,346",55,468,297,347,"2,346","1,022",488,"1,734",920,"1,718",684
2020,1,20,"22,169","7,196","1,918",117,827,575,863,"2,468","1,887",569,"1,886","1,231","1,744",888
2020,1,30,"26,642","10,995","3,567",133,671,386,727,"1,777","1,822",638,"1,948","1,303","1,780",895
2020,1,40,"30,606","10,525","3,231",178,960,545,833,"2,980","1,903",874,"2,910","1,706","2,828","1,133"
2020,1,50,"29,378","8,098","2,384",359,"1,483","1,070","1,261","3,027","2,342",827,"2,604","1,992","2,572","1,359"
2020,1,60,"19,508","4,874","1,794",465,"1,247",987,"1,113","1,439","1,420",545,"1,653","1,300","1,737",934
2020,1,70,"8,890","1,885",854,303,590,413,457,800,462,234,728,621,"1,082",461
2020,1,80,"2,739",500,188,98,187,146,121,275,118,65,205,227,431,178
2020,1,90,211,38,16,10,15,17,15,15,19,1,13,15,28,9
2020,1,100,8,1,0,0,3,0,1,0,2,0,0,0,1,0
2020,2,총,"176,425","58,769","17,913","1,772","6,719","4,514","6,046","16,594","11,752","4,630","15,009","10,101","15,281","7,325"
2020,2,0,"18,446","8,441","2,610",52,289,102,234,"1,463",762,401,"1,360",764,"1,362",606
2020,2,10,"17,624","6,201","1,348",50,461,291,368,"2,335","1,014",499,"1,730",913,"1,720",694
2020,2,20,"22,116","7,192","1,905",117,825,564,857,"2,466","1,875",560,"1,860","1,221","1,754",920
2020,2,30,"26,484","10,870","3,537",135,666,380,740,"1,778","1,820",628,"1,935","1,305","1,757",933
2020,2,40,"30,703","10,586","3,264",179,941,543,841,"2,970","1,898",867,"2,896","1,727","2,823","1,168"
2020,2,50,"29,427","8,103","2,381",358,"1,488","1,068","1,275","3,032","2,342",830,"2,614","1,982","2,576","1,378"
2020,2,60,"19,673","4,930","1,805",465,"1,244",985,"1,127","1,455","1,439",543,"1,658","1,325","1,733",964
2020,2,70,"8,943","1,906",854,308,595,414,464,793,464,234,731,618,"1,089",473
2020,2,80,"2,785",502,192,97,191,149,125,287,116,67,212,230,438,179
2020,2,90,216,37,17,11,16,18,14,15,20,1,13,16,28,10
2020,2,100,8,1,0,0,3,0,1,0,2,0,0,0,1,0
2020,3,총,"176,468","58,827","17,955","1,761","6,716","4,492","6,075","16,573","11,718","4,612","14,993","10,083","15,224","7,439"
2020,3,0,"18,450","8,446","2,623",47,290,101,241,"1,447",758,401,"1,346",771,"1,358",621
2020,3,10,"17,574","6,213","1,363",50,454,279,369,"2,329","1,004",490,"1,713",903,"1,701",706
2020,3,20,"22,073","7,186","1,904",114,827,559,842,"2,472","1,865",555,"1,860","1,230","1,733",926
2020,3,30,"26,331","10,851","3,496",134,661,374,742,"1,765","1,800",627,"1,909","1,281","1,724",967
2020,3,40,"30,717","10,597","3,306",173,932,536,839,"2,951","1,904",860,"2,899","1,728","2,818","1,174"
2020,3,50,"29,441","8,111","2,378",360,"1,484","1,065","1,286","3,034","2,328",828,"2,620","1,961","2,587","1,399"
2020,3,60,"19,823","4,962","1,812",467,"1,254",992,"1,146","1,479","1,451",544,"1,668","1,338","1,738",972
2020,3,70,"9,001","1,916",857,306,599,418,466,790,469,239,745,622,"1,091",483
2020,3,80,"2,835",507,199,99,196,150,128,291,118,67,221,233,444,182
2020,3,90,214,37,17,11,16,18,15,14,19,1,12,16,29,9
