년도,월,나이,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020,1,총,"13,250,368","1,193,894","277,846","371,509","175,698","368,841","942,649","234,614","219,921","488,114","451,876","565,352","243,176","322,176","828,947","315,920","514,876","94,719","650,559","344,245","306,314","1,068,641","467,673","298,093","302,875","58,334","199,015","702,545","226,736","475,396","275,989","162,472","273,587","1,061,440","253,896","437,146","370,398","453,961","215,885","183,369","437,789","818,760","373,274","222,275","148,137","111,017","43,741","62,303","116,910"
2020,1,0,"1,180,483","103,729","19,942","34,496","10,341","38,950","71,758","15,976","14,150","41,632","35,089","42,436","16,629","25,807","61,547","25,494","48,327","6,879","46,175","23,793","22,382","84,767","38,922","21,818","24,027","4,530","16,218","67,209","25,098","46,857","22,392","13,230","29,609","105,068","22,151","45,547","37,370","45,061","19,870","14,815","51,846","105,610","36,137","19,748","9,218","7,681","2,913","3,582","7,590"
2020,1,10,"1,351,772","123,236","30,338","34,608","14,709","43,581","90,958","17,801","17,676","55,481","43,635","55,356","19,897","35,459","74,101","32,841","53,123","8,967","67,575","35,391","32,184","108,827","42,545","30,783","35,499","6,326","19,002","77,745","24,934","49,923","27,965","15,235","23,729","122,792","25,261","51,659","45,872","48,577","22,524","18,195","44,875","93,208","33,533","23,803","13,049","9,904","3,312","4,803","9,719"
2020,1,20,"1,771,845","186,375","44,254","55,109","28,172","58,840","132,345","33,885","31,573","66,887","62,493","80,888","35,340","45,548","119,505","40,872","69,169","11,196","105,142","56,682","48,460","149,772","62,359","44,526","42,887","8,033","27,463","82,959","30,575","66,247","38,280","22,919","32,477","132,617","33,268","53,920","45,429","55,235","28,889","21,505","47,539","97,224","43,908","26,238","17,843","12,064","5,444","6,182","10,447"
2020,1,30,"1,920,085","184,482","34,198","60,732","25,195","64,357","139,206","35,009","31,992","72,205","59,654","80,258","34,305","45,953","120,614","44,907","76,949","10,585","85,672","43,673","41,999","141,632","66,274","38,588","36,770","7,847","27,426","91,704","39,937","73,951","39,832","22,275","46,893","148,937","34,718","62,185","52,034","67,454","30,754","23,485","70,651","149,761","59,500","27,446","14,973","11,916","4,288","5,945","11,151"
2020,1,40,"2,294,108","206,165","47,262","61,810","28,254","68,839","160,335","37,270","34,393","88,672","74,524","91,667","36,302","55,365","132,845","54,981","90,548","14,870","111,005","58,493","52,512","185,649","78,583","52,775","54,291","9,194","33,505","129,102","42,187","86,826","45,729","25,194","47,500","200,806","43,359","84,864","72,583","79,166","34,930","29,968","80,818","156,100","64,822","38,617","21,379","16,192","5,079","8,048","16,357"
2020,1,50,"2,201,660","196,083","49,388","62,621","30,824","53,250","156,276","40,422","39,708","76,146","78,789","100,827","44,647","56,180","150,596","52,477","83,798","16,376","126,198","66,997","59,201","191,834","81,546","55,007","55,281","10,262","35,932","114,056","32,356","83,257","48,346","29,872","40,421","158,617","42,553","63,270","52,794","69,764","34,966","30,812","62,860","108,521","61,699","36,828","29,664","20,161","7,393","11,635","20,984"
2020,1,60,"1,410,184","111,269","28,714","36,813","21,211","24,531","107,115","30,871","29,161","47,083","52,511","67,148","32,501","34,647","102,941","37,314","49,994","12,431","64,375","33,907","30,468","110,048","51,850","29,758","28,440","6,509","22,731","76,916","18,108","40,752","30,536","19,957","31,921","99,383","28,782","38,768","31,833","45,367","23,787","23,169","44,154","62,479","43,938","26,305","22,464","17,131","7,124","11,245","21,062"
2020,1,70,"740,409","54,808","15,360","16,944","11,610","10,894","56,527","16,429","14,871","25,227","30,318","30,860","15,894","14,966","44,753","18,300","27,631","8,704","28,611","16,232","12,379","60,493","29,614","15,223","15,656","3,478","11,461","43,040","9,336","18,151","14,590","8,926","14,782","63,594","15,545","25,369","22,680","28,083","12,800","13,227","23,995","30,290","20,868","15,704","12,412","10,082","5,081","6,825","12,679"
2020,1,80,"327,622","23,793","7,164","7,199","4,610","4,820","23,720","5,883","5,379","12,458","12,939","13,756","6,675","7,081","18,892","7,512","13,264","4,067","13,730","7,875","5,855","30,944","13,866","8,297","8,781","1,745","4,582","17,178","3,713","8,178","7,135","4,114","5,220","25,571","7,121","9,958","8,492","13,160","6,403","7,210","9,618","13,604","7,642","6,591","6,141","5,089","2,670","3,493","5,948"
