년도,월,나이,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020,3,총,"164,602","11,938","29,358","38,381","21,283","27,935","35,707"
2020,3,0,"13,544",814,"2,280","3,015","1,622","2,553","3,260"
2020,3,10,"15,160",985,"2,537","4,036","2,153","2,332","3,117"
2020,3,20,"23,184","1,504","4,128","5,098","3,314","4,165","4,975"
2020,3,30,"22,849","1,588","4,278","5,042","2,537","4,142","5,262"
2020,3,40,"25,375","1,701","4,400","6,192","3,281","4,187","5,614"
2020,3,50,"30,033","2,063","5,098","6,843","4,279","5,149","6,601"
2020,3,60,"20,520","1,922","3,504","5,075","2,466","3,286","4,267"
2020,3,70,"9,015",911,"1,987","2,110",993,"1,320","1,694"
2020,3,80,"4,155",372,989,813,538,678,765
2020,3,90,718,74,145,152,88,117,142
2020,3,100,49,4,12,5,12,6,10
2020,4,총,"164,701","11,977","29,501","38,376","21,312","27,303","36,232"
2020,4,0,"13,545",807,"2,277","3,015","1,604","2,549","3,293"
2020,4,10,"15,092",977,"2,532","4,011","2,135","2,296","3,141"
2020,4,20,"23,268","1,520","4,171","5,115","3,351","4,047","5,064"
2020,4,30,"22,905","1,603","4,298","5,023","2,517","4,069","5,395"
2020,4,40,"25,318","1,702","4,429","6,181","3,274","4,095","5,637"
2020,4,50,"29,980","2,065","5,098","6,832","4,297","4,985","6,703"
2020,4,60,"20,637","1,946","3,548","5,098","2,489","3,209","4,347"
2020,4,70,"9,012",906,"1,989","2,122","1,003","1,275","1,717"
2020,4,80,"4,181",373,"1,001",826,540,661,780
2020,4,90,711,74,146,147,88,111,145
2020,4,100,52,4,12,6,14,6,10
2020,5,총,"164,150","11,999","29,572","38,352","21,402","26,248","36,577"
2020,5,0,"13,493",801,"2,263","2,991","1,610","2,510","3,318"
2020,5,10,"15,012",975,"2,516","4,009","2,115","2,237","3,160"
2020,5,20,"23,119","1,519","4,190","5,101","3,356","3,845","5,108"
2020,5,30,"22,856","1,604","4,288","5,011","2,546","3,941","5,466"
2020,5,40,"25,158","1,700","4,437","6,128","3,277","3,963","5,653"
2020,5,50,"29,887","2,062","5,125","6,846","4,293","4,777","6,784"
2020,5,60,"20,671","1,979","3,590","5,143","2,532","3,026","4,401"
2020,5,70,"9,028",915,"1,995","2,137","1,023","1,219","1,739"
2020,5,80,"4,174",366,"1,014",834,549,624,787
2020,5,90,700,73,142,146,86,102,151
2020,5,100,52,5,12,6,15,4,10
2020,6,총,"163,622","12,032","29,616","38,345","21,426","25,406","36,797"
2020,6,0,"13,449",797,"2,261","2,968","1,599","2,485","3,339"
2020,6,10,"14,959",987,"2,505","4,009","2,099","2,197","3,162"
2020,6,20,"23,046","1,515","4,185","5,106","3,382","3,692","5,166"
2020,6,30,"22,750","1,610","4,316","4,978","2,525","3,831","5,490"
2020,6,40,"25,058","1,703","4,432","6,113","3,272","3,862","5,676"
2020,6,50,"29,742","2,064","5,117","6,838","4,299","4,606","6,818"
2020,6,60,"20,716","1,986","3,637","5,208","2,561","2,869","4,455"
2020,6,70,"9,004",921,"1,996","2,135","1,039","1,166","1,747"
2020,6,80,"4,154",371,"1,017",838,551,595,782
2020,6,90,691,73,137,146,85,98,152
2020,6,100,53,5,13,6,14,5,10
2020,7,총,"163,049","12,027","29,638","38,298","21,411","24,752","36,923"
2020,7,0,"13,368",791,"2,249","2,943","1,598","2,443","3,344"
2020,7,10,"14,899",993,"2,497","3,988","2,098","2,162","3,161"
2020,7,20,"22,962","1,502","4,200","5,110","3,376","3,579","5,195"
2020,7,30,"22,575","1,611","4,292","4,939","2,508","3,745","5,480"
2020,7,40,"24,926","1,696","4,430","6,099","3,272","3,752","5,677"
2020,7,50,"29,638","2,058","5,135","6,833","4,276","4,484","6,852"
2020,7,60,"20,761","1,997","3,656","5,240","2,576","2,798","4,494"
2020,7,70,"9,034",927,"2,009","2,155","1,053","1,117","1,773"
2020,7,80,"4,136",371,"1,018",836,556,570,785
2020,7,90,698,77,139,149,84,97,152
2020,7,100,52,4,13,6,14,5,10
2020,8,총,"162,751","12,209","29,658","38,243","21,406","24,237","36,998"
2020,8,0,"13,334",802,"2,247","2,919","1,598","2,427","3,341"
2020,8,10,"14,802",983,"2,491","3,958","2,076","2,135","3,159"
2020,8,20,"22,945","1,599","4,193","5,105","3,391","3,474","5,183"
2020,8,30,"22,485","1,647","4,260","4,924","2,503","3,687","5,464"
2020,8,40,"24,810","1,712","4,420","6,078","3,252","3,680","5,668"
2020,8,50,"29,585","2,055","5,154","6,845","4,293","4,358","6,880"
2020,8,60,"20,882","2,020","3,709","5,264","2,583","2,741","4,565"
2020,8,70,"9,018",932,"2,011","2,152","1,055","1,085","1,783"
2020,8,80,"4,130",375,"1,019",841,555,550,790
2020,8,90,708,80,142,150,86,95,155
2020,8,100,52,4,12,7,14,5,10
2020,9,총,"163,720","13,926","29,547","38,025","21,361","23,849","37,012"
2020,9,0,"13,321",874,"2,231","2,892","1,580","2,415","3,329"
2020,9,10,"14,826",993,"2,490","3,939","2,085","2,145","3,174"
2020,9,20,"23,375","2,281","4,154","5,046","3,378","3,366","5,150"
2020,9,30,"22,867","2,315","4,198","4,816","2,468","3,644","5,426"
