년도,월,나이,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020,1,총,"55,192","15,177","2,389","2,706","1,719","17,911","2,531","2,519","1,563","2,798","3,297","1,194","1,388"
2020,1,0,"4,638",862,81,68,54,"3,146",157,60,22,56,66,24,42
2020,1,10,"4,342","1,310",113,86,62,"2,128",108,95,48,89,153,67,83
2020,1,20,"4,151","1,388",109,159,69,"1,592",196,129,64,106,219,48,72
2020,1,30,"5,631","1,247",104,124,85,"3,279",230,127,54,135,139,44,63
2020,1,40,"6,977","1,976",183,174,129,"3,261",238,203,115,219,270,96,113
2020,1,50,"8,151","2,596",379,441,264,"2,028",325,397,236,453,540,259,233
2020,1,60,"8,956","2,795",497,669,401,"1,217",451,579,379,656,705,309,298
2020,1,70,"6,910","1,817",497,504,345,749,429,516,357,590,653,182,271
2020,1,80,"4,777","1,013",383,424,286,448,345,366,259,436,493,142,182
2020,1,90,624,167,39,52,24,61,50,43,28,54,56,22,28
2020,1,100,35,6,4,5,0,2,2,4,1,4,3,1,3
2020,2,총,"55,401","15,143","2,384","2,702","1,718","18,210","2,542","2,505","1,556","2,783","3,276","1,197","1,385"
2020,2,0,"4,668",852,82,67,54,"3,190",156,61,19,57,62,26,42
2020,2,10,"4,368","1,299",112,88,58,"2,177",110,93,48,86,147,68,82
2020,2,20,"4,147","1,376",105,155,69,"1,616",205,124,60,103,216,46,72
2020,2,30,"5,656","1,243",102,122,84,"3,329",229,123,49,128,140,44,63
2020,2,40,"7,034","1,968",189,177,129,"3,328",238,201,114,217,265,95,113
2020,2,50,"8,172","2,595",371,439,267,"2,060",326,396,238,451,535,262,232
2020,2,60,"8,971","2,785",496,673,400,"1,244",449,574,381,656,707,311,295
2020,2,70,"6,925","1,832",499,500,347,752,427,522,353,587,654,180,272
2020,2,80,"4,801","1,021",384,426,286,450,349,363,266,438,492,143,183
2020,2,90,623,166,41,50,24,61,51,44,27,55,55,21,28
2020,2,100,36,6,3,5,0,3,2,4,1,5,3,1,3
2020,3,총,"55,452","15,114","2,388","2,697","1,711","18,337","2,540","2,506","1,559","2,783","3,240","1,194","1,383"
2020,3,0,"4,676",844,83,66,52,"3,212",151,59,22,57,62,26,42
2020,3,10,"4,385","1,296",113,87,61,"2,201",108,93,48,88,142,66,82
2020,3,20,"4,125","1,369",104,154,63,"1,621",211,122,58,98,208,48,69
2020,3,30,"5,648","1,229",95,120,83,"3,357",222,123,50,130,132,43,64
2020,3,40,"7,044","1,967",194,175,130,"3,349",241,203,112,210,258,92,113
2020,3,50,"8,124","2,566",374,433,264,"2,068",328,396,234,445,525,261,230
2020,3,60,"9,027","2,809",490,675,402,"1,263",448,571,385,669,706,313,296
2020,3,70,"6,921","1,831",493,506,340,755,426,526,353,586,655,182,268
2020,3,80,"4,834","1,028",395,424,292,447,351,366,270,440,493,140,188
2020,3,90,633,169,43,52,24,62,52,43,26,55,57,22,28
2020,3,100,35,6,4,5,0,2,2,4,1,5,2,1,3
2020,4,총,"55,572","15,100","2,376","2,689","1,704","18,551","2,534","2,491","1,552","2,783","3,234","1,179","1,379"
2020,4,0,"4,677",835,77,65,51,"3,230",153,59,22,58,60,25,42
2020,4,10,"4,406","1,296",118,85,60,"2,236",106,91,46,82,142,63,81
2020,4,20,"4,116","1,362",106,152,61,"1,639",208,119,56,97,205,44,67
2020,4,30,"5,670","1,220",92,121,81,"3,407",221,120,48,127,128,42,63
2020,4,40,"7,083","1,972",187,168,127,"3,403",242,203,112,211,257,88,113
2020,4,50,"8,113","2,563",368,427,263,"2,093",324,389,228,449,523,255,231
2020,4,60,"9,071","2,816",496,673,402,"1,278",447,571,389,670,712,320,297
2020,4,70,"6,901","1,832",490,511,337,745,426,530,352,585,649,176,268
2020,4,80,"4,866","1,029",395,432,297,457,354,360,270,446,497,143,186
2020,4,90,634,169,43,50,25,61,51,45,28,53,59,22,28
2020,4,100,35,6,4,5,0,2,2,4,1,5,2,1,3
2020,5,총,"55,616","15,063","2,375","2,690","1,701","18,644","2,554","2,485","1,547","2,781","3,226","1,177","1,373"
2020,5,0,"4,660",820,82,65,51,"3,223",154,59,23,57,59,25,42
2020,5,10,"4,412","1,285",117,83,59,"2,256",108,92,46,85,140,63,78
2020,5,20,"4,127","1,364",105,154,59,"1,638",220,120,54,96,206,44,67
2020,5,30,"5,640","1,201",91,120,82,"3,403",222,118,48,125,126,44,60
2020,5,40,"7,094","1,968",184,168,124,"3,429",241,203,109,210,255,90,113
2020,5,50,"8,119","2,558",367,429,265,"2,121",334,383,226,441,519,250,226
2020,5,60,"9,092","2,817",496,669,401,"1,303",443,566,386,678,713,322,298
2020,5,70,"6,912","1,846",493,513,337,740,426,533,350,582,649,175,268
