년도,월,나이,동구,충장동,동명동,계림1동,계림2동,산수1동,산수2동,지산1동,지산2동,서남동,학동,학운동,지원1동,지원2동
2020,1,총,"48,775","2,317","1,894","3,257","4,055","4,391","5,217","2,255","2,471","1,611","4,107","5,794","4,010","7,396"
2020,1,0,"3,425",41,65,91,404,293,319,142,136,45,419,336,301,833
2020,1,10,"3,868",67,120,154,411,358,461,186,239,66,296,538,362,610
2020,1,20,"7,133",370,329,414,553,610,755,424,490,366,566,785,532,939
2020,1,30,"6,526",338,218,400,488,604,590,267,232,221,637,603,557,"1,371"
2020,1,40,"7,138",326,275,495,621,710,719,331,366,213,609,766,582,"1,125"
2020,1,50,"7,583",401,262,659,582,733,862,329,378,243,646,863,630,995
2020,1,60,"6,620",421,283,567,460,543,753,275,286,230,472,891,563,876
2020,1,70,"4,483",263,212,332,367,379,521,204,227,147,335,657,370,469
2020,1,80,"1,825",82,120,134,154,148,220,90,106,73,117,321,102,158
2020,1,90,164,8,10,11,14,12,17,4,11,6,8,33,11,19
2020,1,100,10,0,0,0,1,1,0,3,0,1,2,1,0,1
2020,2,총,"48,775","2,326","1,886","3,252","4,051","4,399","5,211","2,233","2,466","1,597","4,088","5,817","3,983","7,466"
2020,2,0,"3,430",37,65,93,412,287,319,144,133,45,419,334,296,846
2020,2,10,"3,831",70,114,156,412,363,456,180,236,66,288,539,350,601
2020,2,20,"7,144",378,327,419,542,610,747,418,500,364,576,787,518,958
2020,2,30,"6,503",345,218,394,489,606,590,258,224,216,623,606,558,"1,376"
2020,2,40,"7,154",323,272,496,618,713,723,328,365,213,608,767,580,"1,148"
2020,2,50,"7,587",402,266,657,582,734,863,332,375,240,637,866,627,"1,006"
2020,2,60,"6,631",420,283,565,459,548,754,275,287,226,473,900,567,874
2020,2,70,"4,474",261,209,328,365,375,519,199,228,149,339,658,370,474
2020,2,80,"1,839",81,122,133,155,150,222,91,106,71,116,322,106,164
2020,2,90,172,9,10,11,16,12,18,5,12,6,7,37,11,18
2020,2,100,10,0,0,0,1,1,0,3,0,1,2,1,0,1
