년도,월,나이,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020,1,총,"196,803","12,806","9,854","4,938","17,538","11,066","13,047","12,380","9,568","10,201","13,658","17,397","9,697","15,554","8,840","19,871","10,388"
2020,1,0,"12,631",723,631,247,939,668,640,"1,047",435,730,623,"1,368",621,813,471,"1,907",768
2020,1,10,"14,506",874,721,346,"1,076",695,858,"1,120",461,741,712,"1,629",682,"1,014",607,"2,009",961
2020,1,20,"28,122","1,764","1,318",690,"2,709","1,564","1,980","1,858","1,655","1,519","1,907","2,377","1,347","2,217","1,223","2,614","1,380"
2020,1,30,"30,695","1,904","1,515",764,"2,989","1,720","2,007","1,889","2,057","1,730","2,096","2,621","1,721","2,205","1,235","2,706","1,536"
2020,1,40,"30,516","2,081","1,661",787,"2,719","1,724","1,978","1,806","1,392","1,506","2,004","2,984","1,495","2,339","1,300","3,115","1,625"
2020,1,50,"34,985","2,582","1,699",948,"3,237","1,898","2,342","2,205","1,573","1,682","2,816","2,727","1,589","2,980","1,779","3,202","1,726"
2020,1,60,"26,864","1,705","1,327",685,"2,260","1,662","1,871","1,507","1,134","1,415","2,084","2,087","1,347","2,427","1,324","2,566","1,463"
2020,1,70,"13,866",874,778,353,"1,232",877,"1,035",705,655,648,"1,040","1,192",683,"1,167",675,"1,282",670
2020,1,80,"4,223",271,179,113,347,239,302,226,187,216,337,383,193,354,208,430,238
2020,1,90,353,27,24,5,23,17,31,17,17,13,34,23,15,34,15,38,20
2020,1,100,42,1,1,0,7,2,3,0,2,1,5,6,4,4,3,2,1
2020,2,총,"196,483","12,774","9,804","4,905","17,529","11,161","13,009","12,344","9,584","10,163","13,627","17,367","9,672","15,521","8,830","19,826","10,367"
2020,2,0,"12,498",719,619,245,924,682,631,"1,039",427,706,619,"1,368",608,800,469,"1,890",752
2020,2,10,"14,387",865,709,340,"1,068",697,851,"1,105",457,732,700,"1,623",679,"1,004",607,"1,999",951
2020,2,20,"28,038","1,755","1,321",684,"2,709","1,566","1,964","1,844","1,655","1,510","1,915","2,369","1,335","2,205","1,223","2,598","1,385"
2020,2,30,"30,604","1,900","1,489",758,"2,969","1,759","1,999","1,877","2,080","1,721","2,095","2,614","1,702","2,201","1,230","2,691","1,519"
2020,2,40,"30,476","2,071","1,663",785,"2,725","1,718","1,983","1,803","1,380","1,511","1,998","2,978","1,499","2,338","1,291","3,104","1,629"
2020,2,50,"34,913","2,568","1,683",938,"3,239","1,915","2,333","2,207","1,573","1,673","2,791","2,717","1,595","2,969","1,780","3,207","1,725"
2020,2,60,"26,988","1,720","1,331",687,"2,268","1,678","1,872","1,513","1,147","1,422","2,098","2,093","1,353","2,432","1,333","2,574","1,467"
2020,2,70,"13,914",875,782,349,"1,242",880,"1,037",708,661,652,"1,035","1,189",683,"1,175",674,"1,293",679
2020,2,80,"4,270",273,182,114,355,247,305,231,185,221,337,386,200,360,206,430,238
2020,2,90,352,27,24,4,23,17,31,17,17,14,34,24,14,33,14,38,21
2020,2,100,43,1,1,1,7,2,3,0,2,1,5,6,4,4,3,2,1
2020,3,총,"196,076","12,740","9,766","4,877","17,504","11,216","12,981","12,303","9,621","10,145","13,545","17,390","9,634","15,460","8,788","19,787","10,319"
2020,3,0,"12,402",708,611,244,928,684,621,"1,032",419,711,606,"1,360",611,795,461,"1,867",744
2020,3,10,"14,271",847,702,337,"1,053",692,840,"1,095",465,716,690,"1,624",668,991,601,"2,005",945
2020,3,20,"28,009","1,748","1,315",675,"2,700","1,591","1,957","1,829","1,682","1,506","1,909","2,389","1,332","2,206","1,214","2,581","1,375"
2020,3,30,"30,440","1,894","1,478",758,"2,935","1,782","1,992","1,878","2,074","1,714","2,079","2,594","1,692","2,178","1,219","2,677","1,496"
2020,3,40,"30,332","2,059","1,657",784,"2,722","1,720","1,959","1,782","1,387","1,512","1,981","2,975","1,483","2,313","1,279","3,100","1,619"
2020,3,50,"34,791","2,571","1,680",923,"3,236","1,915","2,345","2,202","1,574","1,658","2,769","2,715","1,586","2,936","1,767","3,194","1,720"
2020,3,60,"27,128","1,727","1,328",687,"2,295","1,682","1,882","1,526","1,158","1,428","2,094","2,113","1,354","2,456","1,342","2,590","1,466"
2020,3,70,"13,991",885,790,352,"1,245",883,"1,034",707,655,665,"1,040","1,194",689,"1,184",682,"1,301",685
2020,3,80,"4,318",273,180,113,360,247,317,237,187,221,338,396,200,364,206,433,246
2020,3,90,350,27,24,3,23,18,31,15,18,13,33,24,15,33,14,37,22
2020,3,100,44,1,1,1,7,2,3,0,2,1,6,6,4,4,3,2,1
2020,4,총,"195,784","12,701","9,702","4,854","17,531","11,234","12,955","12,322","9,604","10,117","13,513","17,385","9,615","15,421","8,786","19,763","10,281"
2020,4,0,"12,309",704,600,241,924,679,615,"1,030",418,710,603,"1,341",612,780,460,"1,860",732
2020,4,10,"14,193",845,688,335,"1,047",685,837,"1,087",463,706,689,"1,632",664,987,596,"2,001",931
2020,4,20,"27,975","1,735","1,311",682,"2,710","1,599","1,953","1,834","1,670","1,489","1,917","2,390","1,328","2,208","1,208","2,574","1,367"
2020,4,30,"30,305","1,885","1,457",751,"2,932","1,773","1,978","1,890","2,066","1,712","2,050","2,593","1,679","2,156","1,222","2,667","1,494"
2020,4,40,"30,252","2,053","1,644",775,"2,720","1,720","1,955","1,766","1,391","1,519","1,979","2,955","1,479","2,288","1,282","3,110","1,616"
2020,4,50,"34,759","2,562","1,681",923,"3,246","1,933","2,341","2,213","1,582","1,636","2,761","2,721","1,579","2,932","1,767","3,171","1,711"
2020,4,60,"27,211","1,720","1,326",685,"2,299","1,680","1,884","1,548","1,160","1,432","2,097","2,129","1,357","2,471","1,346","2,607","1,470"
2020,4,70,"14,047",894,786,347,"1,261",893,"1,041",702,648,673,"1,044","1,193",695,"1,196",683,"1,302",689
2020,4,80,"4,331",274,182,111,362,252,318,236,187,226,333,400,202,364,205,430,249
2020,4,90,357,28,26,3,23,18,30,16,17,13,34,24,16,35,14,39,21
2020,4,100,45,1,1,1,7,2,3,0,2,1,6,7,4,4,3,2,1
2020,5,총,"195,693","12,680","9,676","4,852","17,528","11,255","12,966","12,319","9,619","10,073","13,498","17,391","9,611","15,391","8,777","19,772","10,285"
2020,5,0,"12,289",708,606,241,923,676,619,"1,026",423,710,603,"1,334",598,777,454,"1,850",741
2020,5,10,"14,135",836,681,336,"1,036",686,843,"1,081",458,699,683,"1,633",656,981,597,"2,007",922
2020,5,20,"27,989","1,730","1,307",681,"2,718","1,597","1,953","1,831","1,673","1,476","1,910","2,392","1,345","2,208","1,212","2,590","1,366"
2020,5,30,"30,269","1,870","1,452",757,"2,924","1,780","1,979","1,892","2,081","1,704","2,056","2,583","1,670","2,143","1,227","2,666","1,485"
2020,5,40,"30,134","2,047","1,626",764,"2,701","1,722","1,957","1,769","1,377","1,504","1,975","2,970","1,473","2,271","1,265","3,097","1,616"
2020,5,50,"34,739","2,568","1,671",929,"3,263","1,924","2,325","2,206","1,587","1,630","2,755","2,713","1,577","2,938","1,770","3,175","1,708"
2020,5,60,"27,292","1,717","1,335",682,"2,307","1,692","1,885","1,554","1,159","1,435","2,105","2,144","1,370","2,458","1,349","2,612","1,488"
2020,5,70,"14,084",899,789,348,"1,259",907,"1,050",704,652,675,"1,029","1,190",696,"1,209",684,"1,305",688
2020,5,80,"4,354",274,183,110,367,251,322,240,190,226,339,401,206,365,203,429,248
2020,5,90,363,30,25,3,23,18,30,16,17,13,37,24,16,37,13,39,22
