년도,월,나이,대전광역시,동구,중구,서구,유성구,대덕구
2020,1,총,"736,259","114,174","118,757","236,839","176,617","89,872"
2020,1,0,"62,226","8,325","8,446","20,641","18,839","5,975"
2020,1,10,"79,118","10,731","11,987","26,787","20,369","9,244"
2020,1,20,"111,910","16,362","16,236","37,630","27,881","13,801"
2020,1,30,"103,379","14,534","14,267","34,408","29,301","10,869"
2020,1,40,"121,041","18,330","19,425","38,833","29,961","14,492"
2020,1,50,"121,251","19,289","20,308","37,944","26,593","17,117"
2020,1,60,"82,394","15,074","15,393","25,075","15,560","11,292"
2020,1,70,"39,775","8,367","9,055","11,300","5,878","5,175"
2020,1,80,"13,834","2,874","3,342","3,839","2,000","1,779"
2020,1,90,"1,250",263,279,364,223,121
2020,1,100,81,25,19,18,12,7
2020,2,총,"735,791","113,883","118,636","236,972","176,706","89,594"
2020,2,0,"61,932","8,251","8,395","20,616","18,753","5,917"
2020,2,10,"78,689","10,703","11,896","26,687","20,273","9,130"
2020,2,20,"111,597","16,287","16,185","37,525","27,899","13,701"
2020,2,30,"103,296","14,457","14,256","34,444","29,307","10,832"
2020,2,40,"120,944","18,262","19,367","38,937","29,965","14,413"
2020,2,50,"121,171","19,208","20,345","37,880","26,632","17,106"
2020,2,60,"82,946","15,144","15,461","25,263","15,710","11,368"
2020,2,70,"39,928","8,391","9,069","11,356","5,917","5,195"
2020,2,80,"13,951","2,890","3,364","3,879","2,015","1,803"
2020,2,90,"1,257",264,280,368,223,122
2020,2,100,80,26,18,17,12,7
2020,3,총,"735,179","113,690","118,361","236,924","176,785","89,419"
2020,3,0,"61,669","8,208","8,346","20,576","18,672","5,867"
2020,3,10,"78,321","10,669","11,806","26,563","20,214","9,069"
2020,3,20,"111,676","16,279","16,169","37,642","27,943","13,643"
2020,3,30,"103,050","14,382","14,149","34,429","29,293","10,797"
2020,3,40,"120,473","18,183","19,277","38,752","29,948","14,313"
2020,3,50,"120,926","19,094","20,278","37,775","26,655","17,124"
2020,3,60,"83,465","15,255","15,528","25,425","15,822","11,435"
2020,3,70,"40,192","8,420","9,113","11,464","5,972","5,223"
2020,3,80,"14,046","2,912","3,386","3,902","2,029","1,817"
2020,3,90,"1,281",263,291,379,224,124
2020,3,100,80,25,18,17,13,7
2020,4,총,"734,902","113,487","118,212","237,012","176,924","89,267"
2020,4,0,"61,364","8,163","8,263","20,516","18,597","5,825"
2020,4,10,"78,043","10,641","11,760","26,463","20,176","9,003"
2020,4,20,"111,701","16,208","16,155","37,671","28,028","13,639"
2020,4,30,"102,958","14,363","14,074","34,445","29,317","10,759"
2020,4,40,"120,240","18,087","19,258","38,732","29,924","14,239"
2020,4,50,"120,866","19,061","20,249","37,773","26,681","17,102"
2020,4,60,"83,844","15,303","15,583","25,532","15,931","11,495"
2020,4,70,"40,393","8,437","9,154","11,561","5,998","5,243"
2020,4,80,"14,118","2,928","3,402","3,925","2,037","1,826"
2020,4,90,"1,296",271,296,378,222,129
2020,4,100,79,25,18,16,13,7
2020,5,총,"734,940","113,288","117,992","237,046","177,460","89,154"
2020,5,0,"61,153","8,101","8,230","20,442","18,596","5,784"
2020,5,10,"77,688","10,571","11,691","26,367","20,115","8,944"
2020,5,20,"111,810","16,192","16,095","37,746","28,165","13,612"
2020,5,30,"102,975","14,295","14,019","34,426","29,489","10,746"
2020,5,40,"120,001","18,076","19,176","38,645","29,941","14,163"
2020,5,50,"121,014","19,035","20,268","37,818","26,793","17,100"
