년도,월,나이,영덕군,영덕읍,강구면,남정면,달산면,지품면,지품면원전출장소,축산면,축산면축산출장소,영해면,병곡면,창수면
2020,1,총,"17,704","5,433","3,048","1,166",526,748,259,451,854,"3,059","1,320",840
2020,1,0,922,432,129,33,11,22,4,19,31,181,45,15
2020,1,10,"1,154",483,182,37,22,21,9,19,41,246,64,30
2020,1,20,"1,531",575,284,91,30,50,10,32,55,288,78,38
2020,1,30,"1,391",562,234,67,29,36,9,21,51,256,86,40
2020,1,40,"2,322",845,422,127,41,79,29,55,109,398,140,77
2020,1,50,"3,356","1,000",604,228,106,166,50,83,169,562,243,145
2020,1,60,"3,383",798,628,289,137,170,61,89,195,537,282,197
2020,1,70,"2,405",503,399,185,92,131,58,83,145,393,230,186
2020,1,80,"1,133",207,157,98,53,63,28,43,50,188,141,105
2020,1,90,100,25,8,11,5,10,1,6,8,10,11,5
2020,1,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,2,총,"17,635","5,406","3,041","1,158",522,748,257,451,851,"3,041","1,326",834
2020,2,0,899,417,126,32,11,22,4,19,31,178,44,15
2020,2,10,"1,144",483,180,38,21,20,9,19,40,244,64,26
2020,2,20,"1,509",567,284,88,28,49,10,30,56,281,78,38
2020,2,30,"1,381",554,233,67,29,36,9,23,50,258,83,39
2020,2,40,"2,302",840,413,126,40,77,29,55,108,393,144,77
2020,2,50,"3,348","1,000",606,227,105,167,48,84,164,560,243,144
2020,2,60,"3,404",805,626,287,139,172,61,88,198,541,289,198
2020,2,70,"2,397",496,407,184,91,132,58,84,145,386,228,186
2020,2,80,"1,147",217,157,98,53,63,28,42,52,191,142,104
2020,2,90,97,24,8,11,5,10,1,6,7,9,11,5
2020,2,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,3,총,"17,569","5,397","3,022","1,161",518,738,256,454,847,"3,017","1,328",831
2020,3,0,893,415,127,33,11,21,4,20,30,173,44,15
2020,3,10,"1,122",476,175,40,21,20,9,20,41,233,64,23
2020,3,20,"1,514",576,279,87,28,48,10,31,54,285,78,38
2020,3,30,"1,365",554,229,66,29,35,8,24,48,251,83,38
2020,3,40,"2,275",830,413,125,38,74,29,54,107,387,142,76
2020,3,50,"3,334","1,005",595,231,103,164,45,85,164,558,242,142
2020,3,60,"3,406",806,631,286,139,172,63,84,196,535,290,204
2020,3,70,"2,397",493,404,181,90,132,58,87,148,392,230,182
2020,3,80,"1,164",218,161,101,54,62,29,42,52,194,145,106
2020,3,90,92,21,7,11,5,10,1,6,7,9,10,5
2020,3,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,4,총,"17,498","5,386","3,007","1,158",510,729,253,452,838,"3,012","1,323",830
2020,4,0,880,414,129,31,9,20,3,20,25,170,45,14
2020,4,10,"1,115",468,173,41,21,20,9,20,41,235,63,24
2020,4,20,"1,493",567,273,85,29,46,10,29,53,287,77,37
2020,4,30,"1,341",549,224,65,27,30,8,21,47,249,84,37
2020,4,40,"2,254",831,408,129,35,75,28,56,104,371,142,75
2020,4,50,"3,329","1,008",591,228,105,160,44,86,162,562,239,144
2020,4,60,"3,422",813,636,287,137,174,63,84,196,542,288,202
2020,4,70,"2,397",493,405,180,89,130,58,86,151,393,229,183
2020,4,80,"1,164",218,160,100,53,64,29,44,52,192,145,107
2020,4,90,96,22,7,12,5,10,1,5,7,11,11,5
2020,4,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,5,총,"17,457","5,372","2,997","1,159",509,726,256,450,839,"3,009","1,312",828
2020,5,0,873,409,128,29,10,20,3,19,26,170,45,14
2020,5,10,"1,106",470,166,41,21,20,9,20,40,234,61,24
2020,5,20,"1,483",567,269,85,29,46,10,29,54,283,76,35
2020,5,30,"1,320",540,223,64,29,29,8,21,46,245,80,35
2020,5,40,"2,253",837,410,128,34,71,27,55,105,370,138,78
2020,5,50,"3,320","1,001",591,230,102,160,44,86,162,563,241,140
2020,5,60,"3,441",816,634,288,139,177,66,85,196,545,289,206
2020,5,70,"2,392",491,409,180,89,130,58,85,149,395,229,177
2020,5,80,"1,168",217,160,102,51,64,30,44,54,192,142,112
2020,5,90,94,21,6,12,5,9,1,5,7,12,11,5
2020,5,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,6,총,"17,423","5,347","2,985","1,162",509,732,254,452,837,"3,006","1,306",833
2020,6,0,873,407,132,28,9,23,3,19,26,168,44,14
2020,6,10,"1,094",466,164,41,22,19,9,20,41,232,56,24
2020,6,20,"1,474",564,264,85,28,47,10,29,53,281,77,36
2020,6,30,"1,311",536,223,61,30,30,8,20,45,246,77,35
2020,6,40,"2,256",834,408,131,34,72,26,57,106,372,139,77
2020,6,50,"3,298",987,585,233,102,159,45,84,160,561,243,139
2020,6,60,"3,456",821,633,285,139,180,65,87,196,549,289,212
2020,6,70,"2,391",494,408,183,91,128,57,87,149,390,228,176
2020,6,80,"1,169",214,162,103,49,65,30,43,54,195,142,112
2020,6,90,94,21,5,12,5,9,1,5,7,12,11,6
2020,6,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,7,총,"17,387","5,339","2,984","1,162",509,732,253,448,832,"2,993","1,304",831
2020,7,0,868,409,129,30,10,22,3,18,26,164,44,13
2020,7,10,"1,095",465,164,41,22,19,9,20,42,233,56,24
2020,7,20,"1,451",552,262,85,30,48,10,29,49,279,73,34
2020,7,30,"1,301",530,221,62,30,28,8,19,45,244,77,37
2020,7,40,"2,255",832,408,131,35,74,25,55,105,373,142,75
2020,7,50,"3,293",992,588,229,98,157,45,86,159,558,242,139
2020,7,60,"3,471",825,635,286,141,183,66,87,198,548,290,212
2020,7,70,"2,383",492,410,184,90,127,56,86,147,388,227,176
2020,7,80,"1,170",218,161,103,48,65,30,42,54,194,142,113
2020,7,90,93,21,5,11,5,9,1,5,7,12,11,6
2020,7,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,8,총,"17,334","5,322","2,975","1,160",506,735,252,449,827,"2,979","1,299",830
2020,8,0,859,404,127,29,10,21,3,20,25,164,43,13
2020,8,10,"1,093",464,166,40,22,21,9,20,43,229,56,23
2020,8,20,"1,439",554,259,82,29,48,10,29,46,276,72,34
2020,8,30,"1,288",520,217,66,29,29,8,18,47,242,75,37
2020,8,40,"2,225",822,405,128,35,75,24,52,102,366,142,74
2020,8,50,"3,290",991,586,229,98,155,43,86,159,562,241,140
2020,8,60,"3,491",833,641,288,140,184,68,90,196,548,291,212
2020,8,70,"2,375",492,407,184,90,127,56,85,147,384,226,177
2020,8,80,"1,173",218,161,103,48,66,30,43,55,196,142,111
2020,8,90,94,21,5,11,5,9,1,5,7,12,11,7
2020,8,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,9,총,"17,335","5,339","2,966","1,156",505,734,252,449,824,"2,976","1,305",829
2020,9,0,859,403,128,28,10,21,3,20,26,166,43,11
2020,9,10,"1,103",476,164,40,22,21,9,19,42,230,56,24
2020,9,20,"1,435",552,260,83,29,47,10,29,49,275,70,31
2020,9,30,"1,271",515,214,63,28,30,8,17,46,235,76,39
2020,9,40,"2,216",821,401,123,34,74,24,53,99,372,142,73
2020,9,50,"3,298","1,001",584,233,99,155,43,86,157,555,243,142
2020,9,60,"3,503",838,639,287,140,184,67,90,197,553,295,213
2020,9,70,"2,377",494,408,186,89,126,57,86,145,382,227,177
2020,9,80,"1,171",214,160,103,50,67,30,43,56,198,141,109
2020,9,90,95,22,7,10,4,9,1,5,7,10,12,8
2020,9,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,10,총,"17,279","5,313","2,955","1,151",505,734,252,440,821,"2,968","1,309",831
2020,10,0,844,395,122,27,10,21,4,20,26,164,44,11
2020,10,10,"1,099",476,168,40,22,22,8,18,42,225,55,23
2020,10,20,"1,427",551,255,81,27,47,11,26,49,277,71,32
2020,10,30,"1,254",511,212,61,28,28,8,17,44,233,73,39
2020,10,40,"2,189",807,400,122,33,74,24,54,96,367,141,71
2020,10,50,"3,304","1,000",583,232,100,154,44,83,160,559,248,141
2020,10,60,"3,510",838,641,286,142,186,68,90,194,552,298,215
2020,10,70,"2,375",491,404,188,89,127,55,86,146,382,227,180
2020,10,80,"1,180",219,162,104,50,66,29,42,57,200,142,109
2020,10,90,90,22,7,10,4,9,1,3,7,9,10,8
2020,10,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,11,총,"17,226","5,288","2,944","1,147",500,738,250,441,817,"2,964","1,305",832
2020,11,0,833,391,120,26,10,21,3,20,25,165,41,11
2020,11,10,"1,091",467,167,39,22,22,8,18,43,227,55,23
2020,11,20,"1,414",549,253,78,24,47,12,26,48,278,68,31
2020,11,30,"1,237",503,208,60,27,29,8,17,43,232,72,38
2020,11,40,"2,179",806,396,121,31,75,24,53,96,363,140,74
2020,11,50,"3,285",994,584,234,101,154,45,84,155,554,247,133
2020,11,60,"3,527",844,641,283,142,187,65,88,195,560,303,219
2020,11,70,"2,389",490,410,190,90,129,56,89,149,377,227,182
2020,11,80,"1,173",219,157,106,49,65,28,42,56,198,142,111
2020,11,90,91,22,7,10,4,9,1,3,7,10,10,8
2020,11,100,7,3,1,0,0,0,0,1,0,0,0,2
2020,12,총,"17,197","5,279","2,942","1,146",503,738,247,437,818,"2,949","1,306",832
2020,12,0,831,391,123,30,10,20,3,17,24,160,41,12
2020,12,10,"1,089",465,169,38,22,22,8,17,42,226,57,23
2020,12,20,"1,407",548,253,79,23,47,11,26,49,273,65,33
2020,12,30,"1,238",499,213,58,28,30,8,16,45,234,70,37
2020,12,40,"2,151",795,387,119,27,74,23,52,96,363,142,73
2020,12,50,"3,274",996,579,234,106,151,46,85,154,549,242,132
2020,12,60,"3,537",850,642,282,143,191,62,87,195,558,309,218
2020,12,70,"2,380",485,407,189,89,130,57,90,149,378,225,181
2020,12,80,"1,188",224,160,107,51,64,28,43,57,197,144,113
2020,12,90,95,23,8,10,4,9,1,3,7,11,11,8
2020,12,100,7,3,1,0,0,0,0,1,0,0,0,2
2021,1,총,"17,163","5,265","2,929","1,152",509,735,250,438,809,"2,946","1,300",830
2021,1,0,818,384,118,30,11,20,3,17,24,157,41,13
2021,1,10,"1,080",462,169,39,22,22,8,17,41,220,57,23
2021,1,20,"1,395",548,247,76,23,43,11,25,49,279,61,33
2021,1,30,"1,232",497,213,60,28,31,8,16,43,231,69,36
2021,1,40,"2,140",788,386,119,31,71,23,52,94,363,139,74
2021,1,50,"3,271",999,577,236,105,150,46,85,156,546,244,127
2021,1,60,"3,553",850,640,287,145,195,65,88,191,563,311,218
2021,1,70,"2,383",489,411,187,87,130,56,90,147,381,223,182
2021,1,80,"1,188",221,159,107,53,65,29,44,57,194,145,114
2021,1,90,96,24,8,11,4,8,1,3,7,12,10,8
2021,1,100,7,3,1,0,0,0,0,1,0,0,0,2
2021,2,총,"17,155","5,256","2,915","1,158",514,733,251,432,809,"2,953","1,308",826
2021,2,0,812,381,114,31,11,19,3,16,24,160,40,13
2021,2,10,"1,071",455,169,39,21,22,8,16,42,218,60,21
2021,2,20,"1,392",541,245,76,24,43,11,27,48,281,63,33
2021,2,30,"1,219",489,210,60,28,29,8,16,41,230,71,37
2021,2,40,"2,130",795,381,118,31,70,22,46,96,363,136,72
2021,2,50,"3,273","1,008",573,233,106,150,47,85,154,546,245,126
2021,2,60,"3,574",855,640,292,149,196,66,88,189,567,312,220
2021,2,70,"2,391",483,416,190,86,131,57,89,148,384,226,181
2021,2,80,"1,189",222,159,107,54,65,28,46,60,191,145,112
2021,2,90,97,24,7,12,4,8,1,2,7,13,10,9
2021,2,100,7,3,1,0,0,0,0,1,0,0,0,2
2021,3,총,"17,086","5,231","2,904","1,151",511,734,253,433,804,"2,942","1,302",821
2021,3,0,803,368,119,29,10,19,4,16,23,161,40,14
2021,3,10,"1,050",448,163,39,20,21,7,15,40,217,59,21
2021,3,20,"1,376",544,240,75,23,44,11,28,49,269,61,32
2021,3,30,"1,219",485,215,59,27,27,8,16,42,230,72,38
2021,3,40,"2,105",796,368,114,31,68,22,46,92,362,134,72
2021,3,50,"3,269","1,000",579,233,104,151,49,84,156,542,243,128
2021,3,60,"3,597",857,642,291,153,198,68,90,190,575,315,218
2021,3,70,"2,368",483,414,191,84,129,56,89,147,377,224,174
2021,3,80,"1,200",226,156,108,55,69,27,47,59,196,144,113
2021,3,90,96,23,8,12,4,8,1,2,6,13,10,9
2021,3,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,4,총,"17,031","5,216","2,893","1,144",508,732,252,429,805,"2,927","1,299",826
2021,4,0,783,361,116,26,8,19,4,15,24,156,40,14
2021,4,10,"1,047",447,165,40,19,21,7,15,40,213,59,21
2021,4,20,"1,354",545,234,73,24,41,10,28,46,262,59,32
2021,4,30,"1,221",490,214,62,27,28,8,14,42,227,71,38
2021,4,40,"2,088",789,362,113,31,70,21,46,92,360,133,71
2021,4,50,"3,262",997,580,233,105,148,50,83,156,541,241,128
2021,4,60,"3,614",854,643,292,152,198,67,90,193,580,321,224
2021,4,70,"2,357",486,412,188,83,128,57,88,146,376,221,172
2021,4,80,"1,208",225,159,107,55,70,27,48,60,197,145,115
2021,4,90,94,21,8,10,4,9,1,2,6,15,9,9
2021,4,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,5,총,"17,021","5,236","2,881","1,140",509,734,251,429,803,"2,918","1,295",825
2021,5,0,780,367,110,23,8,19,4,16,23,156,40,14
2021,5,10,"1,043",444,166,41,19,22,7,15,39,212,58,20
2021,5,20,"1,365",552,235,75,25,40,10,27,47,265,58,31
2021,5,30,"1,212",485,212,60,29,29,8,14,42,224,71,38
2021,5,40,"2,071",791,357,111,30,67,21,45,89,362,132,66
2021,5,50,"3,264",997,584,235,103,150,48,84,159,537,236,131
2021,5,60,"3,621",864,639,292,152,199,67,91,191,577,323,226
2021,5,70,"2,347",481,409,190,84,127,56,87,145,374,223,171
2021,5,80,"1,218",233,160,103,54,72,29,48,62,196,145,116
2021,5,90,97,21,9,10,5,9,1,2,6,15,9,10
2021,5,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,6,총,"16,972","5,214","2,857","1,132",511,734,248,432,799,"2,926","1,294",825
2021,6,0,779,368,106,23,8,19,4,16,22,160,39,14
2021,6,10,"1,047",447,167,40,18,23,7,15,39,211,59,21
2021,6,20,"1,358",545,233,73,27,41,9,27,46,269,57,31
2021,6,30,"1,200",478,209,60,28,28,7,15,42,224,72,37
2021,6,40,"2,057",787,352,110,31,67,22,45,88,359,128,68
2021,6,50,"3,232",987,577,231,104,148,46,86,157,531,238,127
2021,6,60,"3,636",865,639,293,152,201,67,88,192,586,325,228
2021,6,70,"2,346",479,408,190,84,126,56,90,146,374,223,170
2021,6,80,"1,219",236,156,103,54,73,29,48,61,197,145,117
2021,6,90,95,21,10,9,5,8,1,2,6,15,8,10
2021,6,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,7,총,"16,933","5,208","2,854","1,130",508,730,247,429,792,"2,928","1,285",822
2021,7,0,769,367,104,22,8,19,4,16,18,160,38,13
2021,7,10,"1,050",444,169,42,17,23,6,15,39,214,60,21
2021,7,20,"1,341",541,231,70,27,40,10,25,44,267,56,30
2021,7,30,"1,193",479,206,61,27,26,7,16,43,224,67,37
2021,7,40,"2,045",780,356,108,30,67,22,45,87,358,125,67
2021,7,50,"3,226",988,574,231,106,145,46,83,156,531,239,127
2021,7,60,"3,627",859,642,291,149,202,65,90,190,588,324,227
2021,7,70,"2,359",488,408,193,85,127,56,89,148,372,223,170
2021,7,80,"1,224",239,154,102,54,74,30,48,61,199,145,118
2021,7,90,96,22,10,10,5,7,1,2,6,15,8,10
2021,7,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,8,총,"16,902","5,198","2,841","1,134",502,734,246,430,789,"2,923","1,291",814
2021,8,0,762,366,102,21,8,19,4,16,17,160,37,12
2021,8,10,"1,045",442,167,44,17,23,6,15,38,215,57,21
2021,8,20,"1,332",536,226,72,27,39,10,24,46,265,59,28
2021,8,30,"1,173",470,204,60,25,25,6,17,43,222,67,34
2021,8,40,"2,040",782,355,106,31,67,22,42,83,359,126,67
2021,8,50,"3,228",991,571,236,106,143,45,84,154,529,242,127
2021,8,60,"3,639",861,643,290,149,207,65,93,192,587,325,227
2021,8,70,"2,362",488,409,194,83,129,57,89,147,373,223,170
2021,8,80,"1,223",239,154,102,50,75,30,48,64,198,147,116
2021,8,90,95,22,10,9,6,7,1,2,5,15,8,10
2021,8,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,9,총,"16,854","5,201","2,826","1,123",500,731,246,429,779,"2,919","1,292",808
2021,9,0,756,365,97,20,8,19,4,15,17,159,39,13
2021,9,10,"1,045",449,165,41,17,23,6,15,36,215,58,20
2021,9,20,"1,327",533,227,72,27,39,10,23,45,266,58,27
2021,9,30,"1,151",470,196,56,25,25,6,16,40,217,66,34
2021,9,40,"2,022",777,351,101,29,64,22,42,81,362,126,67
2021,9,50,"3,229",989,573,236,106,147,44,84,153,529,246,122
2021,9,60,"3,638",866,647,289,151,200,66,94,192,582,324,227
2021,9,70,"2,361",487,410,197,81,133,57,90,146,373,221,166
2021,9,80,"1,227",242,151,102,50,74,29,48,64,201,146,120
2021,9,90,95,22,9,9,6,7,2,2,5,15,8,10
2021,9,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,10,총,"16,847","5,203","2,828","1,123",499,727,247,430,779,"2,909","1,291",811
2021,10,0,748,363,94,19,7,19,4,15,18,156,40,13
2021,10,10,"1,041",451,163,40,18,23,6,16,35,212,58,19
2021,10,20,"1,329",531,233,72,26,36,10,24,45,268,57,27
2021,10,30,"1,143",474,190,57,23,25,6,15,39,213,66,35
2021,10,40,"2,020",777,349,102,29,64,21,42,81,361,128,66
2021,10,50,"3,230",992,579,234,107,143,43,82,154,525,246,125
2021,10,60,"3,645",864,649,295,152,201,69,97,189,583,322,224
2021,10,70,"2,373",486,411,196,82,134,57,90,148,377,222,170
2021,10,80,"1,214",241,151,98,49,75,29,47,64,197,143,120
2021,10,90,101,23,9,10,6,7,2,2,6,17,9,10
2021,10,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,11,총,"16,834","5,192","2,835","1,127",502,729,247,428,773,"2,902","1,289",810
2021,11,0,741,364,95,17,7,19,4,15,18,151,39,12
2021,11,10,"1,052",451,162,41,19,25,6,16,35,217,59,21
2021,11,20,"1,313",522,235,74,25,36,10,24,43,261,57,26
2021,11,30,"1,139",478,187,55,24,24,6,14,39,211,65,36
2021,11,40,"2,007",768,345,104,29,64,21,40,82,360,126,68
2021,11,50,"3,237",996,586,235,108,141,44,81,148,525,247,126
2021,11,60,"3,651",866,647,296,150,204,69,100,191,584,323,221
2021,11,70,"2,372",484,414,197,86,132,56,88,148,375,222,170
2021,11,80,"1,216",239,154,98,48,76,29,48,63,201,142,118
2021,11,90,103,23,10,10,6,8,2,2,6,17,9,10
2021,11,100,3,1,0,0,0,0,0,0,0,0,0,2
2021,12,총,"16,777","5,160","2,825","1,130",504,728,247,427,767,"2,899","1,291",799
2021,12,0,727,357,96,15,7,18,4,15,18,148,37,12
2021,12,10,"1,052",453,159,41,19,25,6,16,35,216,62,20
2021,12,20,"1,311",518,236,77,25,35,10,23,42,262,58,25
2021,12,30,"1,130",471,189,57,24,22,6,13,38,210,66,34
2021,12,40,"1,985",759,340,103,30,64,21,37,82,359,122,68
2021,12,50,"3,234",994,580,230,108,143,42,87,149,525,250,126
2021,12,60,"3,635",861,641,297,151,206,70,96,188,585,323,217
2021,12,70,"2,381",484,420,200,84,132,55,90,147,379,220,170
2021,12,80,"1,217",240,154,99,50,74,31,48,61,198,144,118
2021,12,90,104,22,10,11,6,9,2,2,7,17,9,9
2021,12,100,1,1,0,0,0,0,0,0,0,0,0,0
