년도,월,나이,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020,3,총,"312,985","25,143","22,276","30,702","28,002","32,538","19,231","16,901","18,007","21,470","21,790","23,673","21,145","32,107"
2020,3,0,"17,037","1,429",893,"1,616","1,225","3,175",772,780,"1,034","1,113","1,138",916,"1,189","1,757"
2020,3,10,"23,182","2,070","1,430","2,158","1,754","4,105","1,157","1,180","1,453","1,423","1,512","1,214","1,449","2,277"
2020,3,20,"43,426","3,214","3,744","4,317","3,783","3,470","3,325","2,169","2,072","3,145","3,102","4,175","2,714","4,196"
2020,3,30,"40,231","3,142","2,954","4,295","3,439","3,985","2,880","1,930","1,870","2,862","2,593","3,542","2,656","4,083"
2020,3,40,"48,619","3,913","3,187","4,805","4,088","6,778","2,989","2,587","2,815","3,079","3,209","3,387","3,070","4,712"
2020,3,50,"53,437","4,471","3,877","5,223","5,199","4,962","3,142","2,907","2,826","3,747","3,854","4,061","3,656","5,512"
2020,3,60,"44,717","3,681","3,245","4,417","4,482","3,222","2,544","2,647","2,655","3,193","3,200","3,338","3,197","4,896"
2020,3,70,"29,719","2,247","2,056","2,776","2,826","1,964","1,752","1,977","2,498","1,975","2,154","2,147","2,165","3,182"
2020,3,80,"10,932",819,785,949,"1,053",760,580,647,688,787,908,783,879,"1,294"
2020,3,90,"1,447",127,96,119,132,93,83,71,86,109,115,96,140,180
2020,3,100,238,30,9,27,21,24,7,6,10,37,5,14,30,18
2020,4,총,"312,691","25,100","22,263","30,682","27,898","32,533","19,246","16,890","17,993","21,461","21,724","23,731","21,115","32,055"
2020,4,0,"16,918","1,422",882,"1,617","1,207","3,169",759,767,"1,037","1,105","1,133",907,"1,176","1,737"
2020,4,10,"23,034","2,075","1,409","2,142","1,740","4,088","1,154","1,163","1,447","1,411","1,496","1,204","1,447","2,258"
2020,4,20,"43,427","3,207","3,757","4,303","3,764","3,487","3,333","2,194","2,055","3,133","3,085","4,233","2,692","4,184"
2020,4,30,"40,093","3,112","2,938","4,282","3,399","3,987","2,881","1,933","1,873","2,854","2,567","3,535","2,656","4,076"
2020,4,40,"48,474","3,883","3,188","4,787","4,078","6,766","2,996","2,570","2,794","3,082","3,197","3,383","3,071","4,679"
2020,4,50,"53,412","4,497","3,871","5,225","5,165","4,963","3,151","2,919","2,822","3,739","3,837","4,070","3,657","5,496"
2020,4,60,"44,852","3,683","3,255","4,446","4,500","3,224","2,541","2,638","2,676","3,209","3,213","3,335","3,202","4,930"
2020,4,70,"29,767","2,248","2,065","2,777","2,825","1,977","1,747","1,974","2,503","1,981","2,160","2,160","2,155","3,195"
2020,4,80,"11,017",810,792,955,"1,064",751,596,654,692,801,916,797,891,"1,298"
2020,4,90,"1,455",133,97,120,134,96,80,72,85,109,115,93,137,184
2020,4,100,242,30,9,28,22,25,8,6,9,37,5,14,31,18
2020,5,총,"312,270","25,018","22,269","30,655","27,877","32,491","19,275","16,830","17,938","21,429","21,673","23,719","21,115","31,981"
2020,5,0,"16,805","1,412",873,"1,605","1,199","3,155",751,764,"1,031","1,097","1,131",894,"1,172","1,721"
2020,5,10,"22,916","2,057","1,402","2,137","1,725","4,084","1,152","1,156","1,438","1,402","1,489","1,195","1,441","2,238"
2020,5,20,"43,391","3,186","3,775","4,311","3,756","3,470","3,355","2,183","2,040","3,122","3,065","4,245","2,703","4,180"
2020,5,30,"39,957","3,086","2,933","4,259","3,404","3,993","2,885","1,913","1,852","2,828","2,553","3,532","2,661","4,058"
2020,5,40,"48,238","3,857","3,179","4,759","4,063","6,724","2,995","2,552","2,781","3,081","3,190","3,361","3,060","4,636"
2020,5,50,"53,424","4,482","3,883","5,240","5,158","4,983","3,158","2,907","2,822","3,724","3,832","4,090","3,633","5,512"
2020,5,60,"44,914","3,712","3,251","4,445","4,503","3,231","2,546","2,646","2,667","3,232","3,211","3,329","3,212","4,929"
2020,5,70,"29,838","2,254","2,067","2,783","2,846","1,972","1,742","1,968","2,509","1,995","2,159","2,168","2,166","3,209"
2020,5,80,"11,078",809,799,967,"1,063",759,602,663,699,803,920,798,899,"1,297"
2020,5,90,"1,465",133,98,120,136,95,81,72,90,108,118,93,137,184
2020,5,100,244,30,9,29,24,25,8,6,9,37,5,14,31,17
2020,6,총,"311,773","24,993","22,287","30,673","27,844","32,419","19,278","16,740","17,850","21,370","21,651","23,665","21,068","31,935"
2020,6,0,"16,688","1,388",861,"1,614","1,187","3,134",750,755,"1,029","1,095","1,124",888,"1,151","1,712"
2020,6,10,"22,772","2,058","1,397","2,128","1,727","4,077","1,147","1,146","1,397","1,384","1,479","1,169","1,439","2,224"
2020,6,20,"43,321","3,188","3,785","4,302","3,739","3,447","3,362","2,160","2,033","3,102","3,075","4,279","2,684","4,165"
2020,6,30,"39,819","3,075","2,951","4,252","3,389","3,956","2,901","1,912","1,823","2,823","2,554","3,495","2,646","4,042"
2020,6,40,"48,072","3,847","3,161","4,757","4,061","6,723","2,976","2,535","2,753","3,064","3,173","3,337","3,085","4,600"
2020,6,50,"53,257","4,467","3,873","5,234","5,135","4,941","3,164","2,862","2,834","3,706","3,820","4,078","3,602","5,541"
2020,6,60,"45,085","3,738","3,279","4,472","4,524","3,258","2,544","2,656","2,664","3,243","3,217","3,340","3,228","4,922"
2020,6,70,"29,939","2,254","2,073","2,797","2,862","1,992","1,749","1,969","2,510","2,004","2,161","2,171","2,169","3,228"
2020,6,80,"11,113",814,797,968,"1,059",770,598,667,708,803,924,800,902,"1,303"
2020,6,90,"1,463",134,101,120,137,96,79,72,90,109,119,94,131,181
2020,6,100,244,30,9,29,24,25,8,6,9,37,5,14,31,17
2020,7,총,"311,198","24,928","22,280","30,676","27,807","32,361","19,210","16,671","17,787","21,386","21,580","23,647","21,025","31,840"
2020,7,0,"16,552","1,376",854,"1,619","1,169","3,119",748,735,"1,015","1,080","1,109",883,"1,139","1,706"
2020,7,10,"22,661","2,045","1,385","2,117","1,709","4,068","1,128","1,147","1,396","1,391","1,465","1,161","1,438","2,211"
2020,7,20,"43,225","3,201","3,791","4,298","3,747","3,441","3,336","2,161","2,000","3,102","3,065","4,267","2,676","4,140"
2020,7,30,"39,594","3,059","2,948","4,242","3,357","3,931","2,878","1,873","1,814","2,812","2,549","3,490","2,629","4,012"
2020,7,40,"47,905","3,822","3,153","4,747","4,069","6,690","2,965","2,520","2,731","3,067","3,133","3,344","3,065","4,599"
2020,7,50,"53,133","4,450","3,875","5,216","5,107","4,939","3,151","2,852","2,826","3,707","3,810","4,073","3,609","5,518"
2020,7,60,"45,202","3,740","3,283","4,505","4,549","3,274","2,561","2,652","2,672","3,254","3,230","3,334","3,231","4,917"
2020,7,70,"30,018","2,253","2,081","2,816","2,877","2,000","1,758","1,981","2,514","2,010","2,158","2,182","2,167","3,221"
2020,7,80,"11,190",819,799,970,"1,062",774,598,673,718,814,937,803,906,"1,317"
2020,7,90,"1,474",133,102,117,137,100,79,71,92,112,119,96,134,182
2020,7,100,244,30,9,29,24,25,8,6,9,37,5,14,31,17
2020,8,총,"310,555","24,831","22,247","30,628","27,749","32,290","19,177","16,652","17,715","21,393","21,517","23,581","21,033","31,742"
2020,8,0,"16,395","1,359",838,"1,606","1,150","3,085",743,729,"1,003","1,085","1,098",886,"1,139","1,674"
2020,8,10,"22,538","2,022","1,371","2,122","1,696","4,065","1,116","1,149","1,391","1,390","1,450","1,149","1,431","2,186"
2020,8,20,"43,103","3,194","3,805","4,272","3,731","3,421","3,333","2,162","1,975","3,097","3,056","4,246","2,664","4,147"
2020,8,30,"39,437","3,050","2,937","4,228","3,354","3,923","2,868","1,851","1,799","2,825","2,553","3,464","2,629","3,956"
2020,8,40,"47,640","3,786","3,134","4,723","4,038","6,628","2,945","2,507","2,735","3,054","3,098","3,341","3,067","4,584"
2020,8,50,"53,052","4,443","3,873","5,216","5,111","4,958","3,143","2,859","2,805","3,679","3,805","4,051","3,602","5,507"
2020,8,60,"45,342","3,738","3,293","4,519","4,565","3,298","2,579","2,649","2,663","3,280","3,233","3,344","3,247","4,934"
2020,8,70,"30,061","2,250","2,084","2,820","2,873","2,013","1,754","1,995","2,513","2,014","2,153","2,186","2,174","3,232"
2020,8,80,"11,244",830,800,976,"1,068",772,602,672,727,820,945,801,910,"1,321"
2020,8,90,"1,496",129,102,117,139,102,86,73,95,112,121,99,138,183
2020,8,100,247,30,10,29,24,25,8,6,9,37,5,14,32,18
2020,9,총,"309,996","24,750","22,275","30,502","27,721","32,205","19,164","16,593","17,695","21,335","21,504","23,591","21,042","31,619"
2020,9,0,"16,272","1,349",829,"1,581","1,133","3,078",742,723,993,"1,083","1,088",878,"1,139","1,656"
2020,9,10,"22,444","2,013","1,362","2,111","1,694","4,041","1,114","1,136","1,388","1,381","1,453","1,150","1,438","2,163"
2020,9,20,"43,070","3,191","3,844","4,265","3,726","3,403","3,333","2,176","1,959","3,078","3,033","4,267","2,666","4,129"
2020,9,30,"39,248","3,045","2,949","4,175","3,327","3,905","2,848","1,852","1,790","2,806","2,563","3,454","2,618","3,916"
2020,9,40,"47,373","3,741","3,105","4,697","4,020","6,582","2,935","2,492","2,721","3,054","3,074","3,335","3,065","4,552"
