년도,월,나이,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동,세종특별자치시  해밀동,세종특별자치시  반곡동
2020,4,총,"345,216","43,126","2,596","3,195","6,168","8,723","6,279","7,499","5,794","3,682","2,503","19,528","54,563","32,329","23,814","30,019","34,257","30,899","19,597","10,645",,,
2020,4,0,"47,399","3,418",82,102,363,307,204,386,224,90,115,"2,795","9,119","4,377","3,879","5,025","6,310","5,616","3,341","1,646",,,
2020,4,10,"40,875","4,245",111,134,372,428,307,454,408,133,191,"3,400","6,726","4,508","4,234","4,122","4,585","3,094","2,418","1,005",,,
2020,4,20,"36,323","6,394",300,311,728,841,886,776,588,321,279,"1,716","6,018","3,736","1,766","2,674","2,616","3,102","1,977","1,294",,,
2020,4,30,"61,266","5,390",304,286,672,849,742,729,526,273,192,"2,729","12,118","5,911","3,682","5,920","6,995","7,583","4,000","2,365",,,
2020,4,40,"66,124","6,982",324,341,871,999,878,960,751,373,362,"4,616","10,853","6,927","5,976","6,288","7,300","5,698","3,848","1,777",,,
2020,4,50,"43,283","6,775",545,561,"1,125","1,657","1,225","1,332","1,089",725,460,"2,451","5,653","3,726","2,502","3,063","3,272","3,415","2,223","1,484",,,
2020,4,60,"28,173","5,175",472,675,973,"1,750","1,035","1,330",954,862,408,"1,102","2,860","1,844","1,132","1,795","2,186","1,671","1,199",750,,,
2020,4,70,"13,673","3,040",267,413,633,"1,137",565,900,690,518,275,480,841,831,441,777,743,500,413,209,,,
2020,4,80,"6,922","1,470",169,307,385,652,383,556,477,333,198,204,313,393,159,312,201,172,148,90,,,
2020,4,90,"1,121",223,20,61,44,97,52,72,81,47,21,33,61,76,42,43,48,47,29,24,,,
2020,4,100,57,14,2,4,2,6,2,4,6,7,2,2,1,0,1,0,1,1,1,1,,,
2020,5,총,"345,373","43,120","2,605","3,185","6,170","8,715","6,316","7,491","5,768","3,681","2,496","19,490","54,562","32,329","23,822","30,031","34,420","30,976","19,560","10,636",,,
2020,5,0,"47,239","3,413",83,105,362,295,199,374,212,90,112,"2,777","9,089","4,352","3,848","4,998","6,321","5,617","3,337","1,655",,,
2020,5,10,"40,970","4,225",114,131,369,422,301,444,411,134,189,"3,400","6,783","4,510","4,248","4,143","4,602","3,120","2,419","1,005",,,
