년도,월,나이,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020,3,총,"111,517","18,805","10,727","16,001","7,875","1,681","3,543","2,929","3,580","6,422","5,319","6,223","15,697","6,958","5,475",282
2020,3,0,"8,537","1,577","1,085","2,133",718,49,114,80,72,200,241,415,"1,149",371,326,7
2020,3,10,"10,454","1,992","1,308","2,034",646,61,170,97,155,328,346,473,"1,730",665,440,9
2020,3,20,"10,960","2,437","1,145","1,623",559,133,300,187,271,433,497,556,"1,639",692,479,9
2020,3,30,"12,459","2,564","1,338","2,643",981,104,206,163,163,496,498,670,"1,502",624,487,20
2020,3,40,"17,900","3,394","1,969","3,056","1,261",186,368,287,356,774,735,965,"2,579","1,169",766,35
2020,3,50,"18,558","3,105","1,650","1,882","1,268",313,635,559,711,"1,154","1,007","1,088","2,917","1,305",917,47
2020,3,60,"15,741","1,893","1,072","1,267","1,190",383,719,652,758,"1,439","1,001","1,046","2,197","1,077",983,64
2020,3,70,"10,550","1,118",693,836,765,243,604,508,648,"1,065",654,696,"1,323",667,665,65
2020,3,80,"5,555",624,404,466,423,186,379,356,379,463,299,276,597,333,345,25
2020,3,90,779,95,63,60,63,23,46,38,66,68,41,33,63,54,65,1
2020,3,100,24,6,0,1,1,0,2,2,1,2,0,5,1,1,2,0
2020,4,총,"111,365","18,744","10,708","16,044","7,839","1,667","3,529","2,926","3,564","6,394","5,320","6,304","15,639","6,938","5,469",280
2020,4,0,"8,514","1,556","1,080","2,141",718,48,111,81,72,197,246,430,"1,135",366,326,7
2020,4,10,"10,434","1,992","1,298","2,043",644,57,173,98,150,322,347,474,"1,722",668,437,9
2020,4,20,"10,884","2,409","1,142","1,625",548,129,293,183,266,430,499,569,"1,624",683,475,9
2020,4,30,"12,418","2,557","1,329","2,643",975,106,209,162,160,488,485,687,"1,493",614,491,19
2020,4,40,"17,829","3,371","1,953","3,062","1,257",188,361,285,354,770,741,971,"2,558","1,162",761,35
2020,4,50,"18,551","3,116","1,662","1,891","1,253",309,636,551,706,"1,146","1,001","1,099","2,910","1,306",918,47
2020,4,60,"15,752","1,899","1,077","1,269","1,192",382,713,657,759,"1,428",996,"1,053","2,197","1,083",984,63
2020,4,70,"10,610","1,119",702,846,770,239,606,513,649,"1,074",660,704,"1,335",669,658,66
2020,4,80,"5,565",624,401,460,418,188,380,356,380,468,305,277,602,330,351,25
2020,4,90,782,95,64,63,63,21,44,38,67,69,40,34,62,56,66,0
2020,4,100,26,6,0,1,1,0,3,2,1,2,0,6,1,1,2,0
2020,5,총,"111,268","18,710","10,682","16,057","7,822","1,671","3,529","2,930","3,559","6,382","5,324","6,303","15,622","6,915","5,482",280
2020,5,0,"8,478","1,535","1,078","2,137",723,50,111,83,70,192,241,431,"1,127",359,334,7
2020,5,10,"10,403","1,989","1,290","2,049",639,57,172,100,151,324,340,475,"1,708",659,441,9
2020,5,20,"10,844","2,407","1,128","1,619",549,130,290,177,264,431,506,566,"1,618",680,470,9
2020,5,30,"12,367","2,545","1,318","2,637",974,105,211,161,160,485,484,682,"1,489",603,494,19
2020,5,40,"17,807","3,360","1,957","3,081","1,245",190,356,278,351,766,736,981,"2,545","1,159",768,34
2020,5,50,"18,520","3,112","1,666","1,890","1,254",304,630,555,703,"1,134","1,006","1,091","2,917","1,305",905,48
2020,5,60,"15,788","1,915","1,075","1,265","1,185",382,723,661,759,"1,428",996,"1,051","2,204","1,089",992,63
2020,5,70,"10,670","1,116",706,854,771,244,609,517,653,"1,081",663,712,"1,345",675,658,66
2020,5,80,"5,581",628,400,461,417,188,381,356,381,469,314,274,607,326,354,25
2020,5,90,784,97,64,63,64,21,43,40,66,70,38,34,61,59,64,0
2020,5,100,26,6,0,1,1,0,3,2,1,2,0,6,1,1,2,0
2020,6,총,"111,184","18,682","10,680","16,096","7,840","1,654","3,530","2,914","3,562","6,336","5,313","6,343","15,614","6,882","5,461",277
2020,6,0,"8,434","1,533","1,075","2,127",723,49,106,84,70,185,243,438,"1,117",348,329,7
2020,6,10,"10,368","1,978","1,293","2,051",643,56,169,97,147,323,339,480,"1,690",659,435,8
2020,6,20,"10,852","2,393","1,128","1,631",549,127,289,174,269,427,501,572,"1,642",668,472,10
2020,6,30,"12,260","2,545","1,304","2,624",972,99,206,155,162,470,480,679,"1,475",585,486,18
2020,6,40,"17,789","3,354","1,965","3,097","1,239",186,358,279,343,760,729,989,"2,542","1,163",753,32
2020,6,50,"18,511","3,102","1,667","1,903","1,260",300,633,547,709,"1,129","1,004","1,082","2,916","1,302",910,47
