년도,월,나이,서귀포시,대정읍,남원읍,성산읍,안덕면,표선면,송산동,정방동,중앙동,천지동,효돈동,영천동,동홍동,서홍동,대륜동,대천동,중문동,예래동
2020,1,총,"91,842","10,422","9,726","8,106","6,234","6,312","2,256","1,137","1,741","1,814","2,673","2,704","11,350","5,189","7,319","7,002","5,838","2,019"
2020,1,0,"7,709",942,643,470,435,419,138,70,97,95,187,151,"1,112",607,817,882,512,132
2020,1,10,"9,132","1,258",860,571,532,500,207,79,139,136,226,243,"1,637",693,679,648,588,136
2020,1,20,"10,417",981,"1,092",851,815,724,240,117,200,194,273,319,"1,474",637,798,746,685,271
2020,1,30,"10,377",958,892,833,682,587,212,130,164,206,305,253,"1,297",587,"1,083","1,129",802,257
2020,1,40,"16,150","1,981","1,570","1,303","1,095","1,135",389,186,284,313,431,443,"1,991",949,"1,360","1,311","1,096",313
2020,1,50,"16,784","1,838","2,002","1,734","1,208","1,281",432,226,375,374,504,537,"1,919",794,"1,114","1,077",981,388
2020,1,60,"11,574","1,273","1,322","1,335",793,918,347,191,258,265,386,365,"1,115",516,847,706,642,295
2020,1,70,"6,925",809,918,705,488,546,213,97,159,170,240,275,626,312,465,376,370,156
2020,1,80,"2,579",356,397,277,171,194,69,34,61,54,115,113,171,88,146,116,152,65
2020,1,90,184,23,30,27,13,8,7,6,4,7,6,4,7,6,10,11,9,6
2020,1,100,11,3,0,0,2,0,2,1,0,0,0,1,1,0,0,0,1,0
2020,2,총,"91,749","10,417","9,716","8,075","6,224","6,311","2,246","1,137","1,735","1,804","2,673","2,691","11,336","5,193","7,317","7,015","5,838","2,021"
2020,2,0,"7,674",939,641,470,445,416,134,71,94,93,181,146,"1,093",605,816,894,502,134
2020,2,10,"9,136","1,256",857,563,526,503,207,78,139,140,229,242,"1,645",691,679,654,589,138
2020,2,20,"10,356",974,"1,094",840,797,719,238,109,204,190,274,325,"1,464",642,789,746,689,262
2020,2,30,"10,299",948,886,826,688,578,208,127,162,206,299,243,"1,283",573,"1,090","1,127",796,259
2020,2,40,"16,117","1,985","1,559","1,284","1,098","1,138",387,195,278,304,432,439,"1,989",961,"1,345","1,308","1,096",319
2020,2,50,"16,802","1,843","2,002","1,742","1,202","1,282",429,219,375,379,506,542,"1,921",802,"1,118","1,077",980,383
2020,2,60,"11,649","1,278","1,335","1,345",793,924,354,195,255,263,388,361,"1,132",512,857,710,651,296
2020,2,70,"6,914",809,911,701,484,548,209,103,160,167,239,276,628,312,466,374,370,157
2020,2,80,"2,607",359,399,280,176,195,72,33,64,54,119,112,172,89,147,114,155,67
2020,2,90,184,23,32,24,13,8,6,6,4,8,6,4,8,6,10,11,9,6
2020,2,100,11,3,0,0,2,0,2,1,0,0,0,1,1,0,0,0,1,0
