년도,월,나이,오산시,중앙동,남촌동,신장동,세마동,초평동,대원동
2020,1,총,"109,588","17,900","8,193","29,370","15,248","7,917","30,960"
2020,1,0,"12,248","2,058",488,"3,673","2,037",733,"3,259"
2020,1,10,"12,110","2,162",592,"3,293","1,557",995,"3,511"
2020,1,20,"14,106","2,115","1,590","3,193","1,921","1,001","4,286"
2020,1,30,"18,554","2,865","1,751","4,926","2,927","1,176","4,909"
2020,1,40,"19,825","3,283","1,371","5,188","2,745","1,517","5,721"
2020,1,50,"15,576","2,572","1,049","4,137","2,061","1,164","4,593"
2020,1,60,"9,188","1,475",739,"2,650","1,168",691,"2,465"
2020,1,70,"5,227",889,411,"1,478",527,402,"1,520"
2020,1,80,"2,372",407,172,726,250,216,601
2020,1,90,349,70,26,96,50,20,87
2020,1,100,33,4,4,10,5,2,8
2020,2,총,"109,661","17,978","8,196","29,356","15,301","7,885","30,945"
2020,2,0,"12,189","2,056",482,"3,646","2,042",725,"3,238"
2020,2,10,"12,103","2,176",589,"3,300","1,561",980,"3,497"
2020,2,20,"14,104","2,124","1,584","3,193","1,897","1,008","4,298"
2020,2,30,"18,419","2,857","1,756","4,878","2,907","1,161","4,860"
2020,2,40,"19,920","3,316","1,370","5,189","2,789","1,508","5,748"
2020,2,50,"15,614","2,591","1,047","4,148","2,061","1,163","4,604"
2020,2,60,"9,298","1,479",750,"2,687","1,205",695,"2,482"
2020,2,70,"5,226",892,411,"1,477",529,405,"1,512"
2020,2,80,"2,405",415,177,734,253,218,608
2020,2,90,351,68,26,94,52,20,91
2020,2,100,32,4,4,10,5,2,7
2020,3,총,"109,753","17,999","8,191","29,385","15,355","7,857","30,966"
2020,3,0,"12,092","2,040",478,"3,627","2,022",711,"3,214"
2020,3,10,"12,127","2,174",588,"3,304","1,587",979,"3,495"
2020,3,20,"14,131","2,130","1,574","3,215","1,907",994,"4,311"
2020,3,30,"18,350","2,842","1,758","4,857","2,894","1,145","4,854"
2020,3,40,"19,931","3,307","1,370","5,205","2,814","1,508","5,727"
2020,3,50,"15,674","2,614","1,048","4,153","2,066","1,164","4,629"
2020,3,60,"9,380","1,497",754,"2,705","1,217",703,"2,504"
2020,3,70,"5,252",904,412,"1,482",535,407,"1,512"
2020,3,80,"2,422",416,178,732,255,222,619
2020,3,90,362,71,27,95,53,22,94
2020,3,100,32,4,4,10,5,2,7
2020,4,총,"109,940","18,043","8,202","29,412","15,380","7,847","31,056"
2020,4,0,"12,059","2,036",484,"3,601","2,018",702,"3,218"
2020,4,10,"12,156","2,176",584,"3,322","1,596",977,"3,501"
2020,4,20,"14,211","2,133","1,590","3,239","1,917",996,"4,336"
2020,4,30,"18,271","2,835","1,740","4,837","2,886","1,137","4,836"
2020,4,40,"19,989","3,326","1,380","5,205","2,828","1,507","5,743"
2020,4,50,"15,687","2,620","1,050","4,146","2,060","1,163","4,648"
2020,4,60,"9,447","1,507",749,"2,735","1,221",709,"2,526"
2020,4,70,"5,279",915,412,"1,481",539,410,"1,522"
2020,4,80,"2,435",418,182,737,255,222,621
2020,4,90,372,72,26,99,55,22,98
2020,4,100,34,5,5,10,5,2,7
2020,5,총,"109,953","18,047","8,232","29,367","15,418","7,843","31,046"
2020,5,0,"11,999","2,035",477,"3,572","2,005",698,"3,212"
2020,5,10,"12,118","2,155",595,"3,313","1,613",966,"3,476"
2020,5,20,"14,226","2,138","1,615","3,234","1,906","1,002","4,331"
2020,5,30,"18,224","2,830","1,730","4,816","2,904","1,127","4,817"
2020,5,40,"20,004","3,332","1,389","5,201","2,828","1,517","5,737"
2020,5,50,"15,690","2,613","1,049","4,135","2,071","1,161","4,661"
2020,5,60,"9,515","1,527",752,"2,751","1,226",715,"2,544"
2020,5,70,"5,317",918,411,"1,497",548,413,"1,530"
2020,5,80,"2,447",422,183,737,257,219,629
2020,5,90,379,72,26,101,55,23,102
2020,5,100,34,5,5,10,5,2,7
2020,6,총,"110,162","18,088","8,236","29,435","15,485","7,838","31,080"
2020,6,0,"11,994","2,028",486,"3,570","2,010",692,"3,208"
2020,6,10,"12,106","2,158",584,"3,320","1,612",970,"3,462"
2020,6,20,"14,236","2,153","1,610","3,232","1,909",991,"4,341"
2020,6,30,"18,229","2,828","1,743","4,811","2,920","1,121","4,806"
2020,6,40,"20,059","3,337","1,391","5,207","2,848","1,523","5,753"
