년도,월,나이,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020,3,총,"428,777","16,731","15,590","16,559","18,919","23,700","11,759","20,644","19,064","12,418","15,609","24,709","11,439","11,282","16,979","13,372","14,308","23,074","19,682","11,962","15,924","32,081","28,176","34,796"
2020,3,0,"31,162","1,443","1,031","2,018","1,556","1,965",552,"1,441","1,392","1,216",935,"2,144",598,653,"1,103","1,102",962,"1,113","1,187",407,"1,151","2,411","2,099","2,683"
2020,3,10,"53,247","2,221","1,818","2,050","4,271","2,632","1,258","4,097","2,256","1,801","1,530","4,348",941,776,"1,380","1,027","1,218","2,065","1,964",772,"1,866","4,924","3,504","4,528"
2020,3,20,"55,981","2,059","2,373","2,111","1,831","3,048","1,939","2,447","2,304","1,242","2,176","2,744","1,784","1,424","2,111","1,324","2,233","3,372","2,636","1,462","1,979","4,514","3,869","4,999"
2020,3,30,"44,204","1,629","2,002","2,226","1,318","2,485","1,223","1,526","1,731","1,252","1,600","2,095","1,428","1,456","2,114","1,699","1,891","2,381","2,051",996,"1,588","2,905","2,981","3,627"
2020,3,40,"74,741","3,040","2,597","3,273","4,694","3,862","1,802","4,661","3,295","2,530","2,350","5,017","1,824","1,823","2,561","1,987","2,374","3,394","2,979","1,430","2,677","5,861","4,765","5,945"
2020,3,50,"75,337","2,910","2,633","2,560","2,695","4,138","2,172","3,322","3,201","1,801","2,978","4,192","1,971","1,952","2,923","2,129","2,705","4,310","3,722","2,301","2,905","5,936","5,142","6,739"
2020,3,60,"50,414","1,711","1,721","1,229","1,310","2,928","1,505","1,646","2,287","1,352","2,083","2,352","1,501","1,654","2,519","2,145","1,757","3,356","2,861","2,345","2,331","3,147","3,256","3,418"
2020,3,70,"28,302","1,131",963,717,826,"1,709",840,"1,001","1,649",837,"1,247","1,160",960,"1,005","1,483","1,326",791,"2,020","1,409","1,436",948,"1,496","1,598","1,750"
2020,3,80,"13,555",520,407,326,371,830,421,450,844,349,626,560,379,478,674,550,329,930,774,713,417,776,838,993
2020,3,90,"1,737",62,43,41,46,100,45,51,101,32,77,91,53,58,104,76,45,128,97,96,59,106,119,107
2020,3,100,97,5,2,8,1,3,2,2,4,6,7,6,0,3,7,7,3,5,2,4,3,5,5,7
2020,4,총,"428,125","16,668","15,566","16,547","18,862","23,631","11,726","20,633","19,007","12,410","15,496","24,673","11,409","11,568","16,952","13,250","14,340","23,017","19,606","11,928","15,921","31,975","28,208","34,732"
2020,4,0,"31,026","1,428","1,015","2,009","1,552","1,966",546,"1,437","1,379","1,199",926,"2,130",589,695,"1,092","1,093",974,"1,118","1,171",402,"1,149","2,394","2,088","2,674"
2020,4,10,"52,953","2,206","1,802","2,043","4,249","2,627","1,251","4,081","2,239","1,801","1,523","4,349",934,797,"1,365","1,018","1,208","2,039","1,939",762,"1,860","4,904","3,486","4,470"
2020,4,20,"55,920","2,060","2,392","2,112","1,843","3,010","1,942","2,455","2,283","1,258","2,164","2,739","1,790","1,462","2,093","1,294","2,224","3,348","2,617","1,450","1,985","4,497","3,892","5,010"
2020,4,30,"44,014","1,618","1,997","2,223","1,316","2,488","1,208","1,505","1,728","1,235","1,570","2,080","1,412","1,504","2,127","1,677","1,896","2,364","2,037",988,"1,588","2,870","2,991","3,592"
2020,4,40,"74,489","3,015","2,581","3,276","4,659","3,847","1,793","4,664","3,268","2,525","2,337","5,012","1,811","1,871","2,541","1,973","2,366","3,366","2,973","1,429","2,662","5,851","4,755","5,914"
2020,4,50,"75,395","2,918","2,638","2,556","2,704","4,132","2,170","3,337","3,211","1,814","2,969","4,193","1,979","2,003","2,926","2,099","2,721","4,311","3,702","2,284","2,904","5,925","5,145","6,754"
2020,4,60,"50,539","1,705","1,724","1,234","1,292","2,919","1,511","1,642","2,299","1,360","2,070","2,353","1,490","1,681","2,538","2,146","1,773","3,372","2,872","2,335","2,342","3,160","3,276","3,445"
2020,4,70,"28,359","1,131",963,713,835,"1,714",840,"1,007","1,644",832,"1,231","1,168",967,"1,008","1,488","1,314",796,"2,033","1,415","1,457",945,"1,495","1,609","1,754"
2020,4,80,"13,594",522,407,329,366,828,419,452,854,350,622,553,384,484,670,552,333,931,780,719,423,771,840,"1,005"
2020,4,90,"1,738",60,45,44,45,97,44,51,97,30,77,90,53,60,105,76,46,130,98,98,60,103,122,107
2020,4,100,98,5,2,8,1,3,2,2,5,6,7,6,0,3,7,8,3,5,2,4,3,5,4,7
2020,5,총,"427,436","16,643","15,505","16,524","18,920","23,583","11,682","20,558","18,975","12,369","15,413","24,590","11,391","11,817","16,947","13,184","14,364","22,954","19,543","11,877","15,825","31,946","28,169","34,657"
2020,5,0,"30,834","1,420","1,006","1,994","1,549","1,966",543,"1,418","1,363","1,193",917,"2,107",586,748,"1,081","1,081",970,"1,106","1,148",400,"1,127","2,373","2,077","2,661"
2020,5,10,"52,621","2,192","1,776","2,045","4,247","2,612","1,242","4,050","2,235","1,785","1,511","4,317",924,810,"1,356","1,010","1,200","2,025","1,930",754,"1,843","4,885","3,460","4,412"
2020,5,20,"55,844","2,056","2,385","2,098","1,859","2,996","1,926","2,476","2,271","1,254","2,154","2,740","1,799","1,497","2,106","1,279","2,231","3,320","2,605","1,446","1,969","4,497","3,889","4,991"
