년도,월,나이,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020,3,총,"187,587","10,658","12,321","18,216","10,690","19,114","9,191","16,094","8,965","11,281","8,700","8,697","4,423","5,352","9,216","10,140","6,417","6,435","11,677"
2020,3,0,"12,623",778,628,"1,542",612,"1,322",504,"1,574",624,869,339,590,167,380,529,998,242,251,674
2020,3,10,"11,762",649,414,"1,456",532,"1,120",475,"1,412",514,800,447,578,276,368,506,845,351,314,705
2020,3,20,"30,455","1,322","3,407","2,132","1,987","4,244","1,395","1,871","1,504","1,990","1,726","1,124",599,642,"1,581","1,405","1,001",959,"1,566"
2020,3,30,"32,367","1,602","2,822","2,969","2,031","4,034","1,592","2,974","2,059","2,420","1,277","1,221",484,680,"1,431","1,763",658,794,"1,556"
2020,3,40,"27,211","1,546","1,394","2,915","1,434","2,535","1,333","2,821","1,340","1,713","1,149","1,258",594,788,"1,258","1,672",890,870,"1,701"
2020,3,50,"27,796","1,808","1,357","2,638","1,548","2,408","1,447","2,009","1,036","1,491","1,256","1,497",830,944,"1,446","1,561","1,170","1,154","2,196"
2020,3,60,"23,297","1,535","1,146","2,166","1,352","1,835","1,170","1,822",958,"1,055","1,172","1,279",724,845,"1,326","1,058","1,046","1,024","1,784"
2020,3,70,"14,314",948,750,"1,465",774,993,822,"1,055",591,604,872,764,489,455,739,522,723,748,"1,000"
2020,3,80,"6,475",386,324,784,352,512,392,461,278,291,381,326,211,204,329,267,277,273,427
2020,3,90,"1,083",72,59,130,56,89,51,80,53,44,63,55,40,35,62,39,47,44,64
2020,3,100,204,12,20,19,12,22,10,15,8,4,18,5,9,11,9,10,12,4,4
2020,4,총,"187,779","10,624","12,400","18,209","10,635","19,085","9,144","16,266","8,941","11,272","8,660","8,676","4,418","5,649","9,147","10,216","6,399","6,406","11,632"
2020,4,0,"12,565",763,621,"1,533",602,"1,314",492,"1,589",614,868,331,584,168,409,524,996,238,250,669
