년도,월,나이,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021,10,100,9,3,0,0,0,0,0,1,0,0,0,0,1,1,3,0
2021,11,총,"57,269","3,944","6,666","2,041","2,090","1,500","1,760","1,793","3,128","1,229","3,134","1,715","2,119","1,034","17,376","7,740"
2021,11,0,"3,459",149,446,56,46,52,33,43,94,28,202,36,64,31,"1,593",586
2021,11,10,"4,891",311,539,89,119,77,87,75,176,65,230,66,93,61,"1,998",905
2021,11,20,"6,041",383,690,157,148,123,120,121,216,59,238,123,244,70,"2,401",948
2021,11,30,"5,443",271,671,135,141,123,101,118,177,74,292,101,177,58,"2,272",732
2021,11,40,"7,769",489,889,219,239,159,197,200,286,119,319,153,273,105,"2,900","1,222"
2021,11,50,"10,210",729,"1,113",346,394,282,365,359,637,249,565,328,409,193,"2,806","1,435"
2021,11,60,"10,528",839,"1,244",502,524,316,452,464,849,323,643,470,467,270,"2,048","1,117"
2021,11,70,"5,828",508,702,312,325,244,254,264,453,202,388,275,255,158,945,543
2021,11,80,"2,786",238,332,206,141,113,130,136,213,95,230,146,121,75,372,238
2021,11,90,307,26,40,19,13,11,21,12,27,15,27,16,15,13,38,14
2021,11,100,7,1,0,0,0,0,0,1,0,0,0,1,1,0,3,0
2021,12,총,"57,147","3,918","6,658","2,026","2,075","1,488","1,753","1,786","3,121","1,230","3,112","1,721","2,115","1,041","17,384","7,719"
2021,12,0,"3,424",149,445,53,46,47,32,40,92,27,192,36,60,31,"1,587",587
2021,12,10,"4,871",303,533,89,116,77,88,75,177,60,230,65,95,63,"1,995",905
2021,12,20,"6,016",376,699,157,149,124,119,124,208,61,235,128,242,71,"2,403",920
2021,12,30,"5,418",267,669,132,138,116,99,118,177,73,287,101,176,59,"2,275",731
2021,12,40,"7,743",489,888,214,234,160,199,199,283,117,309,154,273,106,"2,908","1,210"
2021,12,50,"10,190",720,"1,103",344,389,279,361,354,638,254,566,331,410,194,"2,806","1,441"
2021,12,60,"10,547",843,"1,247",499,526,320,453,470,853,323,646,466,468,271,"2,041","1,121"
2021,12,70,"5,810",503,700,312,321,241,250,263,448,205,387,277,250,160,949,544
2021,12,80,"2,809",240,335,206,144,113,131,130,218,95,231,145,125,73,377,246
2021,12,90,312,27,39,19,12,11,21,12,27,15,29,17,16,13,40,14
2021,12,100,7,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0
