년도,월,나이,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020,4,70,"5,620",483,690,293,307,230,246,255,447,207,403,288,239,150,869,513
2020,4,80,"2,787",237,342,209,158,115,128,125,222,89,234,141,132,82,346,227
2020,4,90,297,30,35,21,11,14,17,10,22,14,27,20,9,17,37,13
2020,4,100,24,7,1,0,1,1,0,0,1,1,1,1,1,0,6,3
2020,5,총,"58,911","4,149","6,934","2,127","2,206","1,543","1,825","1,856","3,217","1,258","3,274","1,782","2,132","1,103","17,381","8,124"
2020,5,0,"3,860",195,465,61,59,68,46,45,112,27,226,40,52,25,"1,743",696
2020,5,10,"5,181",365,578,95,130,78,94,80,180,57,244,73,108,69,"2,045",985
2020,5,20,"6,572",423,778,176,173,122,121,163,245,68,275,138,279,85,"2,480","1,046"
2020,5,30,"5,816",307,721,161,157,130,116,129,202,75,290,103,163,75,"2,377",810
2020,5,40,"8,426",536,968,242,263,179,233,232,343,158,383,187,300,125,"2,926","1,351"
2020,5,50,"10,511",775,"1,192",386,438,285,392,405,680,241,586,325,432,203,"2,709","1,462"
2020,5,60,"9,779",789,"1,165",477,504,318,432,413,760,321,603,466,413,273,"1,832","1,013"
2020,5,70,"5,664",487,692,297,311,236,247,255,449,208,406,289,242,149,881,515
2020,5,80,"2,781",235,339,211,159,113,128,125,223,87,233,140,132,82,344,230
2020,5,90,297,30,35,21,11,13,16,9,22,15,27,20,10,17,38,13
2020,5,100,24,7,1,0,1,1,0,0,1,1,1,1,1,0,6,3
2020,6,총,"58,862","4,133","6,932","2,111","2,212","1,547","1,817","1,856","3,214","1,262","3,268","1,779","2,126","1,102","17,395","8,108"
2020,6,0,"3,839",191,465,59,60,68,44,45,110,27,228,40,51,27,"1,737",687
2020,6,10,"5,163",357,579,95,125,77,92,80,181,59,246,74,106,67,"2,044",981
2020,6,20,"6,526",420,772,175,174,119,123,162,243,65,267,143,271,84,"2,460","1,048"
2020,6,30,"5,844",307,725,156,162,137,116,132,197,78,291,101,164,75,"2,391",812
2020,6,40,"8,379",537,968,240,263,178,229,232,340,156,378,184,292,122,"2,922","1,338"
2020,6,50,"10,493",771,"1,185",377,442,282,388,400,682,244,582,321,437,206,"2,711","1,465"
2020,6,60,"9,833",791,"1,165",480,501,326,432,419,764,318,607,468,418,273,"1,851","1,020"
2020,6,70,"5,680",488,694,297,314,233,250,253,451,211,406,287,242,150,890,514
2020,6,80,"2,783",235,341,211,159,113,127,124,222,87,236,139,134,82,345,228
2020,6,90,300,29,37,21,11,13,16,9,23,16,26,21,10,16,39,13
2020,6,100,22,7,1,0,1,1,0,0,1,1,1,1,1,0,5,2
2020,7,총,"58,763","4,123","6,909","2,103","2,206","1,549","1,820","1,860","3,206","1,261","3,256","1,776","2,113","1,099","17,401","8,081"
2020,7,0,"3,808",184,463,58,58,67,43,47,109,27,226,38,50,27,"1,730",681
2020,7,10,"5,162",359,571,96,125,78,94,79,182,59,239,73,105,67,"2,053",982
2020,7,20,"6,485",418,768,172,171,116,119,162,238,65,266,145,266,82,"2,458","1,039"
2020,7,30,"5,825",303,726,156,163,139,117,133,195,77,291,100,162,75,"2,375",813
2020,7,40,"8,354",534,963,238,259,176,222,231,340,154,378,186,290,122,"2,929","1,332"
2020,7,50,"10,462",766,"1,173",375,442,281,398,398,676,247,576,319,437,206,"2,713","1,455"
2020,7,60,"9,846",797,"1,173",480,499,326,428,420,768,317,603,466,414,272,"1,870","1,013"
2020,7,70,"5,724",492,696,299,319,238,255,259,453,210,411,287,242,151,889,523
2020,7,80,"2,771",234,337,209,158,113,127,122,222,88,239,139,134,81,340,228
2020,7,90,305,29,38,20,11,14,17,9,22,16,26,22,12,16,40,13
2020,7,100,21,7,1,0,1,1,0,0,1,1,1,1,1,0,4,2
