년도,월,나이,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020,1,총,"203,864","16,274","6,201","23,419","14,975","13,329","15,084","16,772","12,233","14,373","13,192","7,676","6,568","20,810","12,347","10,611"
2020,1,0,"12,944","1,045",180,"1,614","1,166",686,937,"1,188",451,924,"1,107",391,441,"1,235",807,772
2020,1,10,"14,271","1,016",312,"1,667",983,870,939,"1,087",457,791,788,399,446,"2,265","1,370",881
2020,1,20,"33,988","2,662","1,044","4,669","2,352","2,283","2,337","2,474","2,936","1,953","1,873","1,357",996,"3,474","1,699","1,879"
2020,1,30,"31,589","2,501",771,"3,349","2,605","2,105","2,390","2,445","2,317","2,377","2,213","1,278","1,055","2,870","1,560","1,753"
2020,1,40,"30,162","2,153",715,"3,346","2,262","1,945","2,245","2,441","1,439","2,069","1,915","1,053","1,005","3,639","2,237","1,698"
2020,1,50,"30,876","2,496","1,155","3,428","2,173","2,073","2,405","2,736","1,769","2,290","2,000","1,153","1,042","2,907","1,858","1,391"
2020,1,60,"25,699","2,183","1,034","2,665","1,758","1,697","1,946","2,090","1,639","2,087","1,816","1,088",828,"2,238","1,487","1,143"
2020,1,70,"16,076","1,383",654,"1,712","1,078","1,132","1,232","1,434",913,"1,273","1,050",651,501,"1,418",875,770
2020,1,80,"6,815",687,271,793,500,445,574,707,253,494,342,250,204,639,380,276
2020,1,90,"1,236",126,57,153,80,84,72,135,53,94,74,51,40,108,70,39
2020,1,100,208,22,8,23,18,9,7,35,6,21,14,5,10,17,4,9
2020,2,총,"203,768","16,249","6,174","23,463","14,914","13,320","15,067","16,799","12,255","14,369","13,198","7,648","6,600","20,791","12,319","10,602"
