년도,월,나이,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020,1,총,"24,587","7,153","1,427","3,443",375,"1,382","1,232",861,"3,387","3,738",628,961
2020,1,0,"1,526",616,40,371,6,66,27,20,158,190,10,22
2020,1,10,"2,166",929,198,253,15,67,48,44,226,319,23,44
2020,1,20,"2,657",853,103,442,33,127,131,69,428,381,28,62
2020,1,30,"2,465",767,97,616,14,97,73,44,375,300,31,51
2020,1,40,"3,618","1,228",144,539,50,191,104,94,525,550,76,117
2020,1,50,"4,725","1,265",272,580,102,288,267,155,680,757,162,197
2020,1,60,"3,783",809,233,352,71,271,272,180,556,683,147,209
2020,1,70,"2,432",443,217,212,52,159,190,158,317,428,98,158
2020,1,80,"1,127",225,114,75,31,109,111,89,114,120,46,93
2020,1,90,86,18,9,3,1,7,9,8,7,10,6,8
2020,1,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,2,총,"24,536","7,131","1,413","3,441",372,"1,389","1,229",856,"3,377","3,728",631,969
2020,2,0,"1,515",611,40,365,6,67,27,19,159,188,11,22
2020,2,10,"2,157",920,193,251,14,68,47,43,233,320,23,45
2020,2,20,"2,624",845,104,435,30,127,129,67,422,377,26,62
2020,2,30,"2,460",763,94,624,16,100,74,44,366,295,31,53
2020,2,40,"3,601","1,230",141,539,48,190,101,93,519,546,75,119
2020,2,50,"4,705","1,254",269,581,102,288,267,153,678,754,161,198
2020,2,60,"3,809",812,236,358,73,272,270,179,560,685,153,211
2020,2,70,"2,446",453,214,210,51,158,192,161,319,432,97,159
2020,2,80,"1,132",225,113,76,31,111,114,89,112,121,47,93
2020,2,90,85,18,9,2,1,8,8,8,8,10,6,7
2020,2,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,3,총,"24,487","7,103","1,406","3,470",368,"1,384","1,229",861,"3,346","3,729",628,963
2020,3,0,"1,508",612,41,368,4,68,27,19,148,189,11,21
2020,3,10,"2,128",905,184,250,14,65,46,41,233,320,24,46
2020,3,20,"2,640",846,104,447,30,130,127,67,425,383,24,57
2020,3,30,"2,429",757,98,625,16,101,75,47,344,285,30,51
2020,3,40,"3,561","1,210",138,539,46,185,100,92,513,548,71,119
2020,3,50,"4,711","1,269",268,587,99,283,268,155,679,744,161,198
2020,3,60,"3,831",806,237,363,77,272,267,182,566,695,155,211
2020,3,70,"2,450",456,210,213,49,160,195,160,319,431,98,159
2020,3,80,"1,137",225,117,76,32,111,115,90,110,123,46,92
2020,3,90,90,17,9,2,1,9,9,8,8,11,7,9
2020,3,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,4,총,"24,410","7,086","1,398","3,480",368,"1,378","1,223",858,"3,325","3,708",627,959
2020,4,0,"1,495",603,39,371,4,67,27,19,142,189,11,23
2020,4,10,"2,107",890,179,254,14,66,46,41,233,313,24,47
2020,4,20,"2,642",859,103,439,27,132,129,66,428,380,23,56
2020,4,30,"2,408",758,98,628,18,96,74,46,327,281,30,52
2020,4,40,"3,536","1,198",139,540,45,182,97,88,513,549,68,117
2020,4,50,"4,683","1,271",265,590,100,285,264,155,669,729,159,196
2020,4,60,"3,846",806,241,367,76,271,267,184,572,694,160,208
2020,4,70,"2,456",457,208,211,49,160,195,160,322,437,98,159
2020,4,80,"1,147",228,118,78,34,110,115,91,110,125,45,93
2020,4,90,88,16,8,2,1,9,9,8,8,11,8,8
2020,4,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,5,총,"24,399","7,086","1,407","3,485",368,"1,372","1,218",854,"3,332","3,697",625,955
2020,5,0,"1,499",598,40,376,4,69,27,19,144,188,10,24
2020,5,10,"2,093",885,186,250,13,63,47,38,235,306,24,46
2020,5,20,"2,641",865,102,443,28,133,127,67,426,374,23,53
2020,5,30,"2,402",749,97,628,18,94,73,45,333,281,29,55
2020,5,40,"3,514","1,205",141,541,45,177,95,86,504,542,65,113
2020,5,50,"4,669","1,263",265,587,99,284,258,156,673,729,158,197
2020,5,60,"3,869",815,242,364,77,273,271,185,577,696,162,207
2020,5,70,"2,473",462,208,217,50,159,194,157,321,442,100,163
2020,5,80,"1,150",228,119,77,33,111,118,93,109,127,45,90
2020,5,90,87,16,7,2,1,9,8,8,9,12,8,7
2020,5,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,6,총,"24,430","7,088","1,422","3,488",368,"1,366","1,218",852,"3,357","3,693",620,958
2020,6,0,"1,498",591,40,380,4,68,27,19,150,186,10,23
2020,6,10,"2,111",888,203,251,13,62,47,38,235,303,23,48
2020,6,20,"2,658",869,106,442,28,134,125,66,430,381,24,53
2020,6,30,"2,395",739,98,622,18,94,75,45,344,276,28,56
2020,6,40,"3,487","1,202",141,540,45,175,91,82,498,537,60,116
2020,6,50,"4,679","1,274",262,585,97,284,258,157,681,726,160,195
2020,6,60,"3,895",822,240,371,78,273,273,189,581,701,161,206
2020,6,70,"2,467",460,207,217,51,157,195,155,318,445,99,163
2020,6,80,"1,146",227,117,78,33,110,117,93,109,126,45,91
2020,6,90,92,16,8,2,1,9,10,8,10,12,9,7
2020,6,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,7,총,"24,409","7,071","1,417","3,489",369,"1,367","1,212",849,"3,344","3,706",622,963
2020,7,0,"1,509",589,39,389,4,70,27,20,151,187,11,22
2020,7,10,"2,093",881,202,246,13,60,46,37,230,307,23,48
2020,7,20,"2,652",866,106,436,28,135,122,67,431,383,24,54
2020,7,30,"2,387",737,96,620,18,91,74,40,342,284,29,56
2020,7,40,"3,464","1,186",142,543,44,178,91,78,495,532,60,115
2020,7,50,"4,680","1,284",262,584,99,282,256,159,671,723,160,200
2020,7,60,"3,914",824,235,375,78,275,273,189,586,709,162,208
2020,7,70,"2,465",460,207,215,50,158,196,158,318,441,98,164
2020,7,80,"1,152",228,119,79,34,110,117,92,110,129,45,89
2020,7,90,91,16,9,2,1,8,10,9,9,11,9,7
2020,7,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,8,총,"24,399","7,072","1,410","3,494",369,"1,372","1,208",850,"3,342","3,702",625,955
2020,8,0,"1,499",588,41,386,4,69,26,20,148,184,11,22
2020,8,10,"2,072",872,196,249,13,61,44,37,227,303,23,47
2020,8,20,"2,649",866,104,436,29,131,123,68,432,381,26,53
2020,8,30,"2,376",734,96,619,18,94,71,40,333,287,28,56
2020,8,40,"3,468","1,187",144,544,44,182,91,77,500,526,60,113
2020,8,50,"4,682","1,293",253,587,99,277,254,160,672,728,159,200
2020,8,60,"3,933",825,239,376,77,282,275,189,591,711,164,204
2020,8,70,"2,475",463,209,216,51,159,197,157,319,441,99,164
2020,8,80,"1,148",227,119,79,33,108,116,93,109,131,44,89
2020,8,90,95,17,9,2,1,9,11,9,10,10,10,7
2020,8,100,2,0,0,0,0,0,0,0,1,0,1,0
2020,9,총,"24,436","7,096","1,419","3,496",370,"1,375","1,214",852,"3,334","3,701",625,954
2020,9,0,"1,511",591,39,395,4,70,26,20,149,185,11,21
2020,9,10,"2,056",863,204,244,12,60,43,34,221,304,23,48
2020,9,20,"2,670",880,108,438,31,128,129,70,430,376,26,54
2020,9,30,"2,369",736,93,613,18,97,72,38,334,287,27,54
2020,9,40,"3,467","1,190",143,541,46,180,92,81,491,526,62,115
