년도,월,나이,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020,12,50,"5,250",774,258,168,408,143,50,151,57,47,748,"1,089",685,672
2020,12,60,"5,590",915,332,176,577,162,78,203,90,71,853,715,676,742
2020,12,70,"4,008",693,302,186,494,98,76,181,71,65,554,372,462,454
2020,12,80,"2,648",413,240,102,411,69,58,156,46,53,325,198,276,301
2020,12,90,470,49,42,22,89,11,18,31,11,8,46,42,52,49
2020,12,100,39,11,5,0,6,0,0,1,1,1,2,5,6,1
2021,1,총,"32,110","5,007","1,589",869,"2,516",604,327,893,341,308,"3,936","7,171","4,461","4,088"
2021,1,0,"1,885",171,44,21,47,12,5,20,2,8,140,819,324,272
2021,1,10,"2,444",397,71,27,81,15,4,24,14,6,242,827,374,362
2021,1,20,"3,124",837,80,59,127,32,10,30,11,12,320,815,462,329
2021,1,30,"2,635",272,81,32,110,22,9,40,11,16,258,985,449,350
2021,1,40,"3,996",470,137,79,170,41,17,57,27,17,447,"1,282",694,558
2021,1,50,"5,233",776,255,162,408,143,51,150,57,51,739,"1,096",682,663
2021,1,60,"5,621",913,331,181,576,162,79,203,91,71,865,725,676,748
2021,1,70,"3,995",695,301,183,483,96,75,180,70,65,554,376,468,449
2021,1,80,"2,662",418,240,104,412,70,58,155,47,53,325,199,273,308
2021,1,90,473,46,44,21,95,11,19,33,10,8,44,42,52,48
2021,1,100,42,12,5,0,7,0,0,1,1,1,2,5,7,1
2021,2,총,"32,010","4,952","1,583",867,"2,518",603,325,892,340,306,"3,926","7,152","4,458","4,088"
2021,2,0,"1,868",168,42,22,49,11,4,19,2,8,137,816,325,265
2021,2,10,"2,438",383,71,28,80,15,5,24,14,7,240,826,377,368
2021,2,20,"3,072",808,75,58,123,31,10,30,11,12,321,810,456,327
2021,2,30,"2,597",263,78,33,105,22,8,41,11,16,259,969,448,344
2021,2,40,"3,981",464,141,76,171,41,17,58,27,15,441,"1,275",692,563
2021,2,50,"5,219",777,254,162,408,140,52,146,56,51,734,"1,099",681,659
2021,2,60,"5,636",915,332,180,581,165,78,204,91,72,868,728,673,749
2021,2,70,"4,005",699,302,183,479,97,74,179,71,65,553,380,472,451
2021,2,80,"2,678",418,239,104,417,70,58,157,46,52,329,201,275,312
2021,2,90,475,45,44,21,98,11,19,33,10,8,42,43,52,49
2021,2,100,41,12,5,0,7,0,0,1,1,0,2,5,7,1
2021,3,총,"31,827","4,879","1,577",860,"2,487",594,323,882,332,304,"3,889","7,163","4,453","4,084"
2021,3,0,"1,858",167,41,22,48,9,4,18,2,7,135,816,325,264
2021,3,10,"2,436",393,71,28,82,16,5,25,14,8,236,823,374,361
2021,3,20,"3,092",816,74,58,122,32,9,28,11,12,321,812,457,340
2021,3,30,"2,572",247,77,32,101,20,8,41,11,15,259,975,447,339
2021,3,40,"3,950",455,140,73,169,39,18,55,26,16,435,"1,272",688,564
2021,3,50,"5,123",740,250,160,395,136,50,145,49,50,717,"1,094",675,662
2021,3,60,"5,646",907,334,181,584,164,78,205,93,71,861,740,683,745
2021,3,70,"3,968",688,300,179,464,96,74,175,70,66,552,380,472,452
2021,3,80,"2,684",416,241,107,417,72,58,159,46,51,328,202,276,311
2021,3,90,474,47,44,20,100,10,19,31,10,8,43,44,52,46
2021,3,100,24,3,5,0,5,0,0,0,0,0,2,5,4,0
2021,4,총,"31,823","4,941","1,572",865,"2,485",588,320,886,333,306,"3,871","7,139","4,455","4,062"
2021,4,0,"1,835",164,39,24,47,8,4,18,2,7,134,807,320,261
2021,4,10,"2,502",459,71,28,83,16,5,25,14,8,230,824,380,359
2021,4,20,"3,079",822,73,55,124,31,9,29,10,11,316,809,455,335
2021,4,30,"2,549",244,75,33,98,20,8,40,12,15,262,964,443,335
2021,4,40,"3,938",450,135,78,172,33,18,54,27,17,430,"1,270",688,566
2021,4,50,"5,090",743,247,157,391,136,46,145,47,49,707,"1,091",679,652
2021,4,60,"5,679",905,342,184,592,165,79,206,94,74,863,743,685,747
2021,4,70,"3,970",687,297,180,462,97,75,175,70,65,554,381,474,453
2021,4,80,"2,669",416,243,108,407,69,57,163,47,52,328,200,274,305
2021,4,90,487,48,45,18,104,13,19,31,10,8,45,45,53,48
2021,4,100,25,3,5,0,5,0,0,0,0,0,2,5,4,1
2021,5,총,"31,713","4,908","1,556",860,"2,485",589,325,883,333,305,"3,856","7,121","4,439","4,053"
2021,5,0,"1,817",162,39,23,48,8,5,18,2,7,129,807,314,255
2021,5,10,"2,485",452,68,28,82,16,5,25,13,7,228,820,385,356
2021,5,20,"3,080",818,75,53,124,31,10,28,11,11,319,815,449,336
2021,5,30,"2,510",237,70,33,98,22,8,39,11,15,258,953,433,333
2021,5,40,"3,905",444,135,76,169,33,18,54,27,16,431,"1,258",688,556
2021,5,50,"5,071",743,242,155,391,129,46,143,46,49,700,"1,099",672,656
2021,5,60,"5,693",898,340,183,597,171,82,208,96,75,859,742,690,752
2021,5,70,"3,961",683,299,180,458,95,74,173,70,65,556,381,474,453
2021,5,80,"2,683",420,239,111,410,71,58,165,47,52,329,199,277,305
2021,5,90,486,48,44,18,103,13,19,30,10,8,45,45,53,50
2021,5,100,22,3,5,0,5,0,0,0,0,0,2,2,4,1
2021,6,총,"31,693","4,879","1,549",858,"2,487",588,330,881,337,303,"3,845","7,132","4,455","4,049"
2021,6,0,"1,809",160,37,23,48,8,5,18,2,7,129,802,316,254
2021,6,10,"2,467",428,68,28,81,18,6,25,13,7,229,822,387,355
2021,6,20,"3,067",814,74,53,123,31,10,27,12,10,312,816,448,337
2021,6,30,"2,501",234,69,31,99,20,8,38,12,14,256,954,434,332
2021,6,40,"3,892",444,132,77,163,32,17,55,27,16,429,"1,261",686,553
2021,6,50,"5,064",737,240,155,392,129,49,143,47,49,698,"1,099",674,652
2021,6,60,"5,730",908,340,181,604,171,82,207,97,76,863,750,698,753
2021,6,70,"3,948",679,299,180,458,93,76,172,69,65,549,382,472,454
2021,6,80,"2,701",424,240,111,410,73,58,165,48,51,332,200,282,307
2021,6,90,492,48,45,19,104,13,19,31,10,8,46,44,54,51
2021,6,100,22,3,5,0,5,0,0,0,0,0,2,2,4,1
2021,7,총,"31,647","4,847","1,547",857,"2,482",588,330,876,338,303,"3,846","7,128","4,464","4,041"
2021,7,0,"1,796",157,40,22,49,8,5,18,1,7,125,794,318,252
2021,7,10,"2,451",413,66,29,81,17,6,24,14,7,230,828,382,354
2021,7,20,"3,046",804,77,51,119,31,10,25,12,10,312,808,449,338
2021,7,30,"2,490",233,67,30,100,20,8,39,12,13,255,950,432,331
2021,7,40,"3,884",438,132,76,165,31,16,55,27,17,430,"1,265",677,555
2021,7,50,"5,057",733,240,156,387,131,49,140,49,49,695,"1,102",681,645
2021,7,60,"5,768",914,340,184,607,172,83,208,96,77,867,757,709,754
2021,7,70,"3,935",679,299,180,453,93,75,173,69,63,553,378,473,447
2021,7,80,"2,706",423,238,110,412,72,59,163,48,52,332,200,285,312
2021,7,90,491,50,43,19,104,13,19,31,10,8,44,44,54,52
2021,7,100,23,3,5,0,5,0,0,0,0,0,3,2,4,1
2021,8,총,"31,575","4,815","1,538",854,"2,477",591,326,873,337,304,"3,839","7,121","4,449","4,051"
2021,8,0,"1,776",155,38,22,47,7,5,18,1,7,118,790,319,249
2021,8,10,"2,427",401,64,29,82,17,6,20,14,7,233,822,376,356
2021,8,20,"3,031",800,75,52,118,33,10,27,12,9,311,806,441,337
2021,8,30,"2,477",228,68,30,101,20,8,39,11,14,248,953,428,329
2021,8,40,"3,864",438,128,74,165,30,14,53,27,16,427,"1,259",672,561
2021,8,50,"5,045",720,241,156,383,130,49,138,49,50,691,"1,105",688,645
2021,8,60,"5,792",914,341,184,609,175,82,211,96,78,877,759,708,758
2021,8,70,"3,939",680,298,180,453,93,75,173,69,63,557,381,471,446
2021,8,80,"2,714",425,238,109,413,73,58,164,48,52,329,201,287,317
2021,8,90,487,51,42,18,101,13,19,30,10,8,45,43,55,52
2021,8,100,23,3,5,0,5,0,0,0,0,0,3,2,4,1
2021,9,총,"31,586","4,887","1,534",847,"2,466",592,324,871,334,302,"3,823","7,119","4,430","4,057"
2021,9,0,"1,769",153,37,22,50,7,4,17,1,6,115,789,318,250
2021,9,10,"2,472",452,65,29,83,17,6,20,14,6,231,821,369,359
2021,9,20,"3,042",823,70,51,117,32,10,26,12,9,308,811,437,336
2021,9,30,"2,451",221,70,29,100,21,8,37,10,13,237,947,429,329
2021,9,40,"3,864",439,125,72,167,28,14,55,27,15,423,"1,264",669,566
2021,9,50,"5,025",717,244,150,372,130,47,139,49,50,698,"1,094",688,647
2021,9,60,"5,815",920,343,188,612,178,84,212,94,79,875,766,707,757
2021,9,70,"3,922",683,298,178,446,93,74,172,69,61,559,379,469,441
2021,9,80,"2,717",423,236,110,416,73,59,162,48,55,329,203,284,319
2021,9,90,486,53,41,18,98,13,18,31,10,8,45,43,56,52
2021,9,100,23,3,5,0,5,0,0,0,0,0,3,2,4,1
2021,10,총,"31,561","4,898","1,531",847,"2,462",593,323,868,329,303,"3,811","7,123","4,415","4,058"
2021,10,0,"1,759",154,37,22,48,7,4,17,1,6,117,785,312,249
2021,10,10,"2,474",458,64,28,83,17,5,20,12,6,232,823,364,362
2021,10,20,"3,055",836,72,51,115,32,11,26,12,11,302,816,435,336
2021,10,30,"2,430",221,68,31,100,22,8,36,9,12,234,940,424,325
2021,10,40,"3,851",435,125,68,164,29,14,54,25,16,422,"1,264",666,569
2021,10,50,"5,005",708,243,150,374,128,47,138,48,50,695,"1,094",690,640
2021,10,60,"5,847",923,341,190,619,179,84,213,94,79,868,775,716,766
2021,10,70,"3,907",681,295,178,442,94,73,172,68,60,563,375,467,439
2021,10,80,"2,727",427,240,111,415,73,59,161,50,54,327,206,286,318
2021,10,90,485,52,41,18,97,12,18,31,10,8,48,43,54,53
2021,10,100,21,3,5,0,5,0,0,0,0,1,3,2,1,1
2021,11,총,"31,507","4,886","1,534",849,"2,449",593,326,868,329,302,"3,802","7,099","4,411","4,059"
2021,11,0,"1,745",150,38,22,47,7,4,16,1,6,116,776,311,251
2021,11,10,"2,460",443,64,29,79,16,5,21,12,6,232,823,366,364
2021,11,20,"3,038",844,71,52,108,33,11,27,12,11,299,808,429,333
2021,11,30,"2,426",221,65,31,103,22,8,36,8,12,238,926,427,329
2021,11,40,"3,859",430,128,68,162,30,15,53,25,16,413,"1,271",668,580
2021,11,50,"4,984",702,244,151,374,126,48,138,47,49,696,"1,091",692,626
2021,11,60,"5,870",933,342,192,621,180,85,214,96,80,869,777,712,769
2021,11,70,"3,891",675,295,173,445,94,73,169,66,61,563,375,468,434
2021,11,80,"2,728",432,241,112,411,73,58,164,52,53,323,208,282,319
2021,11,90,488,53,41,19,94,12,19,30,10,8,51,43,55,53
2021,11,100,18,3,5,0,5,0,0,0,0,0,2,1,1,1
2021,12,총,"31,386","4,819","1,525",847,"2,451",595,325,863,327,306,"3,798","7,081","4,398","4,051"
2021,12,0,"1,729",150,37,20,48,7,4,16,1,6,116,771,310,243
2021,12,10,"2,446",429,60,29,79,17,5,21,12,6,229,820,367,372
2021,12,20,"2,974",804,73,51,104,32,11,27,11,11,297,806,422,325
2021,12,30,"2,398",219,64,31,105,23,8,34,7,12,238,913,416,328
2021,12,40,"3,862",426,125,71,163,32,15,53,25,16,416,"1,267",672,581
2021,12,50,"4,969",694,244,150,372,126,48,136,47,50,697,"1,093",687,625
2021,12,60,"5,886",935,345,191,621,178,84,216,95,82,863,784,715,777
2021,12,70,"3,879",673,294,171,446,94,73,167,66,61,563,377,468,426
2021,12,80,"2,742",435,238,115,414,74,60,164,52,54,325,206,284,321
2021,12,90,485,52,42,18,93,12,17,29,11,8,52,43,56,52
2021,12,100,16,2,3,0,6,0,0,0,0,0,2,1,1,1
