년도,월,나이,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면,경상북도 군위군 삼국유사면
2020,1,총,"12,150","4,352","1,170","1,960","1,054","1,061","1,206",630,717,
2020,1,0,404,254,20,52,24,13,15,14,12,
2020,1,10,571,340,28,63,38,33,40,14,15,
2020,1,20,995,463,68,170,91,71,74,20,38,
2020,1,30,846,392,64,104,70,64,75,39,38,
2020,1,40,"1,367",620,102,208,95,110,117,62,53,
2020,1,50,"2,529",854,259,419,244,217,238,140,158,
2020,1,60,"2,664",714,270,503,240,262,295,160,220,
2020,1,70,"1,845",489,216,308,165,185,221,119,142,
2020,1,80,868,207,133,127,78,100,124,59,40,
2020,1,90,60,18,10,6,9,6,7,3,1,
2020,1,100,1,1,0,0,0,0,0,0,0,
2020,2,총,"12,151","4,351","1,174","1,959","1,049","1,060","1,207",629,722,
2020,2,0,403,257,18,51,24,13,13,14,13,
2020,2,10,563,340,29,58,37,33,39,13,14,
2020,2,20,995,458,67,173,92,69,75,22,39,
2020,2,30,827,380,64,102,68,63,74,40,36,
2020,2,40,"1,370",620,106,209,91,112,117,61,54,
2020,2,50,"2,525",853,260,420,240,214,239,137,162,
2020,2,60,"2,687",724,272,507,246,261,296,160,221,
2020,2,70,"1,843",492,215,306,161,187,224,119,139,
2020,2,80,874,208,132,127,81,101,123,59,43,
2020,2,90,63,18,11,6,9,7,7,4,1,
2020,2,100,1,1,0,0,0,0,0,0,0,
2020,3,총,"12,069","4,326","1,166","1,956","1,040","1,048","1,197",617,719,
2020,3,0,394,252,18,50,22,13,14,12,13,
2020,3,10,558,339,28,61,38,30,38,12,12,
2020,3,20,974,443,67,172,90,71,70,21,40,
2020,3,30,813,380,64,101,64,58,71,39,36,
2020,3,40,"1,350",614,103,204,90,108,121,58,52,
2020,3,50,"2,501",847,253,418,238,212,235,138,160,
2020,3,60,"2,694",731,276,505,246,261,296,156,223,
2020,3,70,"1,839",489,213,312,159,188,224,119,135,
2020,3,80,881,211,133,127,84,100,121,58,47,
2020,3,90,64,19,11,6,9,7,7,4,1,
2020,3,100,1,1,0,0,0,0,0,0,0,
2020,4,총,"12,018","4,295","1,161","1,960","1,040","1,041","1,187",615,719,
2020,4,0,391,250,17,50,23,13,14,12,12,
2020,4,10,548,331,28,63,36,28,37,12,13,
2020,4,20,973,445,65,173,90,73,67,20,40,
2020,4,30,795,372,63,99,60,56,68,40,37,
2020,4,40,"1,340",607,100,205,94,106,120,56,52,
2020,4,50,"2,478",842,254,415,234,207,232,138,156,
2020,4,60,"2,692",726,277,504,250,262,292,157,224,
2020,4,70,"1,852",488,212,317,161,190,229,119,136,
2020,4,80,885,215,134,128,84,99,120,57,48,
2020,4,90,63,18,11,6,8,7,8,4,1,
2020,4,100,1,1,0,0,0,0,0,0,0,
2020,5,총,"11,983","4,286","1,152","1,956","1,044","1,034","1,183",611,717,
2020,5,0,388,248,17,49,23,13,14,12,12,
2020,5,10,538,326,29,61,34,26,37,12,13,
2020,5,20,965,444,63,173,89,69,67,20,40,
2020,5,30,790,373,59,99,63,55,65,40,36,
2020,5,40,"1,324",602,97,202,92,106,119,55,51,
2020,5,50,"2,470",839,255,412,240,206,230,136,152,
2020,5,60,"2,694",728,276,506,248,264,290,154,228,
2020,5,70,"1,860",492,210,320,161,187,234,121,135,
2020,5,80,887,215,135,128,85,101,119,56,48,
2020,5,90,66,18,11,6,9,7,8,5,2,
