년도,월,나이,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020,9,30,"26,991",438,320,307,159,570,708,"2,162","1,243",607,779,"1,772",453,403,"1,281",833,982,371,860,606,825,"1,570",862,594,673,92,"1,773","2,896","2,852"
2020,9,40,"33,996",240,427,294,155,558,664,"2,866","1,707",819,"1,062","1,889",608,465,"1,284","1,360","1,274",494,"1,111",792,"1,271","3,317","1,277",845,780,100,"2,016","3,260","3,061"
2020,9,50,"36,921",308,478,329,241,628,877,"3,482","1,666","1,085","1,367","2,038",933,431,"1,680","1,631","1,470",715,"1,561","1,372","1,307","2,815","1,340","1,094","1,353",247,"1,617","2,971","1,885"
2020,9,60,"27,537",324,519,347,273,659,832,"2,311","1,380","1,111","1,011","1,480","1,125",417,"1,474","1,091","1,140",726,"1,388","1,415",720,"1,146",773,752,"1,074",266,946,"1,836","1,001"
2020,9,70,"16,128",246,409,276,207,468,592,"1,245",620,660,469,699,792,285,905,553,733,471,786,980,385,709,406,428,628,212,549,978,437
2020,9,80,"7,738",101,181,104,92,154,266,528,236,270,251,306,373,131,452,273,323,202,332,558,175,415,238,195,404,138,351,489,200
2020,9,90,"1,346",18,23,12,30,34,47,81,54,42,48,58,68,28,77,45,54,36,61,81,36,60,41,34,64,30,64,81,39
2020,9,100,106,4,2,6,3,5,9,4,4,3,3,1,10,2,9,1,1,3,4,6,0,1,3,6,2,3,5,4,2
2020,10,총,"217,446","2,441","3,387","2,380","1,529","4,039","5,653","19,128","10,180","6,239","7,012","11,875","5,531","3,041","9,685","8,446","8,566","4,004","8,347","7,283","7,000","15,614","7,249","5,680","6,523","1,284","11,220","19,015","15,095"
2020,10,0,"16,632",129,136,126,41,269,228,"1,292",889,320,472,"1,091",199,275,740,580,582,144,472,250,466,"1,175",603,346,276,37,"1,325","1,919","2,250"
2020,10,10,"20,447",91,239,143,66,268,347,"1,771","1,119",467,668,"1,094",319,266,685,940,737,326,675,417,759,"2,170",800,513,363,55,"1,225","2,072","1,852"
2020,10,20,"29,756",545,660,434,272,458,"1,090","3,371","1,253",853,933,"1,451",666,346,"1,100","1,160","1,284",517,"1,127",808,"1,052","2,232",911,888,921,111,"1,331","2,485","1,497"
2020,10,30,"26,856",437,318,310,154,564,707,"2,158","1,240",609,777,"1,759",450,399,"1,285",823,972,358,857,600,817,"1,559",855,586,672,91,"1,777","2,896","2,826"
2020,10,40,"33,853",244,424,293,152,550,666,"2,851","1,703",813,"1,041","1,891",599,458,"1,269","1,347","1,268",500,"1,094",783,"1,277","3,296","1,272",845,772,102,"2,015","3,258","3,070"
2020,10,50,"36,830",305,474,330,236,618,872,"3,489","1,658","1,084","1,341","2,029",930,429,"1,681","1,633","1,455",713,"1,546","1,370","1,297","2,837","1,338","1,083","1,338",243,"1,618","2,976","1,907"
2020,10,60,"27,702",323,519,341,275,653,829,"2,331","1,393","1,118","1,012","1,496","1,127",418,"1,474","1,090","1,152",723,"1,403","1,423",738,"1,163",784,755,"1,086",265,951,"1,846","1,014"
2020,10,70,"16,155",244,412,280,208,466,596,"1,250",632,652,471,704,791,286,909,554,730,478,777,984,383,705,406,428,627,209,555,984,434
2020,10,80,"7,758",102,180,105,93,155,264,531,233,280,248,304,371,135,454,273,331,204,331,556,173,415,236,195,401,139,355,492,202
2020,10,90,"1,349",17,23,12,29,33,46,80,56,40,46,55,69,27,79,45,54,38,61,84,38,61,41,35,65,28,63,83,41
2020,10,100,108,4,2,6,3,5,8,4,4,3,3,1,10,2,9,1,1,3,4,8,0,1,3,6,2,4,5,4,2
