년도,월,나이,고성군,간성읍,거진읍,현내면,죽왕면,토성면,수동면
2020,1,총,"13,114","3,432","3,236","1,237","1,829","3,380",0
2020,1,0,650,277,118,32,90,133,0
2020,1,10,802,276,189,49,92,196,0
2020,1,20,"1,141",368,200,76,162,335,0
2020,1,30,958,382,161,60,120,235,0
2020,1,40,"1,387",432,312,78,170,395,0
2020,1,50,"2,324",564,545,231,346,638,0
2020,1,60,"2,400",482,669,280,331,638,0
2020,1,70,"2,033",362,606,258,308,499,0
2020,1,80,"1,153",230,347,148,178,250,0
2020,1,90,255,55,85,25,30,60,0
2020,1,100,11,4,4,0,2,1,0
2020,2,총,"13,081","3,412","3,235","1,239","1,832","3,363",0
2020,2,0,642,272,117,31,89,133,0
2020,2,10,798,274,186,48,95,195,0
2020,2,20,"1,122",364,200,78,161,319,0
2020,2,30,954,376,166,62,118,232,0
2020,2,40,"1,384",430,309,80,173,392,0
2020,2,50,"2,307",563,540,226,346,632,0
2020,2,60,"2,419",485,675,283,332,644,0
2020,2,70,"2,027",358,604,256,304,505,0
2020,2,80,"1,161",232,349,150,181,249,0
2020,2,90,254,53,85,25,30,61,0
2020,2,100,13,5,4,0,3,1,0
2020,3,총,"13,083","3,419","3,233","1,233","1,833","3,365",0
2020,3,0,636,276,118,31,85,126,0
2020,3,10,798,268,186,46,97,201,0
2020,3,20,"1,114",364,194,80,159,317,0
2020,3,30,958,382,166,60,122,228,0
2020,3,40,"1,385",425,310,80,171,399,0
2020,3,50,"2,309",565,543,225,340,636,0
2020,3,60,"2,421",488,677,278,338,640,0
2020,3,70,"2,023",358,598,256,305,506,0
2020,3,80,"1,167",234,349,151,183,250,0
2020,3,90,259,55,88,26,30,60,0
2020,3,100,13,4,4,0,3,2,0
2020,4,총,"13,033","3,386","3,224","1,230","1,839","3,354",0
2020,4,0,626,270,117,31,84,124,0
2020,4,10,790,265,183,45,99,198,0
2020,4,20,"1,102",353,195,80,161,313,0
2020,4,30,959,378,167,60,124,230,0
2020,4,40,"1,364",420,304,79,168,393,0
2020,4,50,"2,299",557,541,223,345,633,0
2020,4,60,"2,431",491,678,278,339,645,0
2020,4,70,"2,007",353,593,253,302,506,0
2020,4,80,"1,183",239,355,155,184,250,0
2020,4,90,259,56,87,26,30,60,0
2020,4,100,13,4,4,0,3,2,0
2020,5,총,"13,011","3,387","3,212","1,231","1,826","3,355",0
2020,5,0,625,273,115,32,80,125,0
2020,5,10,784,267,178,46,99,194,0
2020,5,20,"1,093",348,195,78,162,310,0
2020,5,30,956,379,163,61,119,234,0
2020,5,40,"1,360",424,298,80,162,396,0
2020,5,50,"2,288",550,540,223,344,631,0
2020,5,60,"2,444",496,680,277,345,646,0
2020,5,70,"2,006",348,600,254,297,507,0
2020,5,80,"1,186",243,353,153,185,252,0
2020,5,90,256,55,86,27,30,58,0
2020,5,100,13,4,4,0,3,2,0
2020,6,총,"13,002","3,377","3,202","1,228","1,820","3,375",0
2020,6,0,627,274,113,32,82,126,0
2020,6,10,772,263,177,47,91,194,0
2020,6,20,"1,084",346,194,76,163,305,0
2020,6,30,960,377,163,63,117,240,0
2020,6,40,"1,365",423,297,77,163,405,0
2020,6,50,"2,282",547,534,219,345,637,0
2020,6,60,"2,449",496,685,278,346,644,0
2020,6,70,"2,007",348,596,254,295,514,0
2020,6,80,"1,188",247,352,154,183,252,0
2020,6,90,255,52,87,28,32,56,0
2020,6,100,13,4,4,0,3,2,0
