년도,월,나이,강진군,강진읍,군동면,칠량면,대구면,도암면,신전면,성전면,작천면,병영면,옴천면,마량면
2020,1,총,"35,226","14,040","4,132","2,413","1,190","2,600","1,859","2,864","1,893","1,695",675,"1,865"
2020,1,0,"1,925","1,097",208,86,30,75,94,121,50,54,26,84
2020,1,10,"2,662","1,475",332,134,51,137,92,137,79,89,45,91
2020,1,20,"2,943","1,547",330,166,68,143,89,195,127,101,31,146
2020,1,30,"2,640","1,426",281,119,64,134,93,175,98,87,30,133
2020,1,40,"3,919","1,916",444,215,118,219,178,265,139,166,67,192
2020,1,50,"5,879","2,342",703,402,184,402,319,465,330,270,107,355
2020,1,60,"5,998","1,948",683,467,254,545,396,574,346,320,112,353
2020,1,70,"5,332","1,437",614,470,261,524,326,525,404,323,132,316
2020,1,80,"3,454",746,471,315,139,368,249,359,280,243,107,177
2020,1,90,445,95,65,37,20,47,22,45,38,40,18,18
2020,1,100,29,11,1,2,1,6,1,3,2,2,0,0
2020,2,총,"35,163","14,012","4,118","2,406","1,180","2,581","1,863","2,877","1,895","1,692",679,"1,860"
2020,2,0,"1,913","1,098",202,82,29,73,91,126,51,52,25,84
2020,2,10,"2,635","1,455",323,133,48,135,97,137,80,92,45,90
2020,2,20,"2,908","1,540",324,166,65,136,85,194,123,97,34,144
2020,2,30,"2,633","1,418",278,120,65,132,94,183,97,84,31,131
2020,2,40,"3,914","1,921",446,213,114,213,182,266,138,164,66,191
2020,2,50,"5,876","2,338",700,401,187,400,318,459,337,273,107,356
2020,2,60,"6,020","1,954",692,467,257,541,393,580,348,321,115,352
2020,2,70,"5,308","1,428",611,466,260,529,328,522,398,320,130,316
2020,2,80,"3,471",751,476,317,133,370,250,361,283,245,107,178
2020,2,90,455,98,64,39,21,46,24,46,38,42,19,18
2020,2,100,30,11,2,2,1,6,1,3,2,2,0,0
2020,3,총,"35,161","14,000","4,168","2,393","1,179","2,583","1,852","2,874","1,890","1,691",678,"1,853"
2020,3,0,"1,888","1,088",209,81,28,69,90,119,50,50,23,81
