년도,월,나이,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020,3,총,"58,280","6,752","10,964","10,714","11,872","9,888","8,090"
2020,3,0,"4,572",413,"1,242",644,952,675,646
2020,3,10,"6,264",666,"1,513","1,220","1,280",666,919
2020,3,20,"7,998","1,037","1,211","1,705","1,719","1,324","1,002"
2020,3,30,"7,873",765,"1,374","1,172","1,761","1,758","1,043"
2020,3,40,"9,102",870,"2,117","1,485","1,784","1,504","1,342"
2020,3,50,"10,230","1,278","1,709","2,135","2,168","1,586","1,354"
2020,3,60,"6,587",905,947,"1,242","1,212","1,364",917
2020,3,70,"3,477",450,559,617,569,704,578
2020,3,80,"1,773",281,241,400,361,259,231
2020,3,90,354,72,47,83,62,45,45
2020,3,100,50,15,4,11,4,3,13
2020,4,총,"59,687","8,469","10,883","10,597","11,786","9,883","8,069"
2020,4,0,"4,760",617,"1,219",643,951,684,646
2020,4,10,"6,349",829,"1,499","1,191","1,259",654,917
2020,4,20,"8,188","1,272","1,207","1,674","1,715","1,325",995
2020,4,30,"8,145","1,037","1,353","1,189","1,758","1,762","1,046"
2020,4,40,"9,287","1,121","2,086","1,468","1,774","1,496","1,342"
2020,4,50,"10,468","1,592","1,712","2,092","2,138","1,593","1,341"
2020,4,60,"6,753","1,081",957,"1,249","1,198","1,356",912
2020,4,70,"3,536",516,554,604,573,706,583
2020,4,80,"1,793",313,247,392,354,260,227
2020,4,90,358,76,45,84,62,44,47
2020,4,100,50,15,4,11,4,3,13
2020,5,총,"60,790","9,794","10,899","10,468","11,741","9,842","8,046"
2020,5,0,"4,891",731,"1,236",635,957,690,642
2020,5,10,"6,362",922,"1,483","1,158","1,239",647,913
2020,5,20,"8,369","1,450","1,210","1,677","1,707","1,318","1,007"
2020,5,30,"8,324","1,263","1,356","1,172","1,755","1,747","1,031"
2020,5,40,"9,371","1,278","2,098","1,437","1,743","1,484","1,331"
2020,5,50,"10,715","1,847","1,707","2,074","2,142","1,596","1,349"
2020,5,60,"6,930","1,275",965,"1,222","1,204","1,357",907
2020,5,70,"3,597",586,551,615,571,698,576
2020,5,80,"1,812",346,246,381,353,258,228
2020,5,90,368,81,43,86,65,44,49
2020,5,100,51,15,4,11,5,3,13
2020,6,총,"61,309","10,384","11,002","10,413","11,673","9,826","8,011"
2020,6,0,"4,958",788,"1,264",646,941,682,637
2020,6,10,"6,330",933,"1,490","1,133","1,219",648,907
2020,6,20,"8,450","1,522","1,222","1,664","1,714","1,319","1,009"
2020,6,30,"8,420","1,369","1,373","1,181","1,750","1,731","1,016"
2020,6,40,"9,449","1,369","2,126","1,433","1,718","1,489","1,314"
2020,6,50,"10,778","1,943","1,710","2,048","2,124","1,594","1,359"
2020,6,60,"7,075","1,405",980,"1,217","1,211","1,354",908
2020,6,70,"3,620",603,550,615,574,705,573
2020,6,80,"1,813",356,244,378,351,258,226
2020,6,90,364,81,39,87,66,43,48
2020,6,100,52,15,4,11,5,3,14
2020,7,총,"61,717","10,767","11,041","10,395","11,699","9,814","8,001"
2020,7,0,"5,005",821,"1,281",634,949,684,636
2020,7,10,"6,308",963,"1,482","1,118","1,207",642,896
2020,7,20,"8,546","1,586","1,226","1,678","1,710","1,328","1,018"
2020,7,30,"8,495","1,433","1,365","1,198","1,769","1,727","1,003"
2020,7,40,"9,489","1,423","2,141","1,412","1,717","1,475","1,321"
2020,7,50,"10,860","2,026","1,717","2,041","2,124","1,591","1,361"
2020,7,60,"7,112","1,433",985,"1,214","1,218","1,360",902
2020,7,70,"3,655",622,555,621,583,701,573
2020,7,80,"1,825",363,243,379,351,259,230
2020,7,90,371,83,42,89,66,44,47
2020,7,100,51,14,4,11,5,3,14
2020,8,총,"61,902","10,956","11,095","10,391","11,659","9,815","7,986"
2020,8,0,"5,006",835,"1,284",628,954,679,626
2020,8,10,"6,307",987,"1,491","1,112","1,185",644,888
2020,8,20,"8,562","1,611","1,221","1,677","1,696","1,328","1,029"
2020,8,30,"8,540","1,464","1,388","1,199","1,777","1,716",996
2020,8,40,"9,484","1,448","2,144","1,404","1,697","1,475","1,316"
2020,8,50,"10,881","2,059","1,727","2,047","2,111","1,583","1,354"
2020,8,60,"7,194","1,457",987,"1,221","1,236","1,380",913
2020,8,70,"3,666",634,558,620,584,698,572
2020,8,80,"1,833",363,245,382,347,265,231
2020,8,90,378,84,46,90,67,44,47
2020,8,100,51,14,4,11,5,3,14
2020,9,총,"61,982","11,031","11,085","10,406","11,658","9,827","7,975"
2020,9,0,"5,010",829,"1,287",627,969,673,625
2020,9,10,"6,307","1,003","1,488","1,118","1,175",643,880
2020,9,20,"8,578","1,625","1,215","1,678","1,685","1,343","1,032"
2020,9,30,"8,552","1,463","1,382","1,201","1,790","1,717",999
2020,9,40,"9,486","1,468","2,131","1,408","1,705","1,468","1,306"
2020,9,50,"10,888","2,077","1,726","2,042","2,092","1,599","1,352"
2020,9,60,"7,230","1,466",997,"1,238","1,240","1,375",914
2020,9,70,"3,652",637,559,605,584,695,572
2020,9,80,"1,850",367,249,388,345,268,233
2020,9,90,378,82,47,90,68,43,48
2020,9,100,51,14,4,11,5,3,14
2020,10,총,"62,011","11,094","11,082","10,410","11,601","9,827","7,997"
2020,10,0,"4,994",834,"1,273",621,965,671,630
2020,10,10,"6,288",998,"1,483","1,111","1,161",642,893
2020,10,20,"8,586","1,636","1,213","1,695","1,680","1,338","1,024"
2020,10,30,"8,576","1,489","1,388","1,193","1,789","1,711","1,006"
2020,10,40,"9,433","1,464","2,120","1,394","1,684","1,464","1,307"
2020,10,50,"10,904","2,088","1,741","2,056","2,076","1,594","1,349"
2020,10,60,"7,265","1,480",997,"1,232","1,241","1,396",919
2020,10,70,"3,669",642,566,605,587,694,575
2020,10,80,"1,867",368,250,400,345,273,231
2020,10,90,378,81,47,92,68,41,49
