년도,월,나이,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020,1,총,"40,156","4,372",256,"5,952",253,223,"1,574",331,"3,235","2,274","3,619","2,646",223,"2,404",457,228,534,340,"1,810","1,600","1,616","2,795",297,"1,033","2,084"
2020,1,0,"1,715",163,5,258,8,8,59,5,187,95,143,130,9,78,11,10,33,15,84,77,76,126,10,23,102
2020,1,10,"2,173",245,8,313,4,6,63,15,229,104,229,231,6,124,20,15,33,20,110,105,65,104,8,37,79
2020,1,20,"3,118",326,15,545,11,9,135,19,250,148,225,208,8,229,74,15,52,31,129,141,102,217,20,68,141
2020,1,30,"3,028",292,16,486,24,18,113,25,240,139,259,192,12,208,50,14,69,29,126,144,124,202,35,70,141
2020,1,40,"4,558",502,22,676,23,19,197,38,417,216,422,281,32,324,79,32,94,46,210,212,166,236,32,91,191
2020,1,50,"7,333",805,57,"1,143",48,36,293,68,610,434,658,413,62,467,92,46,106,59,321,304,251,484,52,148,376
2020,1,60,"7,466",821,53,"1,180",63,43,243,70,557,442,679,432,46,397,65,47,74,72,339,269,316,552,63,224,419
2020,1,70,"6,560",757,41,814,52,60,304,67,502,438,639,447,30,336,44,24,46,43,292,212,316,478,48,222,348
2020,1,80,"3,757",414,36,463,19,23,153,23,227,237,318,286,15,200,22,22,27,20,187,124,179,343,25,135,259
2020,1,90,431,46,3,70,1,1,13,1,16,21,47,26,2,37,0,3,0,5,12,9,19,52,4,15,28
2020,1,100,17,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,1,0,0,0
2020,2,총,"40,122","4,366",255,"5,954",254,225,"1,561",336,"3,243","2,280","3,633","2,637",223,"2,409",458,226,534,334,"1,808","1,603","1,625","2,775",293,"1,012","2,078"
2020,2,0,"1,712",164,5,248,8,9,57,5,190,92,149,133,9,79,12,10,31,15,82,77,79,123,9,21,105
2020,2,10,"2,137",242,8,305,4,6,63,15,230,102,226,222,6,123,21,15,33,20,109,104,66,101,8,33,75
