년도,월,나이,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020,5,80,"3,500",298,262,103,235,466,176,188,103,193,117,200,379,129,183,154,138,176
2020,5,90,680,47,56,17,55,115,33,33,28,51,27,32,62,24,29,25,20,26
2020,5,100,179,16,15,7,8,17,5,10,6,27,5,10,14,8,11,2,6,12
2020,6,총,"77,095","6,724","5,225","1,406","5,281","9,848","4,622","5,644","2,339","2,899","2,436","4,113","8,704","2,359","4,079","3,579","3,157","4,680"
2020,6,0,"3,900",411,301,57,285,584,403,437,108,92,57,130,372,69,110,185,153,146
2020,6,10,"5,604",564,374,86,441,803,542,446,162,102,117,238,674,118,255,283,205,194
2020,6,20,"11,882",821,678,157,663,"1,219",515,688,261,404,545,902,"2,253",271,550,453,404,"1,098"
2020,6,30,"10,123",920,789,194,655,"1,197",534,950,303,398,282,671,"1,005",220,373,514,413,705
2020,6,40,"11,632","1,217",831,190,881,"1,571",821,981,406,374,261,525,"1,182",320,549,505,455,563
2020,6,50,"12,755","1,058",841,218,941,"1,824",670,836,378,411,424,574,"1,201",501,877,661,583,757
2020,6,60,"9,866",769,633,222,674,"1,274",535,636,322,509,328,477,817,416,668,498,468,620
2020,6,70,"6,983",602,443,155,444,784,390,437,264,339,276,358,745,282,474,300,311,379
2020,6,80,"3,490",300,265,102,234,462,175,189,99,192,115,198,379,129,183,153,137,178
2020,6,90,681,46,55,18,55,113,32,34,30,51,26,30,62,25,29,25,22,28
2020,6,100,179,16,15,7,8,17,5,10,6,27,5,10,14,8,11,2,6,12
2020,7,총,"76,969","6,718","5,243","1,396","5,283","9,801","4,618","5,630","2,330","2,892","2,427","4,107","8,697","2,371","4,057","3,566","3,145","4,688"
2020,7,0,"3,852",402,300,56,282,572,400,433,106,91,57,127,371,70,105,187,149,144
2020,7,10,"5,578",565,374,84,441,801,542,450,160,99,118,235,669,117,256,279,201,187
2020,7,20,"11,868",828,682,154,665,"1,206",510,682,260,401,538,906,"2,242",280,550,451,399,"1,114"
2020,7,30,"10,088",918,800,193,649,"1,192",536,941,304,397,287,666,"1,004",222,364,504,410,701
2020,7,40,"11,580","1,208",825,190,877,"1,565",806,976,401,374,256,518,"1,190",322,551,506,450,565
2020,7,50,"12,777","1,062",847,216,949,"1,818",687,838,378,412,418,575,"1,203",503,863,663,587,758
