년도,월,나이,금천구,가산동,독산제1동,독산제2동,독산제3동,독산제4동,시흥제1동,시흥제2동,시흥제3동,시흥제4동,시흥제5동
2020,1,총,"233,066","21,145","41,868","19,417","25,138","15,955","34,304","22,477","11,346","21,293","20,123"
2020,1,0,"13,696",805,"3,350",996,"1,155",703,"2,093","1,721",620,"1,231","1,022"
2020,1,10,"15,701",743,"2,364","1,335","1,526","1,091","2,461","2,260",758,"1,635","1,528"
2020,1,20,"36,362","5,380","7,325","2,827","3,878","2,335","4,989","2,631","1,487","2,855","2,655"
2020,1,30,"35,694","4,818","8,453","2,548","3,538","2,046","4,967","2,642","1,514","2,759","2,409"
2020,1,40,"34,199","2,689","6,140","2,814","3,573","2,330","5,209","3,704","1,613","3,115","3,012"
2020,1,50,"41,286","2,990","6,186","3,981","5,023","3,350","6,090","3,873","2,096","4,010","3,687"
2020,1,60,"31,646","2,218","4,566","2,868","3,727","2,401","4,629","3,097","1,851","3,268","3,021"
2020,1,70,"17,545","1,107","2,500","1,508","1,956","1,261","2,770","1,765","1,013","1,745","1,920"
2020,1,80,"5,996",342,863,459,644,376,940,654,346,596,776
2020,1,90,772,43,106,65,97,47,134,94,45,65,76
2020,1,100,169,10,15,16,21,15,22,36,3,14,17
2020,2,총,"232,827","21,216","42,050","19,373","25,076","15,906","34,139","22,392","11,323","21,246","20,106"
2020,2,0,"13,529",770,"3,315",988,"1,135",699,"2,061","1,708",610,"1,222","1,021"
2020,2,10,"15,545",743,"2,363","1,322","1,495","1,070","2,421","2,235",757,"1,622","1,517"
2020,2,20,"36,391","5,450","7,373","2,822","3,904","2,333","4,959","2,602","1,481","2,828","2,639"
2020,2,30,"35,652","4,847","8,494","2,550","3,515","2,045","4,927","2,619","1,507","2,731","2,417"
2020,2,40,"34,115","2,690","6,186","2,800","3,553","2,313","5,185","3,673","1,616","3,111","2,988"
2020,2,50,"41,174","2,978","6,212","3,961","4,991","3,334","6,055","3,868","2,072","4,021","3,682"
2020,2,60,"31,805","2,231","4,601","2,883","3,754","2,398","4,655","3,109","1,862","3,271","3,041"
2020,2,70,"17,593","1,107","2,508","1,506","1,955","1,269","2,772","1,779","1,020","1,755","1,922"
2020,2,80,"6,068",347,876,457,655,381,944,668,350,606,784
2020,2,90,785,43,106,68,98,49,138,95,45,65,78
2020,2,100,170,10,16,16,21,15,22,36,3,14,17
2020,3,총,"232,583","21,354","42,174","19,289","25,045","15,877","34,008","22,300","11,295","21,194","20,047"
2020,3,0,"13,405",752,"3,304",970,"1,133",697,"2,040","1,683",601,"1,214","1,011"
2020,3,10,"15,446",736,"2,367","1,315","1,479","1,056","2,405","2,216",757,"1,604","1,511"
2020,3,20,"36,517","5,515","7,417","2,827","3,938","2,346","4,967","2,591","1,480","2,820","2,616"
2020,3,30,"35,523","4,917","8,528","2,529","3,487","2,026","4,864","2,591","1,489","2,706","2,386"
2020,3,40,"33,909","2,682","6,207","2,758","3,515","2,286","5,153","3,641","1,612","3,078","2,977"
2020,3,50,"41,112","2,977","6,207","3,939","4,973","3,344","6,044","3,867","2,065","4,026","3,670"
