년도,월,나이,금천구,가산동,독산제1동,독산제2동,독산제3동,독산제4동,시흥제1동,시흥제2동,시흥제3동,시흥제4동,시흥제5동
2020,1,총,"118,299","11,680","21,638","9,897","12,689","8,015","17,173","10,925","5,691","10,574","10,017"
2020,1,0,"7,022",408,"1,715",502,621,370,"1,076",872,318,613,527
2020,1,10,"8,011",377,"1,190",709,771,548,"1,329","1,118",378,818,773
2020,1,20,"18,622","2,612","3,740","1,523","1,952","1,176","2,562","1,359",791,"1,494","1,413"
2020,1,30,"19,713","2,983","4,718","1,366","1,968","1,119","2,649","1,305",834,"1,460","1,311"
2020,1,40,"17,842","1,659","3,329","1,436","1,856","1,151","2,653","1,800",832,"1,566","1,560"
2020,1,50,"20,752","1,727","3,122","2,020","2,517","1,713","3,006","1,853","1,011","1,942","1,841"
2020,1,60,"15,538","1,201","2,311","1,417","1,791","1,179","2,219","1,510",897,"1,589","1,424"
2020,1,70,"8,184",557,"1,122",730,926,599,"1,272",815,482,825,856
2020,1,80,"2,374",143,365,173,260,147,364,252,142,240,288
2020,1,90,185,10,23,16,21,9,37,22,6,22,19
2020,1,100,56,3,3,5,6,4,6,19,0,5,5
2020,2,총,"118,145","11,721","21,728","9,854","12,648","7,998","17,082","10,878","5,668","10,556","10,012"
2020,2,0,"6,925",380,"1,705",500,611,373,"1,055",864,310,604,523
2020,2,10,"7,915",382,"1,183",701,751,538,"1,303","1,103",376,812,766
2020,2,20,"18,614","2,640","3,749","1,508","1,964","1,173","2,545","1,350",787,"1,486","1,412"
2020,2,30,"19,705","3,003","4,750","1,369","1,954","1,114","2,632","1,291",824,"1,452","1,316"
2020,2,40,"17,803","1,662","3,352","1,422","1,839","1,153","2,639","1,789",840,"1,559","1,548"
2020,2,50,"20,704","1,721","3,145","2,009","2,500","1,706","2,985","1,848","1,000","1,951","1,839"
2020,2,60,"15,635","1,221","2,332","1,425","1,810","1,173","2,240","1,518",893,"1,591","1,432"
2020,2,70,"8,205",554,"1,119",729,928,605,"1,274",816,487,832,861
2020,2,80,"2,390",145,368,169,262,149,361,258,145,242,291
2020,2,90,193,10,22,17,23,10,42,22,6,22,19
2020,2,100,56,3,3,5,6,4,6,19,0,5,5
2020,3,총,"118,044","11,815","21,814","9,796","12,616","7,979","17,022","10,842","5,654","10,524","9,982"
2020,3,0,"6,861",370,"1,713",486,611,371,"1,039",847,304,601,519
2020,3,10,"7,852",374,"1,175",702,736,534,"1,298","1,097",375,798,763
2020,3,20,"18,707","2,689","3,769","1,512","1,991","1,176","2,539","1,356",787,"1,490","1,398"
2020,3,30,"19,647","3,045","4,777","1,354","1,925","1,104","2,615","1,274",817,"1,436","1,300"
2020,3,40,"17,699","1,663","3,365","1,396","1,821","1,144","2,626","1,777",835,"1,536","1,536"
2020,3,50,"20,679","1,725","3,146","1,992","2,490","1,704","2,979","1,848",995,"1,958","1,842"
2020,3,60,"15,691","1,232","2,354","1,434","1,812","1,170","2,228","1,524",903,"1,599","1,435"
2020,3,70,"8,237",558,"1,118",726,927,610,"1,290",817,486,838,867
2020,3,80,"2,418",146,371,172,273,152,359,260,145,241,299
2020,3,90,197,10,23,17,24,10,43,23,7,22,18
2020,3,100,56,3,3,5,6,4,6,19,0,5,5
2020,4,총,"117,935","11,870","21,879","9,767","12,600","7,946","17,001","10,803","5,638","10,499","9,932"
2020,4,0,"6,807",366,"1,721",484,602,362,"1,022",839,297,597,517
2020,4,10,"7,796",374,"1,171",692,735,514,"1,288","1,096",376,798,752
2020,4,20,"18,706","2,714","3,785","1,518","1,977","1,179","2,524","1,350",788,"1,483","1,388"
2020,4,30,"19,686","3,078","4,791","1,363","1,934","1,098","2,622","1,275",808,"1,429","1,288"
2020,4,40,"17,640","1,660","3,385","1,379","1,811","1,129","2,630","1,754",831,"1,532","1,529"
2020,4,50,"20,625","1,721","3,143","1,980","2,485","1,702","2,974","1,837",992,"1,953","1,838"
2020,4,60,"15,720","1,236","2,360","1,428","1,824","1,178","2,238","1,532",899,"1,596","1,429"
2020,4,70,"8,253",556,"1,124",725,924,613,"1,293",814,495,845,864
2020,4,80,"2,446",152,373,176,277,157,361,263,144,239,304
2020,4,90,200,10,23,17,25,10,43,24,8,22,18
2020,4,100,56,3,3,5,6,4,6,19,0,5,5
2020,5,총,"117,899","11,928","21,917","9,742","12,548","7,964","16,999","10,777","5,636","10,468","9,920"
2020,5,0,"6,783",365,"1,716",484,594,364,"1,022",832,301,592,513
2020,5,10,"7,746",376,"1,176",684,720,510,"1,283","1,086",373,802,736
2020,5,20,"18,701","2,718","3,804","1,496","1,975","1,192","2,536","1,344",780,"1,469","1,387"
2020,5,30,"19,713","3,117","4,787","1,367","1,937","1,101","2,613","1,278",809,"1,421","1,283"
2020,5,40,"17,541","1,668","3,381","1,359","1,779","1,124","2,619","1,745",828,"1,525","1,513"
2020,5,50,"20,643","1,716","3,153","1,993","2,477","1,700","2,977","1,835",989,"1,940","1,863"
2020,5,60,"15,746","1,235","2,363","1,436","1,825","1,181","2,235","1,535",897,"1,605","1,434"
2020,5,70,"8,293",565,"1,130",724,930,614,"1,303",814,504,842,867
2020,5,80,"2,472",155,381,177,280,162,359,265,147,246,300
2020,5,90,204,10,23,17,25,12,46,24,8,20,19
2020,5,100,57,3,3,5,6,4,6,19,0,6,5
2020,6,총,"117,762","11,917","21,930","9,706","12,510","7,942","17,022","10,765","5,645","10,442","9,883"
2020,6,0,"6,731",355,"1,711",473,588,363,"1,018",825,301,587,510
2020,6,10,"7,695",368,"1,173",681,710,503,"1,286","1,073",371,799,731
2020,6,20,"18,728","2,718","3,801","1,499","1,988","1,192","2,544","1,348",783,"1,471","1,384"
2020,6,30,"19,685","3,114","4,806","1,358","1,934","1,090","2,632","1,270",812,"1,403","1,266"
2020,6,40,"17,491","1,664","3,380","1,355","1,763","1,116","2,602","1,746",829,"1,532","1,504"
