년도,월,나이,제주특별자치도,제주특별자치도 제주시,제주특별자치도 서귀포시
2020,1,총,"670,749","489,202","181,547"
2020,1,0,"62,033","46,997","15,036"
2020,1,10,"71,795","54,272","17,523"
2020,1,20,"82,223","62,670","19,553"
2020,1,30,"84,406","63,949","20,457"
2020,1,40,"113,051","83,247","29,804"
2020,1,50,"110,968","79,535","31,433"
2020,1,60,"74,791","51,464","23,327"
2020,1,70,"44,577","29,324","15,253"
2020,1,80,"22,837","14,955","7,882"
2020,1,90,"3,799","2,620","1,179"
2020,1,100,269,169,100
2020,2,총,"670,876","489,456","181,420"
2020,2,0,"62,086","47,089","14,997"
2020,2,10,"71,539","54,041","17,498"
2020,2,20,"81,968","62,586","19,382"
2020,2,30,"84,145","63,796","20,349"
2020,2,40,"113,076","83,282","29,794"
2020,2,50,"111,221","79,710","31,511"
2020,2,60,"75,172","51,753","23,419"
2020,2,70,"44,621","29,377","15,244"
2020,2,80,"22,963","15,019","7,944"
2020,2,90,"3,819","2,636","1,183"
2020,2,100,266,167,99
