년도,월,나이,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020,1,총,"42,476","15,479","13,179",0,"1,648","1,913","1,051","3,340","5,866"
2020,1,0,"3,979","1,281","2,002",0,44,73,25,130,424
2020,1,10,"4,157","1,773","1,281",0,98,75,47,228,655
2020,1,20,"5,154","2,171","1,513",0,118,169,69,356,758
2020,1,30,"6,171","1,802","2,905",0,123,171,67,316,787
2020,1,40,"7,166","2,676","2,472",0,193,237,105,439,"1,044"
2020,1,50,"7,329","2,813","1,610",0,368,442,233,717,"1,146"
2020,1,60,"4,842","1,652",835,0,369,408,256,668,654
2020,1,70,"2,483",913,368,0,225,231,156,321,269
2020,1,80,"1,105",369,176,0,104,96,88,154,118
2020,1,90,86,27,17,0,6,11,5,9,11
2020,1,100,4,2,0,0,0,0,0,2,0
2020,2,총,"42,535","15,487","13,282",0,"1,644","1,906","1,055","3,328","5,833"
2020,2,0,"3,972","1,272","2,018",0,41,71,25,129,416
2020,2,10,"4,134","1,753","1,292",0,97,73,46,224,649
2020,2,20,"5,152","2,177","1,519",0,118,172,65,355,746
2020,2,30,"6,174","1,801","2,925",0,121,166,69,309,783
2020,2,40,"7,188","2,674","2,495",0,194,236,106,437,"1,046"
2020,2,50,"7,334","2,820","1,621",0,373,438,235,715,"1,132"
2020,2,60,"4,893","1,677",852,0,370,411,256,668,659
2020,2,70,"2,481",906,367,0,220,231,158,326,273
2020,2,80,"1,118",378,176,0,103,97,90,155,119
2020,2,90,84,27,17,0,7,11,5,7,10
2020,2,100,5,2,0,0,0,0,0,3,0
2020,3,총,"42,599","15,480","13,381",0,"1,648","1,896","1,058","3,320","5,816"
2020,3,0,"3,970","1,266","2,020",0,40,68,26,129,421
2020,3,10,"4,135","1,750","1,313",0,98,72,44,220,638
2020,3,20,"5,161","2,173","1,537",0,120,173,67,353,738
2020,3,30,"6,153","1,778","2,929",0,119,163,70,307,787
2020,3,40,"7,209","2,677","2,509",0,196,239,107,439,"1,042"
2020,3,50,"7,328","2,818","1,650",0,372,431,231,703,"1,123"
2020,3,60,"4,938","1,698",854,0,372,412,259,677,666
2020,3,70,"2,476",906,373,0,213,229,156,327,272
2020,3,80,"1,140",382,179,0,111,98,93,156,121
2020,3,90,84,30,17,0,7,11,5,6,8
2020,3,100,5,2,0,0,0,0,0,3,0
2020,4,총,"42,652","15,453","13,477",0,"1,654","1,896","1,059","3,312","5,801"
2020,4,0,"3,951","1,250","2,022",0,40,67,26,131,415
2020,4,10,"4,138","1,749","1,325",0,98,72,45,219,630
2020,4,20,"5,173","2,182","1,543",0,120,179,69,345,735
2020,4,30,"6,152","1,762","2,957",0,118,162,69,303,781
2020,4,40,"7,206","2,658","2,527",0,196,240,108,438,"1,039"
2020,4,50,"7,364","2,832","1,667",0,373,431,230,698,"1,133"
2020,4,60,"4,964","1,699",870,0,376,410,259,682,668
2020,4,70,"2,475",907,371,0,215,225,156,330,271
2020,4,80,"1,138",381,177,0,111,100,92,156,121
2020,4,90,86,31,18,0,7,10,5,7,8
2020,4,100,5,2,0,0,0,0,0,3,0
2020,5,총,"42,709","15,460","13,531",0,"1,659","1,898","1,055","3,304","5,802"
2020,5,0,"3,942","1,249","2,019",0,41,67,28,128,410
2020,5,10,"4,138","1,750","1,331",0,98,70,45,219,625
2020,5,20,"5,177","2,193","1,549",0,121,180,67,341,726
2020,5,30,"6,134","1,746","2,958",0,118,161,67,301,783
2020,5,40,"7,208","2,649","2,546",0,192,240,107,435,"1,039"
2020,5,50,"7,394","2,838","1,682",0,378,429,228,698,"1,141"
2020,5,60,"4,984","1,706",875,0,376,415,260,678,674
2020,5,70,"2,495",915,373,0,216,225,154,338,274
2020,5,80,"1,144",379,180,0,112,101,94,156,122
2020,5,90,88,33,18,0,7,10,5,7,8
2020,5,100,5,2,0,0,0,0,0,3,0
