년도,월,나이,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020,1,총,"83,089","28,421","4,176","42,019","4,338","4,135"
2020,1,0,"9,168","1,877",229,"6,575",229,258
2020,1,10,"7,996","2,406",228,"4,933",237,192
2020,1,20,"7,387","2,999",412,"3,293",338,345
2020,1,30,"12,293","2,993",442,"8,047",420,391
2020,1,40,"14,600","4,603",447,"8,595",488,467
2020,1,50,"11,082","4,871",729,"4,008",721,753
2020,1,60,"10,413","4,164",764,"3,723",882,880
2020,1,70,"6,349","2,824",491,"1,879",629,526
2020,1,80,"3,209","1,419",364,814,326,286
2020,1,90,559,248,65,145,66,35
2020,1,100,33,17,5,7,2,2
2020,2,총,"83,948","28,057","4,141","41,791","5,853","4,106"
2020,2,0,"9,333","1,791",217,"6,462",614,249
2020,2,10,"8,046","2,359",223,"4,929",343,192
2020,2,20,"7,383","2,947",401,"3,259",436,340
2020,2,30,"12,497","2,911",440,"7,898",869,379
2020,2,40,"14,769","4,512",433,"8,623",733,468
2020,2,50,"11,195","4,859",731,"4,025",840,740
2020,2,60,"10,533","4,178",765,"3,744",962,884
2020,2,70,"6,363","2,818",492,"1,878",652,523
2020,2,80,"3,230","1,412",370,822,333,293
2020,2,90,566,252,65,144,69,36
2020,2,100,33,18,4,7,2,2
2020,3,총,"84,578","27,977","4,113","41,842","6,551","4,095"
2020,3,0,"9,389","1,755",212,"6,430",747,245
2020,3,10,"8,037","2,329",213,"4,926",380,189
2020,3,20,"7,526","2,987",408,"3,301",493,337
2020,3,30,"12,569","2,872",434,"7,809","1,080",374
2020,3,40,"14,884","4,472",419,"8,684",847,462
2020,3,50,"11,260","4,857",726,"4,023",911,743
2020,3,60,"10,644","4,192",770,"3,779","1,015",888
2020,3,70,"6,414","2,819",493,"1,913",661,528
2020,3,80,"3,242","1,421",366,825,343,287
2020,3,90,578,254,68,145,71,40
2020,3,100,35,19,4,7,3,2
2020,4,총,"84,853","27,767","4,088","41,723","7,195","4,080"
2020,4,0,"9,376","1,711",205,"6,361",860,239
2020,4,10,"8,076","2,308",210,"4,935",430,193
2020,4,20,"7,543","2,953",405,"3,300",554,331
2020,4,30,"12,602","2,838",434,"7,728","1,232",370
2020,4,40,"14,924","4,402",414,"8,697",949,462
2020,4,50,"11,308","4,830",729,"4,016",993,740
2020,4,60,"10,701","4,197",767,"3,788","1,066",883
2020,4,70,"6,449","2,820",491,"1,923",683,532
2020,4,80,"3,257","1,431",361,825,353,287
2020,4,90,581,258,67,143,72,41
2020,4,100,36,19,5,7,3,2
2020,5,총,"85,377","27,644","4,068","41,632","7,988","4,045"
2020,5,0,"9,431","1,695",207,"6,328",962,239
2020,5,10,"8,090","2,263",199,"4,937",500,191
2020,5,20,"7,620","2,961",408,"3,292",636,323
2020,5,30,"12,641","2,807",428,"7,644","1,403",359
2020,5,40,"14,989","4,338",406,"8,717","1,071",457
2020,5,50,"11,459","4,829",735,"4,030","1,132",733
2020,5,60,"10,765","4,214",764,"3,779","1,127",881
2020,5,70,"6,491","2,836",490,"1,936",705,524
2020,5,80,"3,272","1,424",359,820,375,294
2020,5,90,582,257,67,143,73,42
2020,5,100,37,20,5,6,4,2
2020,6,총,"85,919","27,575","4,080","41,631","8,580","4,053"
2020,6,0,"9,460","1,658",210,"6,296","1,058",238
2020,6,10,"8,129","2,247",194,"4,954",542,192
2020,6,20,"7,730","2,967",409,"3,314",719,321
2020,6,30,"12,696","2,797",434,"7,580","1,527",358
2020,6,40,"15,075","4,298",411,"8,731","1,182",453
2020,6,50,"11,514","4,817",726,"4,040","1,199",732
2020,6,60,"10,856","4,230",769,"3,790","1,180",887
2020,6,70,"6,544","2,850",495,"1,955",713,531
2020,6,80,"3,292","1,429",361,823,382,297
2020,6,90,587,263,66,142,74,42
2020,6,100,36,19,5,6,4,2
2020,7,총,"86,540","27,361","4,082","41,534","9,532","4,031"
2020,7,0,"9,507","1,621",211,"6,257","1,185",233
2020,7,10,"8,171","2,214",188,"4,960",616,193
2020,7,20,"7,825","2,947",414,"3,307",844,313
2020,7,30,"12,717","2,749",439,"7,473","1,705",351
2020,7,40,"15,231","4,258",408,"8,772","1,339",454
2020,7,50,"11,644","4,774",724,"4,038","1,385",723
2020,7,60,"10,949","4,240",773,"3,787","1,257",892
2020,7,70,"6,584","2,859",492,"1,971",732,530
2020,7,80,"3,296","1,422",361,822,394,297
2020,7,90,580,258,67,141,71,43
