년도,월,나이,신안군,지도읍,지도읍선도출장소,압해읍,압해읍매화출장소,압해읍고이도출장소,증도면,증도면병풍출장소,임자면,자은면,비금면,도초면,도초면우이도출장소,흑산면,흑산면가거도출장소,흑산면태도출장소,흑산면홍도출장소,흑산면대둔도출장소,하의면,신의면,장산면,안좌면,안좌면자라출장소,팔금면,암태면
2020,1,총,"21,343","2,279",135,"3,205",137,127,850,192,"1,714","1,199","1,886","1,345",124,"1,338",299,129,300,198,969,866,847,"1,452",163,518,"1,071"
2020,1,0,899,89,2,142,4,7,31,2,96,55,75,64,6,37,5,5,16,8,41,33,41,62,6,11,61
2020,1,10,"1,128",116,4,152,3,4,33,11,121,54,110,116,3,74,11,9,21,11,62,56,31,57,6,18,45
2020,1,20,"1,848",202,9,312,7,6,83,7,153,83,117,118,5,142,54,9,30,18,76,75,61,128,12,54,87
2020,1,30,"1,893",176,9,298,17,12,77,20,147,94,166,120,5,135,41,9,46,18,67,85,77,125,23,41,85
2020,1,40,"3,043",329,17,444,18,16,138,30,271,140,258,167,26,227,60,26,64,35,147,150,119,156,20,62,123
2020,1,50,"4,389",471,36,640,32,21,190,44,367,248,408,244,35,300,63,30,59,44,203,184,154,294,26,78,218
2020,1,60,"4,078",459,34,657,31,24,126,35,294,237,360,236,27,218,39,26,40,38,183,157,165,309,37,122,224
2020,1,70,"2,887",315,13,381,21,28,120,35,212,196,295,204,14,142,19,10,17,23,137,94,135,211,26,93,146
2020,1,80,"1,086",116,11,162,3,8,50,8,50,87,90,72,3,59,7,4,7,3,50,28,59,96,5,36,72
2020,1,90,87,6,0,16,1,1,2,0,3,5,7,4,0,3,0,1,0,0,3,3,4,13,2,3,10
2020,1,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,2,총,"21,313","2,277",135,"3,202",137,129,837,195,"1,719","1,196","1,900","1,343",125,"1,340",299,127,301,196,964,871,849,"1,444",161,504,"1,062"
2020,2,0,895,89,2,135,4,8,30,2,98,52,79,67,6,37,6,5,15,8,38,33,43,63,5,9,61
2020,2,10,"1,107",116,4,146,3,4,33,11,120,53,108,110,3,74,12,9,22,11,62,55,31,55,6,18,41
2020,2,20,"1,840",200,9,318,7,6,80,7,156,84,113,116,5,145,54,8,28,17,76,75,58,129,11,51,87
2020,2,30,"1,883",177,7,302,16,12,75,19,146,94,163,122,5,136,40,9,45,17,64,89,76,119,23,41,86
2020,2,40,"3,045",326,19,442,18,16,134,31,274,138,266,171,26,228,60,26,62,35,146,150,119,156,20,59,123
2020,2,50,"4,394",476,36,642,32,22,191,47,365,250,415,238,36,294,61,30,64,44,204,185,155,290,26,77,214
2020,2,60,"4,093",461,34,663,32,25,124,36,294,236,362,238,26,219,40,25,41,39,183,158,166,309,37,122,223
2020,2,70,"2,869",308,13,376,21,28,119,34,211,196,295,204,15,141,19,11,17,22,138,93,136,213,26,89,144
2020,2,80,"1,098",118,11,163,3,7,49,8,52,88,92,73,3,62,7,3,7,3,50,29,61,96,5,35,73
2020,2,90,84,6,0,14,1,1,2,0,3,5,7,4,0,3,0,1,0,0,3,3,3,13,2,3,10
2020,2,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020,3,총,"21,215","2,272",135,"3,199",137,131,825,190,"1,727","1,200","1,887","1,325",125,"1,330",296,126,304,197,957,859,846,"1,431",160,500,"1,056"
2020,3,0,879,90,2,129,5,8,26,2,95,54,78,67,6,34,5,5,17,7,37,33,42,62,5,9,61
2020,3,10,"1,090",113,4,144,3,4,29,11,120,53,107,108,3,73,13,9,22,12,61,54,30,54,6,17,40
2020,3,20,"1,826",201,10,317,7,6,80,7,158,80,112,113,3,144,54,8,28,17,76,73,59,128,11,49,85
2020,3,30,"1,873",175,7,301,15,13,74,19,146,94,161,119,6,135,39,9,46,18,64,86,75,121,23,40,87
2020,3,40,"3,015",321,17,437,17,16,136,27,274,140,267,167,25,223,62,25,64,36,143,146,120,152,20,57,123
2020,3,50,"4,388",480,36,647,32,22,187,47,370,253,409,237,38,294,60,30,63,44,205,182,155,283,26,79,209
2020,3,60,"4,074",461,34,667,33,26,122,35,290,234,359,236,25,219,37,25,41,37,181,157,165,306,37,123,224
2020,3,70,"2,863",307,13,375,20,28,118,35,216,196,290,198,16,140,19,11,17,24,136,95,135,215,25,90,144
2020,3,80,"1,117",117,12,168,4,7,51,7,55,91,97,76,3,64,7,3,6,2,51,28,61,96,5,33,73
2020,3,90,85,7,0,13,1,1,2,0,3,5,7,4,0,3,0,1,0,0,3,4,3,13,2,3,10
2020,3,100,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
