년도,월,나이,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020,3,총,"105,665","8,011","1,756",866,"2,076","2,315","1,848","2,327","3,282","7,595","2,424","1,732","12,726","3,963","5,234","6,597","2,387","4,304","8,349","9,210","14,278","4,385"
2020,3,0,"7,182",338,68,23,111,59,70,101,186,756,94,60,978,205,244,324,124,384,778,491,"1,389",399
2020,3,10,"10,411",544,106,21,141,116,97,131,262,792,149,100,"1,683",350,416,706,232,495,844,917,"1,913",396
2020,3,20,"13,718",846,200,60,216,276,163,256,268,936,311,171,"1,864",502,695,915,354,538,"1,417","1,141","1,855",734
2020,3,30,"11,468",638,123,57,171,198,151,208,314,"1,082",250,166,"1,311",432,538,705,280,549,"1,116",951,"1,691",537
2020,3,40,"16,737","1,129",233,75,269,310,202,333,538,"1,291",326,255,"2,152",541,775,"1,016",362,721,"1,356","1,441","2,674",738
2020,3,50,"18,394","1,564",355,187,387,453,400,441,567,"1,196",433,327,"2,207",754,986,"1,214",460,663,"1,220","1,643","2,255",682
2020,3,60,"15,376","1,556",358,238,430,457,417,477,613,879,444,308,"1,412",651,852,"1,039",335,601,990,"1,325","1,506",488
2020,3,70,"8,664",967,213,143,243,292,243,254,376,466,285,247,759,376,517,503,155,243,450,913,708,311
2020,3,80,"3,373",380,92,58,94,129,97,117,140,177,110,95,335,140,196,165,77,97,165,357,264,88
2020,3,90,316,45,7,4,12,22,8,8,15,19,21,3,25,10,15,10,8,13,13,27,19,12
2020,3,100,26,4,1,0,2,3,0,1,3,1,1,0,0,2,0,0,0,0,0,4,4,0
2020,4,총,"105,639","8,014","1,751",866,"2,088","2,313","1,847","2,324","3,304","7,567","2,417","1,732","12,756","3,953","5,235","6,565","2,399","4,325","8,335","9,180","14,270","4,398"
2020,4,0,"7,143",334,68,23,112,59,66,100,189,749,92,57,965,206,249,316,127,391,772,484,"1,390",394
2020,4,10,"10,353",541,103,21,150,113,100,127,267,788,150,101,"1,659",340,415,697,230,494,840,917,"1,902",398
2020,4,20,"13,709",843,198,61,217,273,161,256,273,929,309,170,"1,888",499,693,908,352,544,"1,399","1,130","1,861",745
2020,4,30,"11,501",638,121,56,169,197,149,208,321,"1,078",250,168,"1,326",435,532,710,285,554,"1,127",942,"1,699",536
2020,4,40,"16,689","1,123",233,77,272,307,201,327,533,"1,278",328,253,"2,147",545,775,"1,009",364,719,"1,363","1,445","2,651",739
2020,4,50,"18,367","1,564",355,187,388,448,403,439,569,"1,195",428,333,"2,227",739,987,"1,208",463,664,"1,207","1,627","2,257",679
2020,4,60,"15,471","1,567",359,235,429,469,418,483,623,884,438,306,"1,422",661,852,"1,040",338,606,999,"1,333","1,515",494
2020,4,70,"8,671",966,213,145,243,289,244,257,372,469,290,245,758,374,520,505,156,242,449,914,707,313
2020,4,80,"3,386",388,93,57,94,132,96,118,140,177,110,96,339,141,197,162,75,98,166,355,264,88
2020,4,90,323,46,7,4,12,23,9,8,14,19,21,3,25,11,15,10,9,13,13,29,20,12
2020,4,100,26,4,1,0,2,3,0,1,3,1,1,0,0,2,0,0,0,0,0,4,4,0
