년도,월,나이,성남시,수정구,신흥1동,신흥2동,신흥3동,태평1동,태평2동,태평3동,태평4동,수진1동,수진2동,단대동,산성동,양지동,복정동,위례동,신촌동,고등동,시흥동,중원구,성남동,중앙동,금광1동,금광2동,은행1동,은행2동,상대원1동,상대원2동,상대원3동,하대원동,도촌동,분당구,분당동,수내1동,수내2동,수내3동,정자동,정자1동,정자2동,정자3동,서현1동,서현2동,이매1동,이매2동,야탑1동,야탑2동,야탑3동,판교동,삼평동,백현동,금곡동,구미1동,구미동,운중동
2020,1,총,"942,649","234,614","13,659","9,906","11,140","15,870","16,111","13,833","13,902","12,777","16,666","16,264","13,152","10,170","11,536","45,540","4,772","5,970","3,346","219,921","33,477","14,412","7,199","25,331","11,029","25,312","26,515","14,386","12,939","21,465","27,856","488,114","26,840","18,185","10,825","14,401","20,113","31,136","16,364","15,916","32,632","18,996","26,343","14,128","17,838","17,095","29,864","23,944","24,878","28,216","29,100","18,049","31,851","21,400"
2020,1,0,"71,758","15,976",573,749,440,619,834,717,779,433,921,"1,204",652,699,832,"5,278",576,454,216,"14,150","1,640",944,414,"1,369",740,"1,484","1,790",631,637,"1,511","2,990","41,632","2,102","1,283","1,213","1,136","1,550","2,152",978,"1,423","2,577","1,467","2,378","1,071","1,391","1,312","2,440","3,142","2,888","3,230","1,970","1,387","2,329","2,213"
2020,1,10,"90,958","17,801",781,943,682,858,"1,250",991,"1,336",756,"1,162","1,367","1,145",979,485,"4,023",441,425,177,"17,676","2,080",932,499,"2,134","1,152","2,197","1,946","1,054",993,"1,882","2,807","55,481","3,125","2,318","1,998","2,532","2,027","3,344","1,511","1,833","4,474","2,375","3,257","1,926","1,364","1,826","2,245","3,385","3,083","3,240","2,527","1,830","2,893","2,368"
2020,1,20,"132,345","33,885","2,070","1,283","1,694","2,819","2,437","1,975","2,007","1,756","2,433","2,211","1,735","1,417","2,209","5,721",692,"1,013",413,"31,573","5,692","1,622",995,"3,894","1,765","3,544","3,624","1,885","1,876","3,225","3,451","66,887","3,846","2,432",994,"1,872","3,187","4,757","2,115","2,148","4,597","2,882","3,485","1,907","2,872","2,232","4,285","2,381","3,024","3,846","4,195","2,753","4,579","2,498"
2020,1,30,"139,206","35,009","1,798","1,327","1,536","2,313","2,235","1,818","1,675","1,541","2,282","2,316","1,704","1,204","2,931","7,744",924,"1,128",533,"31,992","5,627","2,027","1,140","3,569","1,400","3,221","4,143","1,736","1,644","2,957","4,528","72,205","3,722","2,579",956,"1,675","3,673","5,247","3,054","2,396","4,345","2,434","3,719","1,416","2,914","2,228","5,588","3,236","3,544","4,157","4,751","2,850","4,667","3,054"
2020,1,40,"160,335","37,270","2,108","1,573","1,754","2,214","2,432","2,127","2,336","1,863","2,447","2,607","2,299","1,724","2,041","7,746",767,788,444,"34,393","4,820","2,291","1,086","3,946","1,778","4,050","4,251","2,170","1,926","3,141","4,934","88,672","4,839","3,754","2,679","3,333","3,331","5,995","2,766","2,907","6,560","3,371","4,781","2,517","2,773","2,845","4,540","5,238","4,747","4,792","4,577","3,050","5,248","4,029"
2020,1,50,"156,276","40,422","2,663","1,750","2,160","2,779","2,928","2,644","2,470","2,539","3,032","2,784","2,270","1,760","1,341","7,278",582,908,534,"39,708","5,766","2,711","1,344","4,478","1,903","4,630","4,811","3,052","2,664","4,138","4,211","76,146","4,237","2,771","1,451","2,077","2,921","4,642","2,450","2,471","4,844","3,368","4,134","2,357","2,772","2,635","4,728","3,318","3,921","4,727","4,606","2,977","5,245","3,494"
2020,1,60,"107,115","30,871","2,063","1,369","1,630","2,328","2,225","2,004","1,734","2,134","2,495","2,056","1,772","1,286","1,045","4,935",498,709,588,"29,161","4,425","2,264",993,"3,427","1,246","3,335","3,537","2,242","1,882","2,873","2,937","47,083","2,740","1,370",741,"1,034","1,986","2,448","1,684","1,321","2,658","1,804","2,508","1,607","2,123","2,166","3,510","1,917","2,193","2,551","3,308","1,694","3,341","2,379"
2020,1,70,"56,527","16,429","1,126",635,913,"1,395","1,225","1,076","1,069","1,225","1,367","1,182","1,145",784,466,"1,908",207,388,318,"14,871","2,379","1,132",485,"1,768",734,"2,015","1,722","1,149",917,"1,196","1,374","25,227","1,408",955,496,481,"1,003","1,634","1,050",817,"1,555",788,"1,356",831,"1,093","1,195","1,663",887,983,"1,119","1,947",940,"2,119",907
2020,1,80,"23,720","5,883",405,228,282,466,458,410,428,436,449,442,361,277,153,784,70,134,100,"5,379",893,382,182,637,265,731,597,388,322,460,522,"12,458",701,628,250,218,367,810,632,503,871,435,610,410,436,553,734,369,418,474,"1,013",476,"1,169",381
2020,1,90,"3,969",877,52,34,39,68,70,56,50,76,65,81,44,36,28,121,15,22,20,846,126,71,32,95,41,87,83,69,68,77,97,"2,246",115,93,46,42,66,100,121,95,146,69,113,81,96,98,124,68,75,78,201,90,252,77
2020,1,100,440,191,20,15,10,11,17,15,18,18,13,14,25,4,5,2,0,1,3,172,29,36,29,14,5,18,11,10,10,5,5,77,5,2,1,1,2,7,3,2,5,3,2,5,4,5,7,3,2,2,5,2,9,0
